acceleration_x,acceleration_y,acceleration_z,gyroscope_x,gyroscope_y,gyroscope_z,timestamp,label
2424,-508,18440,-116,317,4276,2024-01-24 10:19:05,0.0
2224,-492,18532,-142,128,5277,2024-01-24 10:19:05,0.0
3008,-132,18512,-94,168,4708,2024-01-24 10:19:05,0.0
2888,-708,17776,-77,263,3096,2024-01-24 10:19:05,0.0
3848,264,18600,-91,254,1640,2024-01-24 10:19:05,0.0
3468,236,18596,-181,136,207,2024-01-24 10:19:05,0.0
2692,-232,18696,-189,156,-184,2024-01-24 10:19:05,0.0
2864,-308,19056,63,374,-289,2024-01-24 10:19:05,0.0
2416,-216,18036,-518,-203,-656,2024-01-24 10:19:05,0.0
3116,-200,18880,8,314,-829,2024-01-24 10:19:05,0.0
2704,-160,18360,-168,142,-1237,2024-01-24 10:19:05,0.0
2444,-400,18628,-212,150,-960,2024-01-24 10:19:05,0.0
2756,-156,18628,-77,259,-816,2024-01-24 10:19:05,0.0
2316,-444,18524,-157,152,-563,2024-01-24 10:19:05,0.0
2656,-284,18592,-126,205,-309,2024-01-24 10:19:05,0.0
2680,-324,18672,-134,212,-169,2024-01-24 10:19:05,0.0
2600,-140,18452,-105,251,-192,2024-01-24 10:19:05,0.0
2592,-84,18540,-150,176,-162,2024-01-24 10:19:05,0.0
2656,-200,18592,-186,141,-159,2024-01-24 10:19:05,0.0
2556,-228,18540,-427,-139,-172,2024-01-24 10:19:05,0.0
2636,-236,18580,-89,253,-189,2024-01-24 10:19:05,0.0
2668,-220,18496,-176,163,-171,2024-01-24 10:19:05,0.0
2628,-236,18552,-164,173,-205,2024-01-24 10:19:05,0.0
2752,-216,18636,-238,101,-178,2024-01-24 10:19:07,0.0
2676,-336,18632,-146,171,-178,2024-01-24 10:19:07,0.0
2736,-256,18672,-134,179,-191,2024-01-24 10:19:07,0.0
2668,-260,18632,-117,220,-175,2024-01-24 10:19:07,0.0
2656,-196,18584,-192,160,-184,2024-01-24 10:19:07,0.0
2648,-276,18584,-196,156,-160,2024-01-24 10:19:07,0.0
2636,-156,18604,-203,123,-177,2024-01-24 10:19:07,0.0
2732,-180,18608,-181,170,-187,2024-01-24 10:19:07,0.0
2564,-248,18568,-162,150,-187,2024-01-24 10:19:07,0.0
2600,-124,18584,-160,179,-160,2024-01-24 10:19:07,0.0
2580,-352,18684,-172,193,-166,2024-01-24 10:19:07,0.0
2560,-220,18544,-155,183,-197,2024-01-24 10:19:07,0.0
2616,-244,18652,-180,178,-190,2024-01-24 10:19:07,0.0
2564,-108,18680,-178,199,-169,2024-01-24 10:19:07,0.0
2644,-276,18480,-158,164,-153,2024-01-24 10:19:07,0.0
2648,-212,18708,-139,166,-171,2024-01-24 10:19:07,0.0
2752,-304,18512,-171,178,-174,2024-01-24 10:19:07,0.0
2740,-380,18688,-124,144,-178,2024-01-24 10:19:07,0.0
2712,-224,18504,-181,151,-172,2024-01-24 10:19:07,0.0
2716,-240,18548,-162,183,-191,2024-01-24 10:19:07,0.0
2584,-224,18452,-167,133,-178,2024-01-24 10:19:07,0.0
2628,-220,18604,-162,173,-174,2024-01-24 10:19:07,0.0
2660,-200,18636,-183,166,-180,2024-01-24 10:19:07,0.0
2660,-148,18496,-165,167,-182,2024-01-24 10:19:07,0.0
2724,-156,18588,-148,163,-199,2024-01-24 10:19:07,0.0
2756,-168,18640,-162,173,-164,2024-01-24 10:19:07,0.0
2624,-220,18548,-159,170,-183,2024-01-24 10:19:07,0.0
2672,-216,18548,-158,162,-181,2024-01-24 10:19:07,0.0
2716,-232,18584,-157,175,-185,2024-01-24 10:19:07,0.0
2752,-236,18544,-149,166,-179,2024-01-24 10:19:07,0.0
2680,-220,18660,-143,155,-188,2024-01-24 10:19:07,0.0
2672,-184,18668,-160,169,-196,2024-01-24 10:19:07,0.0
2592,-176,18536,-176,161,-158,2024-01-24 10:19:07,0.0
2608,-224,18504,-169,163,-192,2024-01-24 10:19:07,0.0
2616,-248,18700,-170,174,-193,2024-01-24 10:19:07,0.0
2616,-260,18500,-158,156,-199,2024-01-24 10:19:07,0.0
2680,-116,18536,-150,172,-180,2024-01-24 10:19:07,0.0
2668,-212,18708,-183,150,-181,2024-01-24 10:19:07,0.0
2664,-316,18544,-168,194,-183,2024-01-24 10:19:07,0.0
2660,-288,18604,-182,186,-182,2024-01-24 10:19:07,0.0
2696,-244,18672,-149,153,-174,2024-01-24 10:19:07,0.0
2684,-400,18520,-143,161,-204,2024-01-24 10:19:07,0.0
2640,-228,18768,-191,169,-179,2024-01-24 10:19:07,0.0
2644,-228,18492,-143,162,-165,2024-01-24 10:19:07,0.0
2604,-96,18560,-181,153,-172,2024-01-24 10:19:07,0.0
2680,-136,18540,-136,150,-173,2024-01-24 10:19:08,0.0
2648,-176,18552,-147,163,-178,2024-01-24 10:19:08,0.0
2732,-284,18648,-159,146,-171,2024-01-24 10:19:08,0.0
2648,-272,18604,-166,190,-176,2024-01-24 10:19:08,0.0
2748,-296,18452,-157,153,-186,2024-01-24 10:19:08,0.0
2664,-208,18692,-183,175,-174,2024-01-24 10:19:08,0.0
2636,-276,18620,-140,168,-194,2024-01-24 10:19:08,0.0
2716,-232,18768,-158,199,-173,2024-01-24 10:19:08,0.0
2552,-240,18516,-145,148,-179,2024-01-24 10:19:08,0.0
2584,-272,18588,-165,168,-175,2024-01-24 10:19:08,0.0
2596,-228,18548,-149,128,-192,2024-01-24 10:19:08,0.0
2640,-168,18476,-168,157,-191,2024-01-24 10:19:08,0.0
2632,-164,18484,-143,157,-182,2024-01-24 10:19:08,0.0
2712,-172,18584,-181,151,-208,2024-01-24 10:19:08,0.0
2724,-200,18460,-168,172,-185,2024-01-24 10:19:08,0.0
2652,-268,18640,-170,177,-190,2024-01-24 10:19:08,0.0
2704,-304,18584,-143,167,-169,2024-01-24 10:19:08,0.0
2700,-244,18520,-173,176,-179,2024-01-24 10:19:08,0.0
2564,-188,18452,-182,173,-163,2024-01-24 10:19:08,0.0
2600,-208,18520,-195,153,-182,2024-01-24 10:19:08,0.0
2524,-208,18680,-165,174,-146,2024-01-24 10:19:08,0.0
2624,-112,18536,-150,179,-191,2024-01-24 10:19:08,0.0
2576,-236,18596,-187,145,-186,2024-01-24 10:19:08,0.0
2644,-236,18544,-143,157,-176,2024-01-24 10:19:08,0.0
2812,-216,18648,-175,162,-179,2024-01-24 10:19:08,0.0
2748,-108,18528,-174,167,-174,2024-01-24 10:19:08,0.0
2744,-212,18528,-177,145,-179,2024-01-24 10:19:08,0.0
2632,-340,18488,-177,174,-164,2024-01-24 10:19:08,0.0
2652,-360,18724,-145,163,-197,2024-01-24 10:19:08,0.0
2672,-172,18584,-159,183,-174,2024-01-24 10:19:08,0.0
2640,-256,18708,-194,171,-178,2024-01-24 10:19:08,0.0
2584,-124,18480,-156,186,-186,2024-01-24 10:19:08,
2740,-308,18576,-169,167,-213,2024-01-24 10:19:08,0.0
2608,-212,18700,-142,174,-162,2024-01-24 10:19:08,0.0
2524,-324,18692,-147,157,-187,2024-01-24 10:19:08,0.0
2604,-284,18584,-154,188,-162,2024-01-24 10:19:08,0.0
2712,-144,18656,-172,188,-176,2024-01-24 10:19:08,0.0
2680,-140,18624,-154,169,-184,2024-01-24 10:19:08,0.0
2668,-240,18592,-144,155,-170,2024-01-24 10:19:08,0.0
2740,-268,18628,-138,147,-179,2024-01-24 10:19:08,0.0
2712,-292,18576,-147,170,-182,2024-01-24 10:19:08,0.0
2724,-264,18556,-176,151,-178,2024-01-24 10:19:08,0.0
2608,-56,18604,-175,157,-176,2024-01-24 10:19:08,0.0
2692,-228,18608,-153,159,-183,2024-01-24 10:19:08,0.0
2808,-132,18340,-143,170,-158,2024-01-24 10:19:08,0.0
2504,-216,18412,-137,200,-167,2024-01-24 10:19:08,0.0
2548,-384,18272,-170,141,-187,2024-01-24 10:19:08,0.0
2184,-204,18912,-168,146,-151,2024-01-24 10:19:08,0.0
2476,-384,18284,-142,154,-169,2024-01-24 10:19:08,0.0
2720,-156,18484,-182,145,-187,2024-01-24 10:19:08,0.0
2564,-140,18544,-173,148,-175,2024-01-24 10:19:08,0.0
2604,-240,18692,-176,198,-197,2024-01-24 10:19:08,0.0
1932,-500,18884,-139,104,-171,2024-01-24 10:19:08,0.0
2580,-132,17904,-157,148,-160,2024-01-24 10:19:08,0.0
2776,-88,18568,-173,178,-150,2024-01-24 10:19:08,0.0
2684,-160,18420,-170,180,-149,2024-01-24 10:19:08,0.0
2724,-376,18576,-152,152,-166,2024-01-24 10:19:08,0.0
3244,-284,19448,-168,73,-147,2024-01-24 10:19:08,0.0
3004,-348,17584,-160,173,-180,2024-01-24 10:19:08,0.0
2976,-140,18620,-178,159,-167,2024-01-24 10:19:08,0.0
2748,-212,18660,-170,175,-195,2024-01-24 10:19:08,0.0
2784,-144,18056,-151,180,-198,2024-01-24 10:19:08,0.0
2216,-456,19348,-183,143,-143,2024-01-24 10:19:09,0.0
2368,-100,17856,-179,219,-166,2024-01-24 10:19:09,0.0
2572,-208,17672,-147,169,-167,2024-01-24 10:19:09,0.0
3160,-84,18708,-155,117,-179,2024-01-24 10:19:09,0.0
2824,-140,18256,-197,187,-199,2024-01-24 10:19:09,0.0
2572,-184,18608,-143,154,-187,2024-01-24 10:19:09,0.0
2664,-224,18612,-205,167,-174,2024-01-24 10:19:09,0.0
2672,-288,18372,-179,181,-181,2024-01-24 10:19:09,0.0
2580,-184,18604,-186,167,-185,2024-01-24 10:19:09,0.0
2680,-244,18724,-173,170,-200,2024-01-24 10:19:09,0.0
2648,-216,18536,-139,189,-184,2024-01-24 10:19:09,0.0
2648,-224,18684,-172,179,-171,2024-01-24 10:19:09,0.0
2608,-188,18500,-182,183,-179,2024-01-24 10:19:09,0.0
2716,-248,18756,-162,184,-178,2024-01-24 10:19:09,0.0
2616,-168,18624,-141,181,-162,2024-01-24 10:19:09,0.0
2624,-220,18564,-185,154,-162,2024-01-24 10:19:09,0.0
2652,-184,18416,-189,166,-187,2024-01-24 10:19:09,0.0
2748,-228,18600,-160,159,-168,2024-01-24 10:19:09,0.0
2668,-204,18576,-162,161,-165,2024-01-24 10:19:09,0.0
2620,-328,18640,-170,165,-194,2024-01-24 10:19:09,0.0
2672,-220,18596,-164,174,-185,2024-01-24 10:19:09,0.0
2660,-152,18552,-199,163,-179,2024-01-24 10:19:09,0.0
2632,-244,18504,-174,180,-187,2024-01-24 10:19:09,0.0
2600,-216,18544,-165,177,-172,2024-01-24 10:19:09,0.0
2544,-288,18708,-175,156,-196,2024-01-24 10:19:09,0.0
2724,-236,18652,-180,136,-169,2024-01-24 10:19:09,0.0
2600,-200,18656,-142,168,-156,2024-01-24 10:19:09,0.0
2676,-288,18656,-176,182,-194,2024-01-24 10:19:09,0.0
2744,-212,18564,-152,153,-170,2024-01-24 10:19:09,0.0
2784,-212,18544,-203,176,-168,2024-01-24 10:19:09,0.0
2712,-220,18504,-188,184,-195,2024-01-24 10:19:09,0.0
2696,-192,18636,-153,163,-172,2024-01-24 10:19:09,0.0
2712,-324,18516,-142,162,-176,2024-01-24 10:19:09,0.0
2712,-296,18632,-153,134,-167,2024-01-24 10:19:09,0.0
2700,-200,18660,-167,179,-171,2024-01-24 10:19:09,0.0
2676,-220,18620,-161,198,-184,2024-01-24 10:19:09,0.0
2692,-252,18484,-156,137,-174,2024-01-24 10:19:09,0.0
2700,-232,18580,-143,159,-176,2024-01-24 10:19:09,0.0
2584,-232,18448,-163,176,-174,2024-01-24 10:19:09,0.0
2712,-232,18624,-153,165,-176,2024-01-24 10:19:09,0.0
2640,-228,18636,-163,179,-173,2024-01-24 10:19:09,0.0
2724,-268,18608,-153,157,-153,2024-01-24 10:19:09,0.0
2764,-268,18708,-145,157,-189,2024-01-24 10:19:09,0.0
2756,-224,18608,-147,190,-177,2024-01-24 10:19:09,0.0
2740,-272,18444,-146,172,-182,2024-01-24 10:19:09,0.0
2672,-280,18488,-183,174,-176,2024-01-24 10:19:09,0.0
2640,-276,18592,-143,167,-178,2024-01-24 10:19:09,0.0
2628,-288,18604,-164,134,-196,2024-01-24 10:19:09,0.0
2784,-280,18412,-164,168,-186,2024-01-24 10:19:09,0.0
2712,-248,18524,-160,175,-149,2024-01-24 10:19:09,0.0
2676,-244,18496,-150,166,-156,2024-01-24 10:19:09,0.0
2660,-300,18564,-177,148,-144,2024-01-24 10:19:09,0.0
2544,-284,18704,-163,148,-182,2024-01-24 10:19:09,0.0
2692,-196,18452,-141,160,-197,2024-01-24 10:19:09,0.0
2688,-156,18508,-160,165,-194,2024-01-24 10:19:09,0.0
2732,-180,18408,-194,172,-181,2024-01-24 10:19:09,0.0
2716,-224,19648,-99,203,-176,2024-01-24 10:19:09,0.0
2440,-256,18488,-207,168,-168,2024-01-24 10:19:09,0.0
2568,-304,18556,-152,192,-199,2024-01-24 10:19:09,0.0
2584,-156,18252,-165,156,-191,2024-01-24 10:19:09,0.0
2648,-144,18612,-143,163,-184,2024-01-24 10:19:09,0.0
2720,-172,18624,-146,189,-158,2024-01-24 10:19:10,0.0
2564,-332,18608,-183,144,-173,2024-01-24 10:19:10,0.0
2620,-312,18584,-154,175,-164,2024-01-24 10:19:10,0.0
2728,-196,18608,-163,207,-199,2024-01-24 10:19:10,0.0
2732,-200,18724,-162,171,-161,2024-01-24 10:19:10,0.0
