acceleration_x,acceleration_y,acceleration_z,gyroscope_x,gyroscope_y,gyroscope_z,timestamp,label
-0.4727,0.0134,-0.6885,-0.7324,-0.1068,-0.9689,2024-02-11 19:56:10.601,0.0
-0.4729,0.0164,-0.6882,-0.8621,1.1902,-0.7172,2024-02-11 19:56:10.601,0.0
-0.467,0.019,-0.6938,-0.8469,2.243,-0.8392,2024-02-11 19:56:10.610,0.0
-0.4656,0.0222,-0.6936,-1.0834,2.1286,-1.0757,2024-02-11 19:56:10.626,0.0
-0.4753,0.0181,-0.6899,-0.9079,2.037,-1.1673,2024-02-11 19:56:10.650,0.0
-0.4849,0.0239,-0.697,-0.8698,2.8381,-1.2283,2024-02-11 19:56:10.666,0.0
-0.4775,0.0212,-0.6992,-0.8621,1.3885,-1.2207,2024-02-11 19:56:10.683,0.0
-0.4734,0.0247,-0.6892,-1.152,0.473,-0.7629,2024-02-11 19:56:10.699,0.0
-0.4685,0.0193,-0.6868,-1.3885,0.7095,-1.0529,2024-02-11 19:56:10.715,0.0
-0.4756,0.0144,-0.6882,-1.3885,0.9918,-1.091,2024-02-11 19:56:10.740,0.0
-0.4773,0.0161,-0.6938,-1.1826,1.6403,-0.7095,2024-02-11 19:56:10.756,0.0
-0.4666,0.0171,-0.6914,-1.0757,2.6093,-1.0834,2024-02-11 19:56:10.772,0.0
-0.4736,0.0237,-0.6841,-1.2512,3.7918,-1.152,2024-02-11 19:56:10.789,0.0
-0.4761,0.0232,-0.6909,-1.2817,4.3793,-1.2741,2024-02-11 19:56:10.805,0.0
-0.4753,0.0208,-0.6899,-1.2589,3.9444,-1.2665,2024-02-11 19:56:10.822,0.0
-0.4749,0.0264,-0.6887,-1.5182,3.2501,-1.3428,2024-02-11 19:56:10.856,0.0
-0.4761,0.0237,-0.7024,-1.5411,2.5024,-1.2283,2024-02-11 19:56:10.864,0.0
-0.4734,0.0251,-0.6992,-1.5717,1.8158,-1.3275,2024-02-11 19:56:10.880,0.0
