acceleration_x,acceleration_y,acceleration_z,gyroscope_x,gyroscope_y,gyroscope_z,timestamp,label
-3444,-83,152,-204,177,-200,2024-02-05 15:57:36.658,0.0
-3458,-71,164,-237,189,-183,2024-02-05 15:57:36.707,0.0
-3442,-102,164,-224,201,-190,2024-02-05 15:57:36.766,0.0
-3441,-92,187,-264,131,-210,2024-02-05 15:57:36.824,0.0
-3449,-94,185,-309,209,-173,2024-02-05 15:57:36.882,0.0
-3424,-98,171,-240,157,-190,2024-02-05 15:57:36.938,0.0
-3453,-75,203,-218,160,-203,2024-02-05 15:57:37.018,0.0
-3439,-89,145,-219,170,-188,2024-02-05 15:57:37.050,0.0
-3460,-91,151,-226,164,-191,2024-02-05 15:57:37.112,0.0
-3460,-80,162,-177,233,-211,2024-02-05 15:57:37.171,0.0
-3456,-81,157,-202,251,-145,2024-02-05 15:57:37.229,0.0
-3466,-92,170,-221,236,-172,2024-02-05 15:57:37.288,0.0
-3457,-82,166,-173,238,-176,2024-02-05 15:57:37.338,0.0
-3436,-78,201,-190,158,-158,2024-02-05 15:57:37.394,0.0
-3451,-68,188,-190,244,-183,2024-02-05 15:57:37.443,0.0
-3433,-98,190,-165,245,-137,2024-02-05 15:57:37.507,0.0
-3475,-77,198,-173,415,-177,2024-02-05 15:57:37.564,0.0
-3438,-101,207,-101,253,-157,2024-02-05 15:57:37.621,0.0
-3467,-75,209,-79,311,-180,2024-02-05 15:57:37.681,0.0
-3484,-70,208,-156,366,-197,2024-02-05 15:57:37.730,
-3432,-78,198,-124,186,-206,2024-02-05 15:57:37.786,0.0
-3466,-71,166,-98,320,-170,2024-02-05 15:57:37.843,0.0
-3469,-55,130,-112,251,-168,2024-02-05 15:57:37.900,0.0
-3468,-86,110,-161,345,-184,2024-02-05 15:57:37.956,0.0
-3419,-102,81,-159,265,-227,2024-02-05 15:57:38.021,0.0
-3504,-100,102,-232,563,-312,2024-02-05 15:57:38.077,0.0
-3473,-118,159,-124,315,-192,2024-02-05 15:57:38.128,0.0
-3478,-97,77,158,214,-214,2024-02-05 15:57:38.183,0.0
-3436,-104,68,174,403,-416,2024-02-05 15:57:38.243,0.0
-3448,-64,37,233,-44,-396,2024-02-05 15:57:38.302,0.0
-3441,-85,13,205,-77,-389,2024-02-05 15:57:38.359,0.0
-3243,-131,20,205,505,-500,2024-02-05 15:57:38.415,0.0
-3374,-131,112,274,749,-498,2024-02-05 15:57:38.472,0.0
-3426,-181,113,302,660,-657,2024-02-05 15:57:38.528,0.0
-3415,-156,96,318,416,-594,2024-02-05 15:57:38.585,0.0
-3465,-150,5,469,658,-476,2024-02-05 15:57:38.637,0.0
-3350,-94,61,281,1132,-474,2024-02-05 15:57:38.694,0.0
-3348,-157,173,73,1225,-776,2024-02-05 15:57:38.751,0.0
-3680,-184,69,-33,1141,-435,2024-02-05 15:57:38.807,0.0
-3492,-187,126,224,268,-469,2024-02-05 15:57:38.864,
-3159,-161,-173,222,-324,-762,2024-02-05 15:57:38.923,0.0
-3004,-134,-168,-189,633,-1234,2024-02-05 15:57:38.988,0.0
-2250,-49,-360,409,-1465,-761,2024-02-05 15:57:39.037,0.0
-1328,-290,317,-1429,1457,-1439,2024-02-05 15:57:39.090,0.0
-3928,-707,1542,610,-1513,-605,2024-02-05 15:57:39.146,0.0
-9122,-289,421,-108,-5885,1436,2024-02-05 15:57:39.203,0.0
-10430,-1007,398,-1187,6663,662,2024-02-05 15:57:39.260,0.0
-7278,-284,-141,258,-1664,1276,2024-02-05 15:57:39.317,0.0
-631,-121,-806,-446,-11827,-603,2024-02-05 15:57:39.383,0.0
2330,-913,-752,-2335,3314,-420,2024-02-05 15:57:39.432,0.0
534,513,1178,-1573,1392,-2064,2024-02-05 15:57:39.489,0.0
-263,293,542,-685,-3237,-536,2024-02-05 15:57:39.548,0.0
1231,257,109,-2255,2327,450,2024-02-05 15:57:39.598,0.0
275,-832,726,1010,4248,-1620,2024-02-05 15:57:39.657,0.0
-15690,-325,4954,4064,-5111,7569,2024-02-05 15:57:39.713,0.0
-12124,157,996,-750,8639,-311,2024-02-05 15:57:39.774,0.0
-6815,-830,-172,1629,-2782,1924,2024-02-05 15:57:39.832,0.0
1502,17,-2565,851,-23546,-1397,2024-02-05 15:57:39.890,0.0
2489,-450,-243,349,8680,-246,2024-02-05 15:57:39.939,0.0
-151,181,971,1594,-3106,-519,2024-02-05 15:57:39.999,
393,-112,-218,137,-5678,-1058,2024-02-05 15:57:40.063,0.0
933,168,9,122,-355,-2140,2024-02-05 15:57:40.112,0.0
784,-190,219,151,-2664,-1921,2024-02-05 15:57:40.171,0.0
-10212,-1819,2476,6095,14800,5536,2024-02-05 15:57:40.220,0.0
-13505,161,1969,416,787,803,2024-02-05 15:57:40.286,0.0
-9467,494,245,-3245,113,2980,2024-02-05 15:57:40.342,0.0
-2627,-393,532,-171,-13065,-1166,2024-02-05 15:57:40.391,0.0
3615,-137,-2026,-2070,-925,-4342,2024-02-05 15:57:40.448,0.0
-491,309,1210,-1800,1933,-289,2024-02-05 15:57:40.506,0.0
-116,-143,1361,-2578,-7744,691,2024-02-05 15:57:40.563,0.0
946,-136,343,-2210,-632,13,2024-02-05 15:57:40.620,0.0
658,-64,-16,-2122,6219,-1144,2024-02-05 15:57:40.679,0.0
-1536,-870,-1022,1235,13212,-890,2024-02-05 15:57:40.736,0.0
-21902,122,-3329,-1168,-8898,2183,2024-02-05 15:57:40.792,0.0
-13155,-77,1893,469,10745,2174,2024-02-05 15:57:40.850,0.0
-2902,241,-988,2234,-10345,2349,2024-02-05 15:57:40.907,0.0
1069,-269,-1436,980,-16839,-4893,2024-02-05 15:57:40.966,0.0
2384,-265,-341,1422,8687,-1361,2024-02-05 15:57:41.015,0.0
-216,496,673,943,-869,-1266,2024-02-05 15:57:41.072,0.0
649,-58,338,-482,-6006,-344,2024-02-05 15:57:41.130,
1132,-102,253,-1122,775,-1562,2024-02-05 15:57:41.187,0.0
610,-414,874,1152,4510,-1345,2024-02-05 15:57:41.245,0.0
-18105,-1178,5651,5280,21278,4321,2024-02-05 15:57:41.301,0.0
-14731,-1099,2016,-2275,10036,1874,2024-02-05 15:57:41.362,0.0
-5453,-160,-1066,817,-17618,3423,2024-02-05 15:57:41.418,0.0
1934,-642,-2663,947,-7759,623,2024-02-05 15:57:41.475,0.0
3100,-398,520,-1149,3583,-4758,2024-02-05 15:57:41.527,0.0
-245,248,-197,-2035,-2006,-1129,2024-02-05 15:57:41.583,0.0
741,218,-819,-2750,-4125,1245,2024-02-05 15:57:41.640,0.0
998,-359,-182,-1683,6654,11,2024-02-05 15:57:41.697,0.0
440,-220,882,-678,-1267,-2087,2024-02-05 15:57:41.754,0.0
-2088,-741,-855,1540,12250,-2160,2024-02-05 15:57:41.815,0.0
-20949,-69,-874,668,-9790,-1147,2024-02-05 15:57:41.864,0.0
-12434,-495,1415,-1151,7867,3256,2024-02-05 15:57:41.921,0.0
-1701,233,-632,478,-12514,2602,2024-02-05 15:57:41.978,0.0
2841,-783,-1276,226,-790,-4563,2024-02-05 15:57:42.038,0.0
-268,304,2077,84,2808,-4260,2024-02-05 15:57:42.094,0.0
-15,-91,434,1140,-4580,-802,2024-02-05 15:57:42.151,0.0
976,96,-137,11,654,-447,2024-02-05 15:57:42.211,0.0
552,-12,355,-478,2989,-1410,2024-02-05 15:57:42.268,
266,-314,-581,939,1395,-2240,2024-02-05 15:57:42.317,0.0
-23583,1333,4563,-1623,16082,7371,2024-02-05 15:57:42.375,0.0
-14278,-1768,1970,-1031,10907,1111,2024-02-05 15:57:42.432,0.0
-4583,-257,-717,-1106,-11365,1549,2024-02-05 15:57:42.492,0.0
2331,414,-3239,-2002,-9457,2799,2024-02-05 15:57:42.548,0.0
1985,-439,837,-465,3902,-931,2024-02-05 15:57:42.605,0.0
-172,-89,799,-267,-4792,-1327,2024-02-05 15:57:42.664,0.0
