acceleration_x,acceleration_y,acceleration_z,gyroscope_x,gyroscope_y,gyroscope_z,timestamp,label
-3500,-46,74,80,856,-549,2024-02-05 15:58:49.370,0.0
-3422,-94,72,195,411,-391,2024-02-05 15:58:49.428,0.0
-3492,-40,57,219,396,-186,2024-02-05 15:58:49.484,0.0
-3423,9,11,-103,581,-150,2024-02-05 15:58:49.544,0.0
-3449,-63,42,-247,817,-197,2024-02-05 15:58:49.593,0.0
-3452,-76,32,-184,671,-158,2024-02-05 15:58:49.650,0.0
-3433,-43,-30,-300,662,-93,2024-02-05 15:58:49.714,0.0
-3461,11,35,-354,709,-40,2024-02-05 15:58:49.770,0.0
-3471,36,-100,-504,728,103,2024-02-05 15:58:49.830,0.0
-3463,4,-289,-529,506,418,2024-02-05 15:58:49.879,0.0
-3151,80,-762,-1066,-327,794,2024-02-05 15:58:49.945,0.0
-1372,-157,-677,-1930,-1714,-529,2024-02-05 15:58:49.987,0.0
196,-179,1185,-2061,3499,-2555,2024-02-05 15:58:50.052,0.0
-3998,291,-204,-1079,17183,-5949,2024-02-05 15:58:50.101,0.0
-6798,-1014,-924,-1088,19,-1991,2024-02-05 15:58:50.158,0.0
-10481,317,-1003,-707,1945,583,2024-02-05 15:58:50.222,0.0
-8876,-379,-196,-723,-14007,4635,2024-02-05 15:58:50.279,0.0
-2201,-110,197,-724,-25661,3755,2024-02-05 15:58:50.330,0.0
4890,-848,-4241,-358,2690,-2343,2024-02-05 15:58:50.388,0.0
-457,1349,-6,-3391,7208,-935,2024-02-05 15:58:50.447,
445,-411,1827,-4658,-2625,-1862,2024-02-05 15:58:50.504,0.0
70,-185,1363,-2429,3953,-1108,2024-02-05 15:58:50.555,0.0
807,707,354,-3624,-1308,-557,2024-02-05 15:58:50.611,0.0
-741,-1361,-1045,6985,15273,-2693,2024-02-05 15:58:50.677,0.0
-23300,3954,-7563,-652,30616,-3301,2024-02-05 15:58:50.734,0.0
-10820,-1518,103,-2664,-2913,1885,2024-02-05 15:58:50.790,0.0
-5835,-137,-1888,70,-24701,6173,2024-02-05 15:58:50.842,0.0
2028,39,-1303,3011,-11890,-3590,2024-02-05 15:58:50.899,0.0
1834,-69,0,3336,7219,-950,2024-02-05 15:58:50.956,0.0
283,154,-420,2134,-2603,-721,2024-02-05 15:58:51.012,0.0
-160,-19,-234,2970,1106,-2061,2024-02-05 15:58:51.069,0.0
416,-329,759,1555,3228,-898,2024-02-05 15:58:51.127,0.0
-3194,120,-2135,219,16558,-1441,2024-02-05 15:58:51.186,0.0
-15529,-171,-4157,-2711,1361,-489,2024-02-05 15:58:51.258,0.0
-9953,-337,64,-3397,-679,3480,2024-02-05 15:58:51.295,0.0
-6071,-427,-1565,-2687,-14275,4703,2024-02-05 15:58:51.353,0.0
-295,-436,-69,-1445,-18517,-2153,2024-02-05 15:58:51.407,0.0
3499,-66,-937,-747,5572,-1126,2024-02-05 15:58:51.466,0.0
-138,-25,564,-2314,2885,-1030,2024-02-05 15:58:51.523,0.0
-258,-56,907,308,-2739,-2206,2024-02-05 15:58:51.583,
1096,504,1329,-902,-793,-2093,2024-02-05 15:58:51.640,0.0
-3956,-751,-2709,1627,24603,-4154,2024-02-05 15:58:51.693,0.0
-23548,382,-4319,-3671,6429,-568,2024-02-05 15:58:51.765,0.0
-7343,-1576,-212,-994,-9345,6837,2024-02-05 15:58:51.806,0.0
-4160,296,-1491,-595,-8725,7963,2024-02-05 15:58:51.862,0.0
1777,-432,-691,1153,-15382,-1376,2024-02-05 15:58:51.919,0.0
2255,-552,-678,589,4794,-2439,2024-02-05 15:58:51.976,0.0
-486,765,765,-1485,1440,-1217,2024-02-05 15:58:52.041,0.0
485,-193,121,-2430,-1968,-106,2024-02-05 15:58:52.089,0.0
1179,-431,-167,-2928,2278,-3018,2024-02-05 15:58:52.147,0.0
-3985,-843,-2380,3387,23259,-6656,2024-02-05 15:58:52.212,0.0
-20442,2238,-3712,-4252,-2540,-575,2024-02-05 15:58:52.261,0.0
-10607,-2036,598,-2851,1552,5738,2024-02-05 15:58:52.317,0.0
-4707,237,-809,-1510,-15820,9989,2024-02-05 15:58:52.374,0.0
1118,-122,-926,1444,-18670,-130,2024-02-05 15:58:52.430,0.0
2359,-731,-665,-225,6634,-1820,2024-02-05 15:58:52.498,0.0
-514,260,537,-1125,3964,-2665,2024-02-05 15:58:52.548,0.0
-182,343,519,-2972,-4340,1223,2024-02-05 15:58:52.606,0.0
1625,-432,339,-2743,2076,-498,2024-02-05 15:58:52.663,0.0
-2373,-1974,-3040,3775,22451,-6804,2024-02-05 15:58:52.714,
-21198,2539,-6064,-4352,9817,-3329,2024-02-05 15:58:52.772,0.0
-10768,-806,-473,-2401,-2816,4197,2024-02-05 15:58:52.835,0.0
-4577,97,-1611,-2781,-24012,11016,2024-02-05 15:58:52.893,0.0
2051,-432,-1429,1209,-6388,118,2024-02-05 15:58:52.941,0.0
2633,-540,-481,481,9514,-3396,2024-02-05 15:58:53.006,0.0
-1200,280,194,1040,234,-2759,2024-02-05 15:58:53.055,0.0
-216,-37,635,-163,-7323,0,2024-02-05 15:58:53.121,0.0
1602,183,358,427,4175,-1157,2024-02-05 15:58:53.170,0.0
-1767,-741,-1255,748,11047,-4827,2024-02-05 15:58:53.228,0.0
-21248,-249,-6265,4929,7488,-9104,2024-02-05 15:58:53.285,0.0
-11256,-885,725,-564,-4358,5794,2024-02-05 15:58:53.342,0.0
-5317,320,-1336,-2489,-13206,7550,2024-02-05 15:58:53.400,0.0
2189,-424,-1031,-982,-14408,2636,2024-02-05 15:58:53.457,0.0
2654,-606,-358,812,2936,-3691,2024-02-05 15:58:53.514,0.0
-475,516,914,-377,4057,-3709,2024-02-05 15:58:53.571,0.0
-103,85,749,-1536,-6659,384,2024-02-05 15:58:53.630,0.0
675,293,808,-2290,-1428,-5,2024-02-05 15:58:53.688,0.0
-1262,-871,-962,3164,19546,-3160,2024-02-05 15:58:53.738,0.0
-24449,1888,-5944,-3551,6934,1567,2024-02-05 15:58:53.820,0.0
-9260,-858,142,-1571,-7921,4580,2024-02-05 15:58:53.861,
-2306,138,-1237,1449,-12957,4918,2024-02-05 15:58:53.910,0.0
1969,-504,-2179,44,-3333,1733,2024-02-05 15:58:53.967,0.0
28,32,1267,1618,514,-2086,2024-02-05 15:58:54.025,0.0
775,311,-256,-359,-1756,-1760,2024-02-05 15:58:54.081,0.0
231,356,500,-1136,-1963,-193,2024-02-05 15:58:54.139,0.0
1036,-395,480,-879,1219,-3033,2024-02-05 15:58:54.204,0.0
-5976,-172,-612,2549,30889,-6033,2024-02-05 15:58:54.256,0.0
-15691,-555,380,3274,-13109,2625,2024-02-05 15:58:54.313,0.0
-7607,-342,-867,423,-16572,2974,2024-02-05 15:58:54.370,0.0
-624,332,-912,-508,-12845,4705,2024-02-05 15:58:54.427,0.0
2106,-399,-1311,-1276,-540,656,2024-02-05 15:58:54.484,0.0
269,32,16,-2166,2918,-2805,2024-02-05 15:58:54.533,0.0
103,15,512,-1340,911,-134,2024-02-05 15:58:54.593,0.0
476,-29,966,-1057,-1694,-811,2024-02-05 15:58:54.652,0.0
281,-1504,1184,3569,8622,-4058,2024-02-05 15:58:54.709,0.0
-17471,1563,-1218,28,25554,-7565,2024-02-05 15:58:54.768,0.0
-10669,-783,143,-4229,-2066,3689,2024-02-05 15:58:54.825,0.0
-6006,70,-941,-789,-13674,5827,2024-02-05 15:58:54.885,0.0
626,179,-98,-1267,-11816,2460,2024-02-05 15:58:54.933,0.0
2598,-157,-310,-1342,-4117,-2278,2024-02-05 15:58:54.989,
-39,16,695,-3017,-40,-3250,2024-02-05 15:58:55.047,0.0
-449,320,899,-3214,-7997,-3525,2024-02-05 15:58:55.104,0.0
1250,-245,-227,-1452,-4577,-1871,2024-02-05 15:58:55.169,0.0
-3978,-855,-815,3145,30154,-4350,2024-02-05 15:58:55.226,0.0
-19261,-794,187,-1015,-3784,4273,2024-02-05 15:58:55.289,0.0
-8700,-897,559,1893,-8945,7520,2024-02-05 15:58:55.331,0.0
-531,-206,-582,1118,-9742,3354,2024-02-05 15:58:55.394,0.0
2000,261,-710,794,-2171,-1927,2024-02-05 15:58:55.442,0.0
-667,140,690,-90,7593,-178,2024-02-05 15:58:55.511,0.0
849,-511,143,575,-5825,-549,2024-02-05 15:58:55.560,0.0
607,688,564,-833,-2078,-1123,2024-02-05 15:58:55.616,0.0
939,-437,752,1198,7086,-3149,2024-02-05 15:58:55.673,0.0
-14804,-849,3645,3404,32767,-9557,2024-02-05 15:58:55.731,0.0
-14124,-1190,177,-1514,2088,4812,2024-02-05 15:58:55.789,0.0
-6423,350,-1132,367,-14395,5901,2024-02-05 15:58:55.847,0.0
418,529,-98,2,-13182,4215,2024-02-05 15:58:55.905,0.0
2544,-905,-974,908,-733,-2321,2024-02-05 15:58:55.962,0.0
-439,698,1297,-1558,2271,-1170,2024-02-05 15:58:56.020,0.0
-217,-305,579,-889,-3640,-299,2024-02-05 15:58:56.068,0.0
944,306,254,-1371,-6170,-2174,2024-02-05 15:58:56.128,
783,-109,50,2040,6648,-1729,2024-02-05 15:58:56.185,0.0
-12444,1521,2593,646,32767,-11382,2024-02-05 15:58:56.238,0.0
-12940,-716,-330,-2406,-1705,3078,2024-02-05 15:58:56.303,0.0
-8317,-300,-312,-1622,-9531,5809,2024-02-05 15:58:56.353,0.0
1,-215,-467,-1723,-14946,6153,2024-02-05 15:58:56.409,0.0
2545,-417,-1009,806,-2799,-4365,2024-02-05 15:58:56.466,0.0
-190,195,1474,-339,5959,-3671,2024-02-05 15:58:56.528,0.0
-357,299,286,584,-304,280,2024-02-05 15:58:56.577,0.0
744,-126,-196,-715,-3779,-673,2024-02-05 15:58:56.634,0.0
1057,-94,315,-33,3632,-3393,2024-02-05 15:58:56.691,0.0
-11382,1890,2299,2828,32767,-7172,2024-02-05 15:58:56.748,0.0
-13170,264,-1775,-885,-3483,1495,2024-02-05 15:58:56.809,0.0
-9370,-113,-611,-2724,-9068,5135,2024-02-05 15:58:56.874,0.0
-626,-107,-606,-3761,-17624,7094,2024-02-05 15:58:56.931,0.0
3568,-1263,-1209,132,-2534,-1105,2024-02-05 15:58:56.990,0.0
-27,304,1420,279,4273,-3277,2024-02-05 15:58:57.030,0.0
-223,-22,466,-318,-2032,-1715,2024-02-05 15:58:57.088,0.0
576,585,-33,-1274,-1737,-2207,2024-02-05 15:58:57.146,0.0
640,-422,-382,-2689,2943,-3080,2024-02-05 15:58:57.203,0.0
-9177,1355,3121,-263,31477,-12422,2024-02-05 15:58:57.276,
-13889,-720,630,-670,298,3273,2024-02-05 15:58:57.325,0.0
-9639,-910,-87,925,-8663,9749,2024-02-05 15:58:57.373,0.0
-1110,331,52,-42,-8009,9420,2024-02-05 15:58:57.431,0.0
3340,-481,-1303,1105,-4507,-495,2024-02-05 15:58:57.513,0.0
-213,-252,15,81,8076,-5977,2024-02-05 15:58:57.545,0.0
-291,849,139,-719,-2900,-295,2024-02-05 15:58:57.601,0.0
491,-261,526,-1555,-1766,733,2024-02-05 15:58:57.658,0.0
461,-613,190,-437,3196,-2856,2024-02-05 15:58:57.710,0.0
-6895,-263,342,2035,32767,-11059,2024-02-05 15:58:57.775,0.0
-14773,-349,-239,-622,-11229,4244,2024-02-05 15:58:57.831,0.0
-9409,-309,233,-1101,-8359,3872,2024-02-05 15:58:57.903,0.0
-340,206,-1554,-2368,-15248,7177,2024-02-05 15:58:57.949,0.0
2547,-662,-831,-313,-5561,1566,2024-02-05 15:58:58.020,0.0
726,-21,437,-683,4113,-3659,2024-02-05 15:58:58.061,0.0
-148,0,378,-644,-975,-1250,2024-02-05 15:58:58.110,0.0
14,11,388,-579,-7734,-377,2024-02-05 15:58:58.175,0.0
-246,-266,-777,1755,10362,-4006,2024-02-05 15:58:58.227,0.0
-14306,844,138,4570,17204,-2597,2024-02-05 15:58:58.276,0.0
-6836,1005,1231,-1544,-11396,3027,2024-02-05 15:58:58.341,0.0
-5432,-35,545,-2449,-296,1376,2024-02-05 15:58:58.398,
-2170,214,-23,-1786,-7922,2969,2024-02-05 15:58:58.504,0.0
24,-403,6,-1643,4119,774,2024-02-05 15:58:58.512,0.0
-3914,250,541,-930,9189,195,2024-02-05 15:58:58.569,0.0
-3755,201,457,-1480,-1062,99,2024-02-05 15:58:58.628,0.0
-3991,-4,817,-1425,-3525,230,2024-02-05 15:58:58.678,0.0
-3321,96,469,-691,-5096,369,2024-02-05 15:58:58.734,0.0
-2579,-38,160,251,984,-409,2024-02-05 15:58:58.807,0.0
-4036,263,708,665,2487,-585,2024-02-05 15:58:58.849,0.0
-3194,26,865,781,-1694,-499,2024-02-05 15:58:58.914,0.0
-3428,200,499,394,119,-1022,2024-02-05 15:58:58.963,0.0
-3695,99,501,40,253,-591,2024-02-05 15:58:59.036,0.0
-3564,-42,604,147,-439,-226,2024-02-05 15:58:59.085,0.0
-3377,28,646,880,-902,-144,2024-02-05 15:58:59.133,0.0
-3513,112,508,2129,-2015,447,2024-02-05 15:58:59.189,0.0
-3374,1,435,3617,-2679,1607,2024-02-05 15:58:59.250,0.0
-3475,23,887,4448,-1377,2216,2024-02-05 15:58:59.314,0.0
-3601,-200,1061,3473,-1259,1569,2024-02-05 15:58:59.358,0.0
-3781,21,1077,1778,-1344,63,2024-02-05 15:58:59.417,0.0
-3330,-48,1023,1857,-1563,-78,2024-02-05 15:58:59.479,0.0
-3418,198,739,2486,-335,-1149,2024-02-05 15:58:59.553,
-3371,184,981,3397,-323,-2143,2024-02-05 15:58:59.585,0.0
-3211,209,1299,3250,344,-1867,2024-02-05 15:58:59.642,0.0
-3473,134,1254,2242,880,-1531,2024-02-05 15:58:59.702,0.0
-3398,-40,1028,1101,709,-1254,2024-02-05 15:58:59.761,0.0
-3339,152,1174,397,396,-725,2024-02-05 15:58:59.818,0.0
-3270,-83,1265,191,704,-682,2024-02-05 15:58:59.870,0.0
-3199,-457,1088,1872,2883,-193,2024-02-05 15:58:59.927,0.0
-4085,19,606,2641,4038,-2682,2024-02-05 15:58:59.991,0.0
-3133,103,541,725,263,-2294,2024-02-05 15:59:00.046,0.0
-3417,390,646,-1625,2254,-857,2024-02-05 15:59:00.103,0.0
-3415,325,407,-4037,2020,-252,2024-02-05 15:59:00.153,0.0
-3481,-120,460,-4660,2683,-1093,2024-02-05 15:59:00.217,0.0
-3521,-39,585,-4091,-1203,-791,2024-02-05 15:59:00.269,0.0
-3442,-254,775,-2795,-725,-395,2024-02-05 15:59:00.325,0.0
-3391,-238,643,-1949,-451,-459,2024-02-05 15:59:00.388,0.0
-3663,165,750,-2255,-1214,-448,2024-02-05 15:59:00.444,0.0
-3517,63,595,-2567,-1720,50,2024-02-05 15:59:00.504,0.0
-3412,-18,704,-2689,-2023,246,2024-02-05 15:59:00.555,0.0
-3448,-100,773,-2945,-1786,295,2024-02-05 15:59:00.614,0.0
-3221,-52,707,-3346,-1050,-74,2024-02-05 15:59:00.664,
-3424,63,841,-3441,100,-344,2024-02-05 15:59:00.730,0.0
-3652,-205,932,-2179,548,74,2024-02-05 15:59:00.779,0.0
-3529,-88,933,-1701,-157,142,2024-02-05 15:59:00.840,0.0
-3449,29,803,-1850,-19,460,2024-02-05 15:59:00.898,0.0
-3408,-30,739,-2499,553,340,2024-02-05 15:59:00.948,0.0
-3374,-32,871,-2942,580,13,2024-02-05 15:59:01.006,0.0
-3531,-106,782,-2762,857,-2,2024-02-05 15:59:01.062,0.0
-3536,-82,829,-2429,373,216,2024-02-05 15:59:01.119,0.0
-3387,-95,799,-2309,162,324,2024-02-05 15:59:01.184,0.0
-3466,-138,733,-2207,707,316,2024-02-05 15:59:01.233,0.0
-3319,-156,652,-1845,1094,328,2024-02-05 15:59:01.292,0.0
-3347,-136,591,-1715,2624,122,2024-02-05 15:59:01.350,0.0
-3393,-44,511,-1643,2960,-54,2024-02-05 15:59:01.407,0.0
-3442,-66,657,-1777,3880,-144,2024-02-05 15:59:01.455,0.0
-3661,-33,545,-1640,3293,157,2024-02-05 15:59:01.515,0.0
-3502,13,501,-1741,2355,211,2024-02-05 15:59:01.572,0.0
-3482,73,478,-1946,2434,367,2024-02-05 15:59:01.632,0.0
-3509,-45,258,-2718,1375,389,2024-02-05 15:59:01.690,0.0
-3500,54,233,-3507,1511,-199,2024-02-05 15:59:01.747,0.0
-3508,12,258,-4010,684,-244,2024-02-05 15:59:01.805,
-3455,-185,291,-3251,398,-229,2024-02-05 15:59:01.856,0.0
-3418,-127,211,-2344,238,-420,2024-02-05 15:59:01.921,0.0
-3507,-36,296,-1648,107,-418,2024-02-05 15:59:01.971,0.0
-3500,-144,289,-1266,-391,-530,2024-02-05 15:59:02.029,0.0
-3443,-100,316,-1132,-1052,-732,2024-02-05 15:59:02.085,0.0
-3461,-105,354,-764,-1243,-758,2024-02-05 15:59:02.145,0.0
-3425,-219,424,-104,-1378,-912,2024-02-05 15:59:02.211,0.0
-3535,-103,389,735,-1690,-816,2024-02-05 15:59:02.259,0.0
-3402,-118,345,1621,-1769,-719,2024-02-05 15:59:02.308,0.0
-3441,-147,390,2235,-1265,-795,2024-02-05 15:59:02.364,0.0
-3459,-111,521,2520,-1117,-821,2024-02-05 15:59:02.424,0.0
-3429,-81,480,2576,-616,-841,2024-02-05 15:59:02.481,0.0
-3420,-108,485,2733,-278,-862,2024-02-05 15:59:02.546,0.0
-3488,-128,538,2884,212,-797,2024-02-05 15:59:02.604,0.0
-3491,-34,548,2685,326,-552,2024-02-05 15:59:02.653,0.0
-3491,21,532,2155,553,-452,2024-02-05 15:59:02.709,0.0
-3452,-9,511,1538,627,-392,2024-02-05 15:59:02.782,0.0
-3509,-22,520,888,803,-273,2024-02-05 15:59:02.823,0.0
-3510,3,404,285,667,-96,2024-02-05 15:59:02.879,0.0
-3441,6,313,-395,829,21,2024-02-05 15:59:02.943,
