acceleration_x,acceleration_y,acceleration_z,gyroscope_x,gyroscope_y,gyroscope_z,timestamp,label
-3461,138,574,-53,-122,-168,2024-02-05 15:55:29.745,0.0
-3415,143,562,-5,-175,-199,2024-02-05 15:55:29.803,0.0
-3438,162,564,5,132,-191,2024-02-05 15:55:29.860,0.0
-3422,128,529,-44,328,-271,2024-02-05 15:55:29.916,0.0
-3488,117,530,44,488,-238,2024-02-05 15:55:29.972,0.0
-3459,155,559,124,372,-211,2024-02-05 15:55:30.030,0.0
-3473,133,540,190,253,-244,2024-02-05 15:55:30.080,0.0
-3465,149,516,132,175,-257,2024-02-05 15:55:30.138,0.0
-3433,136,518,37,79,-260,2024-02-05 15:55:30.205,0.0
-3463,148,550,65,203,-287,2024-02-05 15:55:30.254,0.0
-3434,148,527,-70,266,-253,2024-02-05 15:55:30.312,0.0
-3467,142,505,-180,311,-171,2024-02-05 15:55:30.368,0.0
-3454,145,524,-230,307,-194,2024-02-05 15:55:30.433,0.0
-3472,112,511,-331,271,-156,2024-02-05 15:55:30.493,0.0
-3453,110,575,-356,289,-148,2024-02-05 15:55:30.534,0.0
-3448,146,529,-279,190,-130,2024-02-05 15:55:30.599,0.0
-3435,146,535,-230,171,-156,2024-02-05 15:55:30.652,0.0
-3484,159,502,-256,209,-163,2024-02-05 15:55:30.709,0.0
-3457,125,513,-371,148,-132,2024-02-05 15:55:30.766,0.0
-3457,124,517,-411,304,-170,2024-02-05 15:55:30.823,
-3475,113,466,-389,267,-157,2024-02-05 15:55:30.880,0.0
-3468,107,480,-288,205,-137,2024-02-05 15:55:30.946,0.0
-3456,114,507,-129,217,-195,2024-02-05 15:55:30.995,0.0
-3440,135,469,-104,315,-198,2024-02-05 15:55:31.047,0.0
-3458,117,535,-115,290,-198,2024-02-05 15:55:31.154,0.0
-3480,131,514,-91,286,-243,2024-02-05 15:55:31.162,0.0
-3486,125,509,-23,191,-198,2024-02-05 15:55:31.218,0.0
-3452,126,488,22,191,-266,2024-02-05 15:55:31.268,0.0
-3486,129,499,-18,327,-291,2024-02-05 15:55:31.325,0.0
-3496,142,419,-156,550,-356,2024-02-05 15:55:31.438,0.0
-3533,68,421,-512,586,-640,2024-02-05 15:55:31.446,0.0
-3578,72,487,-623,383,-1311,2024-02-05 15:55:31.503,0.0
-3481,-19,393,-207,824,-1723,2024-02-05 15:55:31.560,0.0
-3327,149,238,-577,642,-779,2024-02-05 15:55:31.619,0.0
-3357,215,291,-935,-1255,-143,2024-02-05 15:55:31.676,0.0
-3545,33,346,-1237,-2109,-809,2024-02-05 15:55:31.728,0.0
-2766,-202,-75,-1331,-2975,2198,2024-02-05 15:55:31.784,0.0
-3548,-25,304,-255,-334,103,2024-02-05 15:55:31.844,0.0
-3289,-10,29,1465,477,-199,2024-02-05 15:55:31.998,0.0
-3289,-222,-155,3075,887,-455,2024-02-05 15:55:31.998,
-2467,6,-341,4479,962,-781,2024-02-05 15:55:32.014,0.0
-2737,-1,464,4303,7410,-730,2024-02-05 15:55:32.070,0.0
-3487,326,311,2976,7002,-1080,2024-02-05 15:55:32.128,0.0
-3565,23,480,1828,-1844,251,2024-02-05 15:55:32.196,0.0
-3177,79,1093,68,-1711,-613,2024-02-05 15:55:32.236,0.0
-3277,-18,850,-690,-3001,-516,2024-02-05 15:55:32.293,0.0
-3501,-260,1006,-103,-6600,370,2024-02-05 15:55:32.361,0.0
-2619,-245,934,560,-7589,-139,2024-02-05 15:55:32.410,0.0
-3235,104,843,684,-6793,207,2024-02-05 15:55:32.459,0.0
-3593,320,1135,-350,-9348,607,2024-02-05 15:55:32.533,0.0
-3260,-83,1600,-728,-8534,990,2024-02-05 15:55:32.574,0.0
-3076,67,1444,-925,-8009,605,2024-02-05 15:55:32.679,0.0
