acceleration_x,acceleration_y,acceleration_z,gyroscope_x,gyroscope_y,gyroscope_z,timestamp,label
-3438,-119,238,-423,206,-177,2024-02-05 15:48:08.146,0.0
-3481,-119,222,-249,163,-188,2024-02-05 15:48:08.205,0.0
-3451,-84,223,-129,152,-198,2024-02-05 15:48:08.278,0.0
-3474,-61,259,-108,172,-185,2024-02-05 15:48:08.319,0.0
-3431,-58,223,-139,213,-185,2024-02-05 15:48:08.367,0.0
-3446,-77,217,-112,247,-163,2024-02-05 15:48:08.435,0.0
-3450,-86,244,-65,139,-190,2024-02-05 15:48:08.484,0.0
-3471,-81,235,-53,198,-165,2024-02-05 15:48:08.549,0.0
-3459,-83,222,-57,222,-156,2024-02-05 15:48:08.599,0.0
-3445,-72,217,-86,215,-150,2024-02-05 15:48:08.657,0.0
-3470,-63,223,-98,237,-167,2024-02-05 15:48:08.715,0.0
-3443,-69,213,-120,193,-167,2024-02-05 15:48:08.764,0.0
-3472,-78,237,-113,205,-177,2024-02-05 15:48:08.831,0.0
-3459,-82,201,-90,184,-175,2024-02-05 15:48:08.879,0.0
-3457,-76,225,-95,183,-214,2024-02-05 15:48:08.937,0.0
-3464,-87,246,-100,228,-143,2024-02-05 15:48:09.001,0.0
-3443,-73,239,-152,175,-157,2024-02-05 15:48:09.051,0.0
-3448,-61,226,-142,215,-200,2024-02-05 15:48:09.116,0.0
-3497,-80,214,-161,139,-148,2024-02-05 15:48:09.174,0.0
-3466,-53,200,-189,155,-166,2024-02-05 15:48:09.222,0.0
-3468,-52,187,-251,185,-153,2024-02-05 15:48:09.280,0.0
-3459,-96,181,-332,262,-124,2024-02-05 15:48:09.330,0.0
-3480,-63,242,-337,263,-136,2024-02-05 15:48:09.395,0.0
-3461,-66,159,-268,160,-142,2024-02-05 15:48:09.447,0.0
-3467,-66,242,-213,234,-181,2024-02-05 15:48:09.506,0.0
-3439,-49,204,-196,176,-142,2024-02-05 15:48:09.587,0.0
-3483,-73,247,-122,163,-150,2024-02-05 15:48:09.619,0.0
-3440,-69,205,-151,149,-171,2024-02-05 15:48:09.725,0.0
-3475,-65,208,-158,99,-167,2024-02-05 15:48:09.733,0.0
-3464,-66,173,-205,103,-147,2024-02-05 15:48:09.785,0.0
-3462,-76,216,-191,194,-157,2024-02-05 15:48:09.842,0.0
-3432,-65,225,-225,217,-176,2024-02-05 15:48:09.899,0.0
-3490,-81,242,-201,217,-191,2024-02-05 15:48:10.004,0.0
-3470,-83,214,-196,132,-185,2024-02-05 15:48:10.004,0.0
-3464,-57,240,-174,131,-173,2024-02-05 15:48:10.072,0.0
-3466,-45,251,-92,190,-179,2024-02-05 15:48:10.129,0.0
-3459,-59,247,-96,199,-177,2024-02-05 15:48:10.181,0.0
-3445,-59,228,-114,186,-167,2024-02-05 15:48:10.302,0.0
-3465,-59,225,-159,191,-158,2024-02-05 15:48:10.302,0.0
-3456,-73,233,-150,140,-176,2024-02-05 15:48:10.351,0.0
-3451,-60,234,-145,171,-182,2024-02-05 15:48:10.408,0.0
-3489,-58,219,-216,211,-159,2024-02-05 15:48:10.465,0.0
-3482,-58,220,-256,151,-178,2024-02-05 15:48:10.530,0.0
