acceleration_x,acceleration_y,acceleration_z,gyroscope_x,gyroscope_y,gyroscope_z,timestamp,label
-13768,232,1564,-81,264,-246,2024-01-24 11:13:50,0.0
-13676,276,1568,-125,280,-191,2024-01-24 11:13:50,0.0
-13796,312,1632,-135,346,-184,2024-01-24 11:13:50,0.0
-13740,364,1616,-157,451,-168,2024-01-24 11:13:50,0.0
-13896,376,1544,-221,385,-122,2024-01-24 11:13:50,0.0
-13796,348,1692,-229,292,-142,2024-01-24 11:13:50,0.0
-13828,284,1672,-183,218,-189,2024-01-24 11:13:50,0.0
-13816,276,1704,-139,308,-234,2024-01-24 11:13:50,0.0
-13888,136,1596,-150,340,-227,2024-01-24 11:13:50,0.0
-13828,172,1720,-132,305,-188,2024-01-24 11:13:50,0.0
-13872,244,1708,-156,197,-28,2024-01-24 11:13:50,0.0
-13772,344,1768,-137,321,-25,2024-01-24 11:13:50,0.0
-13860,196,1720,-41,563,-102,2024-01-24 11:13:50,0.0
-14012,120,1632,33,571,-225,2024-01-24 11:13:50,0.0
-14084,256,1564,60,347,-262,2024-01-24 11:13:50,0.0
-14060,84,1396,-152,360,-272,2024-01-24 11:13:50,0.0
-13256,924,1796,-8,-445,-422,2024-01-24 11:13:50,0.0
-13396,512,1252,-31,664,229,2024-01-24 11:13:50,0.0
-14252,-48,1224,-189,921,-216,2024-01-24 11:13:50,0.0
-14016,232,1908,-206,479,-159,2024-01-24 11:13:50,0.0
-14024,160,2044,-102,184,-203,2024-01-24 11:13:50,0.0
-13876,256,1360,-149,252,-160,2024-01-24 11:13:50,0.0
-13752,360,1576,-168,342,-137,2024-01-24 11:13:50,0.0
-13920,420,1564,-164,317,-111,2024-01-24 11:13:50,0.0
-13968,340,1544,-140,245,-159,2024-01-24 11:13:50,0.0
-13860,324,1524,-205,135,-157,2024-01-24 11:13:50,0.0
-13872,316,1580,-213,165,-153,2024-01-24 11:13:50,0.0
-13756,368,1568,-233,179,-140,2024-01-24 11:13:50,0.0
-13772,236,1464,-250,311,-145,2024-01-24 11:13:50,0.0
-13728,296,1576,-192,469,-133,2024-01-24 11:13:50,0.0
-13840,344,1720,-202,484,-172,2024-01-24 11:13:50,0.0
-13904,352,1452,-161,409,-168,2024-01-24 11:13:50,0.0
-13904,200,1628,-206,309,-166,2024-01-24 11:13:50,0.0
-13924,296,1576,-203,256,-175,2024-01-24 11:13:50,0.0
-13800,292,1580,-185,308,-182,2024-01-24 11:13:50,0.0
-13816,360,1552,-163,418,-160,2024-01-24 11:13:51,0.0
-13880,432,1644,-141,403,-159,2024-01-24 11:13:51,0.0
-13876,396,1588,-174,343,-172,2024-01-24 11:13:51,0.0
-13900,380,1536,-168,332,-177,2024-01-24 11:13:51,0.0
-13784,304,1452,-178,243,-186,2024-01-24 11:13:51,0.0
-13856,340,1492,-157,169,-164,2024-01-24 11:13:51,0.0
-13904,396,1672,-159,247,-167,2024-01-24 11:13:51,0.0
-13848,344,1688,-157,297,-192,2024-01-24 11:13:51,0.0
-13752,376,1732,-139,296,-217,2024-01-24 11:13:51,0.0
-13912,272,1684,-118,273,-203,2024-01-24 11:13:51,0.0
-13892,336,1532,-132,258,-168,2024-01-24 11:13:51,0.0
-13920,284,1476,-132,211,-141,2024-01-24 11:13:51,0.0
-13860,280,1648,-123,188,-175,2024-01-24 11:13:51,0.0
-13916,416,1580,-106,202,-183,2024-01-24 11:13:51,0.0
-13800,348,1676,-116,174,-174,2024-01-24 11:13:51,0.0
-13848,404,1464,-130,155,-171,2024-01-24 11:13:51,0.0
-13740,412,1548,-180,218,-183,2024-01-24 11:13:51,0.0
-13804,512,1560,-170,271,-167,2024-01-24 11:13:51,0.0
-13768,420,1496,-195,353,-157,2024-01-24 11:13:51,0.0
-13852,536,1452,-216,363,-165,2024-01-24 11:13:51,0.0
-13888,532,1420,-217,320,-186,2024-01-24 11:13:51,0.0
-13768,412,1464,-264,314,-223,2024-01-24 11:13:51,0.0
-13784,296,1532,-286,309,-210,2024-01-24 11:13:51,0.0
-13904,384,1524,-307,294,-248,2024-01-24 11:13:51,0.0
-13900,316,1432,-302,310,-199,2024-01-24 11:13:51,0.0
-13860,368,1444,-358,296,-218,2024-01-24 11:13:51,0.0
-13916,280,1512,-307,312,-225,2024-01-24 11:13:51,0.0
-13808,336,1548,-297,245,-194,2024-01-24 11:13:51,0.0
-13864,292,1684,-297,257,-211,2024-01-24 11:13:51,0.0
-13840,208,1476,-231,279,-215,2024-01-24 11:13:51,0.0
-13836,192,1504,-220,362,-169,2024-01-24 11:13:51,0.0
-13920,384,1392,-244,406,-174,2024-01-24 11:13:51,0.0
-13756,356,1388,-224,472,-182,2024-01-24 11:13:51,0.0
-13852,304,1340,-214,613,-173,2024-01-24 11:13:51,0.0
-13932,264,1392,-207,597,-125,2024-01-24 11:13:51,0.0
-13900,276,1292,-152,490,-120,2024-01-24 11:13:51,0.0
-13900,208,1492,-97,334,-106,2024-01-24 11:13:51,0.0
-13864,252,1360,-130,204,-111,2024-01-24 11:13:51,0.0
-13852,244,1332,-68,206,-128,2024-01-24 11:13:51,0.0
-13756,340,1472,-51,215,-146,2024-01-24 11:13:51,0.0
-13744,316,1544,-34,270,-184,2024-01-24 11:13:51,0.0
-13792,412,1400,-46,234,-180,2024-01-24 11:13:51,0.0
-13828,452,1388,-86,238,-191,2024-01-24 11:13:51,0.0
-13664,296,1284,-89,265,-201,2024-01-24 11:13:51,0.0
-13752,328,1464,-159,333,-212,2024-01-24 11:13:51,0.0
-13852,340,1528,-199,319,-190,2024-01-24 11:13:51,0.0
-13972,412,1360,-272,254,-195,2024-01-24 11:13:51,0.0
-13892,276,1424,-330,177,-212,2024-01-24 11:13:51,0.0
-13888,276,1388,-359,183,-197,2024-01-24 11:13:51,0.0
-13844,252,1520,-400,189,-208,2024-01-24 11:13:51,0.0
-13728,312,1504,-403,167,-208,2024-01-24 11:13:51,0.0
-13940,272,1436,-422,227,-225,2024-01-24 11:13:51,0.0
-13896,268,1272,-410,251,-196,2024-01-24 11:13:51,0.0
-13924,216,1336,-432,224,-199,2024-01-24 11:13:51,0.0
-13992,232,1388,-431,200,-216,2024-01-24 11:13:51,0.0
-13864,396,1560,-403,108,-210,2024-01-24 11:13:51,0.0
-13920,328,1204,-382,141,-221,2024-01-24 11:13:51,0.0
-13924,264,1264,-334,140,-249,2024-01-24 11:13:51,0.0
-13776,324,1392,-320,181,-231,2024-01-24 11:13:51,0.0
-13836,268,1348,-292,196,-219,2024-01-24 11:13:52,0.0
