acceleration_x,acceleration_y,acceleration_z,gyroscope_x,gyroscope_y,gyroscope_z,timestamp,label
-3467,-297,81,476,-86,79,2024-02-05 15:56:36.961,0.0
-3318,-192,35,822,-254,-215,2024-02-05 15:56:37.017,0.0
-3480,-141,16,563,-64,-216,2024-02-05 15:56:37.074,0.0
-3400,-121,61,84,-25,-246,2024-02-05 15:56:37.130,0.0
-3432,-171,103,-5,1,-189,2024-02-05 15:56:37.186,0.0
-3480,-219,97,45,141,-234,2024-02-05 15:56:37.243,0.0
-3448,-262,75,132,-79,-219,2024-02-05 15:56:37.300,0.0
-3461,-206,65,193,11,-216,2024-02-05 15:56:37.357,0.0
-3439,-184,31,72,22,-184,2024-02-05 15:56:37.425,0.0
-3411,-222,34,-157,249,-151,2024-02-05 15:56:37.473,0.0
-3449,-218,59,-174,290,-171,2024-02-05 15:56:37.533,0.0
-3474,-201,113,-243,298,-188,2024-02-05 15:56:37.582,0.0
-3449,-195,92,-246,257,-108,2024-02-05 15:56:37.639,0.0
-3459,-210,98,-187,208,-112,2024-02-05 15:56:37.703,0.0
-3435,-180,89,-77,221,-156,2024-02-05 15:56:37.751,0.0
-3465,-187,73,-131,310,-170,2024-02-05 15:56:37.809,0.0
-3454,-144,79,-281,325,-101,2024-02-05 15:56:37.869,0.0
-3430,-180,85,-288,384,-83,2024-02-05 15:56:37.927,0.0
-3458,-228,10,-280,346,-111,2024-02-05 15:56:37.984,0.0
-3433,-207,36,-212,272,-191,2024-02-05 15:56:38.035,
-3448,-227,99,-263,254,-122,2024-02-05 15:56:38.091,0.0
-3451,-171,65,-182,327,-126,2024-02-05 15:56:38.151,0.0
-3433,-220,64,-58,326,-182,2024-02-05 15:56:38.208,0.0
-3421,-206,45,-6,448,-156,2024-02-05 15:56:38.265,0.0
-3441,-212,28,14,465,-121,2024-02-05 15:56:38.321,0.0
-3461,-164,-10,55,414,-165,2024-02-05 15:56:38.378,0.0
-3448,-173,7,85,489,-182,2024-02-05 15:56:38.435,0.0
-3440,-166,-11,90,456,-202,2024-02-05 15:56:38.492,0.0
-3467,-177,-19,26,290,-183,2024-02-05 15:56:38.553,0.0
-3440,-156,-6,34,306,-140,2024-02-05 15:56:38.610,0.0
-3438,-194,-28,-1,230,-107,2024-02-05 15:56:38.660,0.0
-3445,-170,-48,-2,308,-169,2024-02-05 15:56:38.716,0.0
-3435,-197,-67,-2,315,-246,2024-02-05 15:56:38.773,0.0
-3402,-179,-62,2,276,-241,2024-02-05 15:56:38.838,0.0
-3390,-182,-74,-101,428,-230,2024-02-05 15:56:38.894,0.0
-3434,-175,-13,-185,454,-170,2024-02-05 15:56:38.952,0.0
-3436,-222,-31,-100,453,-217,2024-02-05 15:56:39.009,0.0
-3474,-179,-33,-81,435,-195,2024-02-05 15:56:39.058,0.0
-3440,-204,-65,-41,440,-176,2024-02-05 15:56:39.114,0.0
-3452,-200,-44,-4,238,-196,2024-02-05 15:56:39.179,
-3407,-196,-70,-71,269,-134,2024-02-05 15:56:39.236,0.0
-3438,-200,-85,-130,289,-152,2024-02-05 15:56:39.293,0.0
-3441,-193,-94,-23,160,-282,2024-02-05 15:56:39.342,0.0
-3426,-222,-130,-94,237,-279,2024-02-05 15:56:39.398,0.0
-3431,-218,-166,-117,224,-322,2024-02-05 15:56:39.457,0.0
-3470,-182,-116,3,916,-548,2024-02-05 15:56:39.517,0.0
-3468,-236,-198,-69,317,-479,2024-02-05 15:56:39.573,0.0
-3410,-177,-335,-341,318,-137,2024-02-05 15:56:39.626,0.0
-3186,-194,-374,-668,1890,417,2024-02-05 15:56:39.682,0.0
-3099,-288,-442,-1061,2421,685,2024-02-05 15:56:39.746,0.0
-2453,-328,-52,-47,1441,-839,2024-02-05 15:56:39.802,0.0
-2027,-137,-348,792,2007,-490,2024-02-05 15:56:39.859,0.0
-1276,-23,-181,-278,1836,-1029,2024-02-05 15:56:39.908,0.0
-4188,626,4,-1086,11471,2832,2024-02-05 15:56:39.973,0.0
-8092,-899,-2515,-745,6239,-1106,2024-02-05 15:56:40.024,0.0
-10597,-423,-954,-935,4286,708,2024-02-05 15:56:40.088,0.0
-5912,-84,-1340,1727,-15946,1122,2024-02-05 15:56:40.141,0.0
11,412,-1538,-384,-16427,-836,2024-02-05 15:56:40.199,0.0
3695,-546,-776,-1670,2307,-2304,2024-02-05 15:56:40.256,0.0
