acceleration_x,acceleration_y,acceleration_z,gyroscope_x,gyroscope_y,gyroscope_z,timestamp,label
-13888,552,312,51,210,-158,2024-01-24 10:50:47,0.0
-13600,580,212,-11,210,-174,2024-01-24 10:50:47,0.0
-13688,524,392,-122,296,-240,2024-01-24 10:50:47,0.0
-13524,272,220,-184,341,-235,2024-01-24 10:50:47,0.0
-13756,128,176,-235,479,-205,2024-01-24 10:50:47,0.0
-13856,44,368,-317,375,-255,2024-01-24 10:50:47,0.0
-13960,8,512,-354,128,-253,2024-01-24 10:50:47,0.0
-13904,24,332,-397,12,-225,2024-01-24 10:50:47,0.0
-13780,64,624,-321,-23,-198,2024-01-24 10:50:47,0.0
-13668,64,448,-189,39,-149,2024-01-24 10:50:47,0.0
-13620,36,540,-69,123,-162,2024-01-24 10:50:47,0.0
-13760,40,672,-23,137,-151,2024-01-24 10:50:47,0.0
-13960,-84,476,-9,128,-174,2024-01-24 10:50:47,0.0
-13924,112,504,-26,14,-223,2024-01-24 10:50:47,0.0
-13724,140,512,-114,39,-193,2024-01-24 10:50:47,0.0
-13836,-28,428,-154,162,-168,2024-01-24 10:50:47,0.0
-13780,104,632,-159,122,-174,2024-01-24 10:50:47,0.0
-13816,108,620,-101,98,-179,2024-01-24 10:50:47,0.0
-13784,52,572,-84,71,-177,2024-01-24 10:50:47,0.0
-13828,36,404,-70,74,-184,2024-01-24 10:50:47,0.0
-13764,-4,404,-111,107,-205,2024-01-24 10:50:47,0.0
-13864,-120,476,-170,161,-192,2024-01-24 10:50:47,0.0
-13884,-52,684,-179,237,-176,2024-01-24 10:50:47,0.0
-13824,-64,748,-174,198,-181,2024-01-24 10:50:47,0.0
-13768,68,580,-141,144,-193,2024-01-24 10:50:47,0.0
-13860,100,708,-112,120,-176,2024-01-24 10:50:47,0.0
-13744,168,564,-80,110,-189,2024-01-24 10:50:47,0.0
-13700,-12,692,-88,214,-179,2024-01-24 10:50:47,0.0
-13712,4,548,-53,295,-191,2024-01-24 10:50:47,0.0
-13800,-36,596,-53,312,-206,2024-01-24 10:50:47,0.0
-13956,40,600,-41,379,-171,2024-01-24 10:50:47,0.0
-13868,120,560,-59,291,-155,2024-01-24 10:50:47,0.0
-13708,180,588,-67,294,-175,2024-01-24 10:50:47,0.0
-13776,80,472,-100,302,-138,2024-01-24 10:50:47,0.0
-13856,196,484,-200,263,-173,2024-01-24 10:50:47,0.0
-13808,28,384,-191,280,-164,2024-01-24 10:50:47,0.0
-13848,24,564,-266,288,-172,2024-01-24 10:50:47,0.0
-13764,120,332,-303,335,-176,2024-01-24 10:50:47,0.0
-13696,116,696,-308,419,-143,2024-01-24 10:50:47,0.0
-13808,0,604,-306,426,-185,2024-01-24 10:50:47,0.0
-13928,-260,592,-280,369,-212,2024-01-24 10:50:47,0.0
-13904,-212,504,-253,398,-191,2024-01-24 10:50:47,0.0
-13816,-96,600,-226,435,-197,2024-01-24 10:50:47,0.0
-13920,-88,448,-156,431,-183,2024-01-24 10:50:48,0.0
-13868,-8,588,-122,463,-170,2024-01-24 10:50:48,0.0
-13744,-120,528,-46,383,-188,2024-01-24 10:50:48,0.0
-13652,-116,544,30,463,-188,2024-01-24 10:50:48,0.0
-13968,-116,340,146,632,-94,2024-01-24 10:50:48,0.0
-14188,-224,-80,125,215,-117,2024-01-24 10:50:48,0.0
-14012,-116,-180,0,-189,-192,2024-01-24 10:50:48,0.0
-13828,-144,188,1,-303,-221,2024-01-24 10:50:48,0.0
-13464,-36,-268,-114,-110,-250,2024-01-24 10:50:48,0.0
-13436,232,-256,-74,370,-226,2024-01-24 10:50:48,0.0
-13528,172,-716,-93,759,-273,2024-01-24 10:50:48,0.0
-13476,316,-668,-162,1031,-264,2024-01-24 10:50:48,0.0
-13272,252,-940,-287,1327,-259,2024-01-24 10:50:48,0.0
-13400,-140,-908,-526,1543,-308,2024-01-24 10:50:48,0.0
-13400,-212,-928,-548,1679,-389,2024-01-24 10:50:48,0.0
-13676,156,-1404,-635,1843,-377,2024-01-24 10:50:48,0.0
-13504,236,-1652,-611,2133,-344,2024-01-24 10:50:48,0.0
-13324,168,-1920,-390,2543,-257,2024-01-24 10:50:48,0.0
-12972,308,-2440,-116,2974,-273,2024-01-24 10:50:48,0.0
-12544,208,-2156,318,3531,-323,2024-01-24 10:50:48,0.0
-12204,-476,-2012,999,4076,-228,2024-01-24 10:50:48,0.0
-12368,-1064,-2700,1364,4355,28,2024-01-24 10:50:48,0.0
-12320,-1224,-3708,1495,4391,261,2024-01-24 10:50:48,0.0
-11820,-860,-3640,1518,4755,335,2024-01-24 10:50:48,0.0
-12324,-160,-2848,1239,4811,362,2024-01-24 10:50:48,0.0
-12636,184,-2532,995,4356,476,2024-01-24 10:50:48,0.0
-12280,592,-3896,911,3409,453,2024-01-24 10:50:48,0.0
-11728,120,-3588,455,2756,313,2024-01-24 10:50:48,0.0
-9904,136,-3084,-223,2531,551,2024-01-24 10:50:48,0.0
-8724,704,-2984,-210,3831,884,2024-01-24 10:50:48,0.0
-7848,196,-3396,-179,5946,776,2024-01-24 10:50:48,0.0
-9720,288,-2488,-51,7978,668,2024-01-24 10:50:48,0.0
-11492,-272,-1388,306,8687,369,2024-01-24 10:50:48,0.0
-12644,-472,-988,852,7904,-415,2024-01-24 10:50:48,0.0
-13696,108,-1840,853,5831,-1806,2024-01-24 10:50:48,0.0
-12844,-584,-3628,507,4791,-1356,2024-01-24 10:50:48,0.0
