acceleration_x,acceleration_y,acceleration_z,gyroscope_x,gyroscope_y,gyroscope_z,timestamp,label
-3446,-65,45,1434,332,-426,2024-02-05 15:54:21.580,0.0
-3556,-49,198,1538,383,-252,2024-02-05 15:54:21.640,0.0
-3471,-149,79,1525,-675,-72,2024-02-05 15:54:21.698,0.0
-3419,-39,30,1321,244,-256,2024-02-05 15:54:21.755,0.0
-3435,-265,82,1375,578,-932,2024-02-05 15:54:21.807,0.0
-3448,-448,198,2166,972,-1020,2024-02-05 15:54:21.864,0.0
-3566,-427,428,2961,1177,-1104,2024-02-05 15:54:21.921,0.0
-3656,-200,441,1722,-793,-987,2024-02-05 15:54:21.978,0.0
-3422,-304,417,461,-1308,165,2024-02-05 15:54:22.035,0.0
-3514,-262,288,-933,-764,751,2024-02-05 15:54:22.087,0.0
-3394,-283,151,-1908,260,11,2024-02-05 15:54:22.144,0.0
-3361,-354,154,-1597,591,663,2024-02-05 15:54:22.201,0.0
-3439,-356,127,-780,649,782,2024-02-05 15:54:22.275,0.0
-3403,16,41,-717,677,552,2024-02-05 15:54:22.316,0.0
-3493,-131,-155,-810,353,366,2024-02-05 15:54:22.375,0.0
-3343,67,-271,-2073,147,310,2024-02-05 15:54:22.474,0.0
-3383,339,-27,-3223,1674,-174,2024-02-05 15:54:22.491,0.0
-3774,152,491,-3086,2311,503,2024-02-05 15:54:22.540,0.0
-3626,-63,784,-1200,261,650,2024-02-05 15:54:22.599,0.0
-3408,197,483,534,-976,109,2024-02-05 15:54:22.656,
-3269,359,87,695,245,-546,2024-02-05 15:54:22.721,0.0
-3775,296,171,14,-386,1600,2024-02-05 15:54:22.770,0.0
-3021,100,54,505,-1317,2014,2024-02-05 15:54:22.835,0.0
-3374,-153,-107,1450,2521,273,2024-02-05 15:54:22.883,0.0
-3672,115,89,1366,-556,-1306,2024-02-05 15:54:22.940,0.0
-3371,241,-93,486,-1571,-401,2024-02-05 15:54:23.000,0.0
-3341,166,-95,-565,-76,-69,2024-02-05 15:54:23.057,0.0
-3519,13,100,-483,821,2,2024-02-05 15:54:23.116,0.0
-3593,96,106,9,-742,29,2024-02-05 15:54:23.182,0.0
-3378,110,71,118,-666,-492,2024-02-05 15:54:23.232,0.0
-3492,153,199,-68,328,-518,2024-02-05 15:54:23.281,0.0
-3451,113,194,-317,-182,-321,2024-02-05 15:54:23.345,0.0
-3470,115,150,-248,144,-279,2024-02-05 15:54:23.410,0.0
