acceleration_x,acceleration_y,acceleration_z,gyroscope_x,gyroscope_y,gyroscope_z,timestamp,label
-3471,13,139,921,328,-207,2024-02-05 15:49:35.961,0.0
-3444,-43,221,618,150,-161,2024-02-05 15:49:36.025,0.0
-3459,-6,158,364,204,-187,2024-02-05 15:49:36.074,0.0
-3502,-36,172,32,217,-198,2024-02-05 15:49:36.132,0.0
-3444,-17,199,-264,62,-72,2024-02-05 15:49:36.205,0.0
-3455,-42,207,-365,173,-82,2024-02-05 15:49:36.246,0.0
-3487,-47,213,-407,303,-208,2024-02-05 15:49:36.302,0.0
-3465,-54,141,-472,168,-176,2024-02-05 15:49:36.359,0.0
-3426,-60,227,-539,86,-111,2024-02-05 15:49:36.417,0.0
-3443,-43,202,-471,251,-247,2024-02-05 15:49:36.473,0.0
-3463,-49,234,-401,351,-254,2024-02-05 15:49:36.531,0.0
-3486,-50,217,-261,172,-192,2024-02-05 15:49:36.582,0.0
-3440,-24,169,-286,130,-158,2024-02-05 15:49:36.647,0.0
-3449,-43,209,-292,231,-69,2024-02-05 15:49:36.696,0.0
-3425,-18,188,-297,156,-114,2024-02-05 15:49:36.753,0.0
-3472,-29,205,-207,143,-171,2024-02-05 15:49:36.809,0.0
-3496,-110,247,-16,27,-187,2024-02-05 15:49:36.874,0.0
-3450,-112,241,270,-32,-279,2024-02-05 15:49:36.923,0.0
-3452,-71,190,324,81,-313,2024-02-05 15:49:36.987,0.0
-3448,11,173,63,37,-188,2024-02-05 15:49:37.035,0.0
-3409,19,205,-56,150,-78,2024-02-05 15:49:37.103,0.0
-3437,-36,214,-61,261,-162,2024-02-05 15:49:37.146,0.0
-3431,-2,234,-108,202,-176,2024-02-05 15:49:37.204,0.0
-3462,31,248,-262,217,-143,2024-02-05 15:49:37.268,0.0
-3463,-11,234,-255,48,-104,2024-02-05 15:49:37.325,0.0
-3431,-97,244,-90,3,-206,2024-02-05 15:49:37.374,0.0
-3446,-14,237,63,15,-219,2024-02-05 15:49:37.439,0.0
-3438,-36,276,-30,48,-226,2024-02-05 15:49:37.496,0.0
-3404,0,221,-227,240,-236,2024-02-05 15:49:37.554,0.0
-3459,-25,235,-448,432,-176,2024-02-05 15:49:37.610,0.0
-3505,-36,230,-528,224,-115,2024-02-05 15:49:37.659,0.0
-3468,-48,238,-491,48,-33,2024-02-05 15:49:37.719,0.0
-3454,-59,285,-354,58,-75,2024-02-05 15:49:37.775,0.0
-3434,-72,250,-172,93,-134,2024-02-05 15:49:37.836,0.0
-3471,-58,288,-78,179,-174,2024-02-05 15:49:37.892,0.0
-3451,-39,234,-112,197,-160,2024-02-05 15:49:37.950,0.0
-3456,1,220,-212,218,-210,2024-02-05 15:49:37.999,0.0
-3466,34,223,-294,234,-202,2024-02-05 15:49:38.057,0.0
-3450,11,230,-344,144,-151,2024-02-05 15:49:38.116,0.0
-3454,5,242,-410,235,-117,2024-02-05 15:49:38.174,0.0
-3449,4,228,-328,179,-141,2024-02-05 15:49:38.232,0.0
-3458,-38,265,-274,118,-203,2024-02-05 15:49:38.290,0.0
-3444,-8,267,-223,153,-208,2024-02-05 15:49:38.339,0.0
-3458,-36,301,-170,128,-234,2024-02-05 15:49:38.397,0.0
-3433,-49,219,-66,194,-266,2024-02-05 15:49:38.456,0.0
-3473,-37,276,-47,270,-229,2024-02-05 15:49:38.512,0.0
-3446,-24,267,-51,171,-208,2024-02-05 15:49:38.577,0.0
-3446,-46,261,-17,187,-216,2024-02-05 15:49:38.635,0.0
-3429,-18,245,8,212,-233,2024-02-05 15:49:38.683,0.0
-3483,-52,254,-43,201,-173,2024-02-05 15:49:38.741,0.0
-3455,-44,241,-77,186,-150,2024-02-05 15:49:38.790,0.0
-3478,-49,230,-59,156,-163,2024-02-05 15:49:38.849,0.0
-3454,-32,210,-148,200,-186,2024-02-05 15:49:38.906,0.0
-3423,-48,238,-187,189,-175,2024-02-05 15:49:38.969,0.0
-3452,-35,262,-207,249,-136,2024-02-05 15:49:39.017,0.0
-3478,-43,238,-222,222,-120,2024-02-05 15:49:39.082,0.0
-3451,14,246,-268,218,-83,2024-02-05 15:49:39.141,0.0
-3439,-4,247,-283,207,-93,2024-02-05 15:49:39.190,0.0
-3463,-5,200,-292,209,-152,2024-02-05 15:49:39.243,0.0
-3465,8,230,-341,175,-150,2024-02-05 15:49:39.306,0.0
-3461,-15,236,-320,151,-163,2024-02-05 15:49:39.364,0.0
-3458,-32,260,-230,184,-190,2024-02-05 15:49:39.420,0.0
-3453,-43,256,-183,166,-224,2024-02-05 15:49:39.477,0.0
-3417,-12,241,-116,95,-210,2024-02-05 15:49:39.533,0.0
-3452,-39,241,-82,243,-226,2024-02-05 15:49:39.593,0.0
-3455,-24,247,-103,215,-158,2024-02-05 15:49:39.642,0.0
-3460,-21,247,-87,190,-196,2024-02-05 15:49:39.700,0.0
-3468,-24,263,-29,214,-204,2024-02-05 15:49:39.757,0.0
-3484,-16,263,-66,157,-171,2024-02-05 15:49:39.815,0.0
-3468,-24,257,-132,240,-150,2024-02-05 15:49:39.871,0.0
-3452,-33,260,-98,214,-151,2024-02-05 15:49:39.928,0.0
-3436,-35,232,-105,189,-159,2024-02-05 15:49:39.984,0.0
-3456,5,233,-133,192,-157,2024-02-05 15:49:40.049,0.0
-3441,-20,238,-277,223,-162,2024-02-05 15:49:40.097,0.0
-3470,-54,238,-275,245,-205,2024-02-05 15:49:40.154,0.0
-3469,-38,229,-225,274,-197,2024-02-05 15:49:40.205,0.0
-3475,-49,244,-201,320,-206,2024-02-05 15:49:40.265,0.0
-3459,-16,178,-248,321,-199,2024-02-05 15:49:40.322,0.0
-3492,-7,202,-347,310,-132,2024-02-05 15:49:40.379,0.0
-3467,-45,235,-240,237,-175,2024-02-05 15:49:40.442,0.0
-3419,-8,187,-197,228,-198,2024-02-05 15:49:40.500,0.0
-3470,-20,222,-220,219,-166,2024-02-05 15:49:40.561,0.0
-3463,-23,218,-250,220,-160,2024-02-05 15:49:40.609,0.0
-3436,-13,229,-292,266,-143,2024-02-05 15:49:40.666,0.0
-3448,-35,226,-233,266,-145,2024-02-05 15:49:40.726,0.0
-3458,-24,221,-182,173,-170,2024-02-05 15:49:40.782,0.0
-3480,-28,219,-167,127,-167,2024-02-05 15:49:40.839,0.0
-3439,-9,177,-214,145,-164,2024-02-05 15:49:40.895,0.0
-3429,-11,175,-220,256,-158,2024-02-05 15:49:40.951,0.0
-3432,2,233,-282,432,-176,2024-02-05 15:49:41.015,0.0
