acceleration_x,acceleration_y,acceleration_z,gyroscope_x,gyroscope_y,gyroscope_z,timestamp,label
-13568,696,-208,-162,254,-137,2024-01-24 10:46:59,0.0
-13624,772,-328,-164,299,-125,2024-01-24 10:46:59,0.0
-13716,648,-460,-236,312,-136,2024-01-24 10:46:59,0.0
-13716,640,-464,-289,272,-145,2024-01-24 10:46:59,0.0
-13816,716,-280,-291,311,-156,2024-01-24 10:46:59,0.0
-13808,540,-344,-313,291,-148,2024-01-24 10:46:59,0.0
-13804,624,-172,-271,212,-145,2024-01-24 10:46:59,0.0
-13748,640,-296,-229,267,-173,2024-01-24 10:46:59,0.0
-13748,664,-252,-181,314,-207,2024-01-24 10:46:59,0.0
-13716,620,-268,-113,251,-271,2024-01-24 10:46:59,0.0
-13848,504,-256,-73,173,-255,2024-01-24 10:46:59,0.0
-13740,660,-264,-74,139,-245,2024-01-24 10:46:59,0.0
-13612,676,-448,-101,147,-218,2024-01-24 10:46:59,0.0
-13628,676,-340,-134,158,-221,2024-01-24 10:46:59,0.0
-13736,760,-228,-171,130,-193,2024-01-24 10:46:59,0.0
-13656,616,-328,-174,132,-125,2024-01-24 10:46:59,0.0
-13624,612,-380,-208,108,-79,2024-01-24 10:46:59,0.0
-13684,716,-328,-213,189,-26,2024-01-24 10:46:59,0.0
-13712,708,-288,-179,253,-13,2024-01-24 10:46:59,0.0
-13732,772,-280,-109,267,-50,2024-01-24 10:46:59,0.0
-13824,756,-200,-68,296,-128,2024-01-24 10:46:59,0.0
-13712,672,-268,-68,352,-124,2024-01-24 10:46:59,0.0
-13784,688,-188,-64,323,-172,2024-01-24 10:46:59,0.0
-13752,764,-240,-79,269,-164,2024-01-24 10:46:59,0.0
-13688,700,-404,-90,190,-183,2024-01-24 10:47:00,0.0
-13704,708,-508,-137,138,-153,2024-01-24 10:47:00,0.0
-13664,636,-240,-157,182,-175,2024-01-24 10:47:00,0.0
-13584,636,-328,-153,221,-197,2024-01-24 10:47:00,0.0
-13756,592,-372,-127,253,-211,2024-01-24 10:47:00,0.0
-13732,828,-364,-133,182,-192,2024-01-24 10:47:00,0.0
-13748,856,-380,-130,189,-233,2024-01-24 10:47:00,0.0
-13672,608,-136,-93,160,-211,2024-01-24 10:47:00,0.0
-13656,652,-280,-111,152,-189,2024-01-24 10:47:00,0.0
-13628,672,-156,-103,204,-141,2024-01-24 10:47:00,0.0
-13712,732,-64,-57,229,-106,2024-01-24 10:47:00,0.0
-13540,720,-268,-46,167,-91,2024-01-24 10:47:00,0.0
-13672,732,-232,1,236,-122,2024-01-24 10:47:00,0.0
-13748,716,-328,73,232,-129,2024-01-24 10:47:00,0.0
-13840,752,-260,87,259,-169,2024-01-24 10:47:00,0.0
-13804,680,-300,92,262,-242,2024-01-24 10:47:00,0.0
-13720,776,-252,25,243,-230,2024-01-24 10:47:00,0.0
-13748,688,-360,0,243,-233,2024-01-24 10:47:00,0.0
-13708,716,-484,-41,206,-227,2024-01-24 10:47:00,0.0
-13664,756,-404,-73,176,-242,2024-01-24 10:47:00,0.0
-13692,740,-392,-134,211,-221,2024-01-24 10:47:00,0.0
-13628,788,-380,-198,230,-284,2024-01-24 10:47:00,0.0
-13552,716,-432,-237,312,-279,2024-01-24 10:47:00,0.0
-13568,748,-412,-207,342,-293,2024-01-24 10:47:00,0.0
-13672,684,-372,-186,274,-304,2024-01-24 10:47:00,0.0
-13752,588,-388,-173,280,-301,2024-01-24 10:47:00,0.0
-13840,652,-232,-152,284,-295,2024-01-24 10:47:00,0.0
-13764,680,-372,-196,234,-299,2024-01-24 10:47:00,0.0
-13692,632,-408,-131,219,-287,2024-01-24 10:47:00,0.0
-13672,572,-452,-157,201,-244,2024-01-24 10:47:00,0.0
-13596,544,-596,-135,237,-161,2024-01-24 10:47:00,0.0
-13520,624,-424,-114,288,-134,2024-01-24 10:47:00,0.0
-13576,732,-412,-160,345,-115,2024-01-24 10:47:00,0.0
-13740,764,-564,-185,375,-86,2024-01-24 10:47:00,0.0
-13720,700,-304,-230,299,-87,2024-01-24 10:47:00,0.0
-13776,728,-420,-244,248,-75,2024-01-24 10:47:00,0.0
-13656,768,-444,-177,143,-103,2024-01-24 10:47:00,0.0
-13648,712,-476,-222,233,-156,2024-01-24 10:47:00,0.0
-13648,796,-440,-215,242,-199,2024-01-24 10:47:00,0.0
-13724,636,-376,-222,216,-221,2024-01-24 10:47:00,0.0
-13792,504,-436,-238,256,-266,2024-01-24 10:47:00,0.0
-13692,504,-580,-268,269,-301,2024-01-24 10:47:00,0.0
-13624,544,-536,-275,343,-310,2024-01-24 10:47:00,0.0
-13732,520,-408,-239,367,-286,2024-01-24 10:47:00,0.0
-13936,560,-384,-230,352,-247,2024-01-24 10:47:00,0.0
-13920,464,-412,-197,200,-310,2024-01-24 10:47:00,0.0
-13732,396,-596,-202,128,-331,2024-01-24 10:47:00,0.0
-13436,396,-472,-245,185,-348,2024-01-24 10:47:00,0.0
-13676,416,-432,-225,323,-298,2024-01-24 10:47:00,0.0
-13652,464,-316,-228,319,-256,2024-01-24 10:47:00,0.0
-13752,544,-424,-215,271,-182,2024-01-24 10:47:00,0.0
-13716,528,-448,-214,214,-97,2024-01-24 10:47:00,0.0
-13596,564,-512,-153,214,-48,2024-01-24 10:47:00,0.0
-13644,524,-460,-98,185,-39,2024-01-24 10:47:00,0.0
-13800,464,-196,-6,136,-13,2024-01-24 10:47:00,0.0
-13748,544,-184,114,67,-4,2024-01-24 10:47:00,0.0
-13616,620,-496,167,119,32,2024-01-24 10:47:00,0.0
-13588,632,-352,188,199,30,2024-01-24 10:47:00,0.0
-13636,708,-176,208,247,32,2024-01-24 10:47:00,0.0
-13616,688,-284,224,270,9,2024-01-24 10:47:00,0.0
-13700,620,-348,182,259,-11,2024-01-24 10:47:01,0.0
-13720,616,-536,119,307,-55,2024-01-24 10:47:01,0.0
-13772,684,-560,61,351,-85,2024-01-24 10:47:01,0.0
-13804,752,-584,11,308,-111,2024-01-24 10:47:01,0.0
