acceleration_x,acceleration_y,acceleration_z,gyroscope_x,gyroscope_y,gyroscope_z,timestamp,label
-12956,-464,7344,-191,212,-178,2024-01-24 10:54:25,0.0
-12884,-496,7168,-175,184,-145,2024-01-24 10:54:25,0.0
-12964,-536,7284,-181,183,-169,2024-01-24 10:54:25,0.0
-12924,-468,7272,-199,197,-157,2024-01-24 10:54:25,0.0
-13012,-504,7348,-177,197,-152,2024-01-24 10:54:25,0.0
-12984,-560,7228,-179,166,-169,2024-01-24 10:54:25,0.0
-12992,-496,7192,-197,181,-137,2024-01-24 10:54:25,0.0
-12892,-556,7296,-158,185,-141,2024-01-24 10:54:25,0.0
-13012,-508,7192,-201,130,-167,2024-01-24 10:54:25,0.0
-12972,-536,7220,-184,188,-175,2024-01-24 10:54:25,0.0
-12872,-372,7392,-169,165,-175,2024-01-24 10:54:25,0.0
-13060,-508,7204,-152,215,-191,2024-01-24 10:54:25,0.0
-12960,-432,7240,-172,185,-183,2024-01-24 10:54:25,0.0
-12952,-532,7368,-174,172,-173,2024-01-24 10:54:25,0.0
-12948,-544,7232,-171,181,-162,2024-01-24 10:54:25,0.0
-12948,-516,7328,-199,203,-174,2024-01-24 10:54:25,0.0
-12964,-508,7192,-169,207,-188,2024-01-24 10:54:25,0.0
-12944,-468,7356,-179,194,-173,2024-01-24 10:54:25,0.0
-12988,-464,7356,-198,201,-185,2024-01-24 10:54:25,0.0
-12916,-516,7296,-174,201,-182,2024-01-24 10:54:25,0.0
-12932,-508,7388,-198,186,-175,2024-01-24 10:54:25,0.0
-12948,-464,7100,-174,214,-176,2024-01-24 10:54:25,0.0
-12900,-512,7316,-191,188,-173,2024-01-24 10:54:25,0.0
-12940,-392,7136,-182,211,-183,2024-01-24 10:54:25,0.0
-12988,-496,7248,-184,203,-182,2024-01-24 10:54:25,0.0
-12904,-460,7280,-196,220,-153,2024-01-24 10:54:25,0.0
-12920,-408,7232,-184,206,-203,2024-01-24 10:54:25,0.0
-12884,-444,7240,-181,198,-183,2024-01-24 10:54:25,0.0
-12884,-512,7288,-185,221,-179,2024-01-24 10:54:25,0.0
-12916,-400,7368,-185,191,-195,2024-01-24 10:54:25,0.0
-12936,-396,7356,-172,182,-186,2024-01-24 10:54:25,0.0
-12864,-488,7316,-188,198,-196,2024-01-24 10:54:25,0.0
-13000,-528,7336,-190,184,-163,2024-01-24 10:54:25,0.0
-12928,-492,7232,-177,206,-174,2024-01-24 10:54:25,0.0
-12844,-460,7196,-198,202,-183,2024-01-24 10:54:25,0.0
-12944,-540,7372,-162,220,-193,2024-01-24 10:54:25,0.0
-12896,-492,7340,-186,222,-186,2024-01-24 10:54:25,0.0
-12864,-464,7280,-188,208,-157,2024-01-24 10:54:25,0.0
-12940,-544,7388,-203,239,-149,2024-01-24 10:54:25,0.0
-12964,-480,7288,-209,248,-174,2024-01-24 10:54:25,0.0
-12972,-552,7356,-195,191,-158,2024-01-24 10:54:25,0.0
-12916,-504,7284,-170,150,-144,2024-01-24 10:54:25,0.0
-13080,-532,7160,-188,91,-153,2024-01-24 10:54:25,0.0
-12916,-564,7132,-178,69,-154,2024-01-24 10:54:25,0.0
-12964,-524,7312,-143,47,-186,2024-01-24 10:54:25,0.0
-13016,-504,7456,-168,3,-192,2024-01-24 10:54:25,0.0
-12928,-476,7196,-138,101,-199,2024-01-24 10:54:25,0.0
-12812,-504,7348,-179,167,-187,2024-01-24 10:54:25,0.0
-12916,-604,7288,-171,238,-187,2024-01-24 10:54:25,0.0
-12900,-452,7336,-173,266,-175,2024-01-24 10:54:25,0.0
-12916,-392,7348,-169,240,-209,2024-01-24 10:54:25,0.0
-12876,-464,7392,-162,265,-207,2024-01-24 10:54:25,0.0
-13016,-408,7284,-190,221,-184,2024-01-24 10:54:25,0.0
-12976,-480,7248,-209,208,-208,2024-01-24 10:54:25,0.0
-12892,-504,7192,-208,195,-205,2024-01-24 10:54:25,0.0
-12932,-412,7248,-176,179,-179,2024-01-24 10:54:25,0.0
-12928,-364,7272,-204,203,-156,2024-01-24 10:54:25,0.0
-12900,-472,7204,-225,204,-173,2024-01-24 10:54:25,0.0
-13012,-464,7184,-198,208,-166,2024-01-24 10:54:25,0.0
-12900,-496,7348,-241,209,-198,2024-01-24 10:54:25,0.0
-12920,-568,7320,-208,196,-191,2024-01-24 10:54:25,0.0
-12948,-572,7348,-210,203,-183,2024-01-24 10:54:26,0.0
-12896,-548,7368,-216,186,-164,2024-01-24 10:54:26,0.0
-12876,-480,7312,-211,195,-167,2024-01-24 10:54:26,0.0
-12896,-424,7364,-188,244,-185,2024-01-24 10:54:26,0.0
-12940,-532,7308,-180,261,-190,2024-01-24 10:54:26,0.0
-12952,-488,7244,-202,294,-168,2024-01-24 10:54:26,0.0
-12888,-508,7324,-197,278,-192,2024-01-24 10:54:26,0.0
-12908,-480,7204,-182,252,-190,2024-01-24 10:54:26,0.0
-12912,-368,7240,-179,277,-172,2024-01-24 10:54:26,0.0
-12936,-520,7300,-148,311,-179,2024-01-24 10:54:26,0.0
-13024,-432,7320,-188,294,-162,2024-01-24 10:54:26,0.0
-13060,-528,7280,-150,244,-164,2024-01-24 10:54:26,0.0
-13024,-452,7292,-175,195,-174,2024-01-24 10:54:26,0.0
-12924,-428,7068,-191,195,-140,2024-01-24 10:54:26,0.0
-12820,-464,7252,-194,203,-147,2024-01-24 10:54:26,0.0
-12896,-484,7304,-223,254,-166,2024-01-24 10:54:26,0.0
-12856,-532,7456,-207,278,-165,2024-01-24 10:54:26,0.0
-13180,-404,7280,-238,-81,-191,2024-01-24 10:54:26,0.0
-13416,-404,7068,-198,-642,-243,2024-01-24 10:54:26,0.0
-13092,-424,6872,-181,-859,-228,2024-01-24 10:54:26,0.0
-12744,-468,7144,-156,-790,-220,2024-01-24 10:54:26,0.0
-12856,-508,7468,-159,-751,-152,2024-01-24 10:54:26,0.0
-12700,-548,7556,-162,-534,-185,2024-01-24 10:54:26,0.0
-12716,-532,7612,-171,-223,-188,2024-01-24 10:54:26,0.0
-12692,-540,7536,-146,38,-164,2024-01-24 10:54:26,0.0
-12808,-488,7508,-158,172,-191,2024-01-24 10:54:26,0.0
-12824,-472,7488,-155,359,-162,2024-01-24 10:54:26,0.0
-12824,-456,7508,-197,508,-157,2024-01-24 10:54:26,0.0
-12956,-480,7432,-179,493,-172,2024-01-24 10:54:26,0.0
-12856,-484,7468,-200,422,-157,2024-01-24 10:54:26,0.0
-12872,-364,7436,-171,349,-143,2024-01-24 10:54:26,0.0
-12880,-480,7284,-147,291,-164,2024-01-24 10:54:26,0.0
-12960,-464,7328,-164,334,-158,2024-01-24 10:54:26,0.0
-12864,-484,7228,-198,329,-181,2024-01-24 10:54:26,0.0
-12952,-460,7408,-205,278,-198,2024-01-24 10:54:26,0.0
-12876,-520,7248,-214,228,-214,2024-01-24 10:54:26,0.0
-12948,-588,7480,-220,239,-190,2024-01-24 10:54:26,0.0
-12856,-540,7576,-199,230,-175,2024-01-24 10:54:26,0.0
-12892,-528,7292,-186,182,-179,2024-01-24 10:54:26,
-13016,-536,7544,-187,108,-190,2024-01-24 10:54:26,0.0
-12920,-520,7336,-181,73,-199,2024-01-24 10:54:26,0.0
