acceleration_x,acceleration_y,acceleration_z,gyroscope_x,gyroscope_y,gyroscope_z,timestamp,label
-13600,-2316,-1156,1676,610,-524,2024-01-24 10:31:42,0.0
-13948,-2216,-1092,1722,592,-438,2024-01-24 10:31:42,0.0
-14028,-2216,-1128,1759,437,-319,2024-01-24 10:31:42,0.0
-14096,-2232,-1132,1679,152,-303,2024-01-24 10:31:42,0.0
-13764,-1996,-1064,1593,-177,-278,2024-01-24 10:31:42,0.0
-13420,-1952,-1120,1405,-6,-265,2024-01-24 10:31:42,0.0
-13492,-1668,-764,1343,197,-225,2024-01-24 10:31:42,0.0
-13232,-1276,-476,1309,331,-203,2024-01-24 10:31:42,0.0
-13324,-1132,-720,1305,340,-197,2024-01-24 10:31:42,0.0
-13456,-1156,-468,1212,294,-193,2024-01-24 10:31:42,0.0
-13668,-1524,-352,1126,228,-236,2024-01-24 10:31:42,0.0
-13884,-1244,-604,965,160,-244,2024-01-24 10:31:42,0.0
-13992,-1132,-672,835,164,-186,2024-01-24 10:31:42,0.0
-13912,-776,-572,607,137,-125,2024-01-24 10:31:42,0.0
-13756,-480,-560,382,222,-56,2024-01-24 10:31:42,0.0
-13680,-380,-504,136,395,-53,2024-01-24 10:31:42,0.0
-13492,-636,-348,-49,554,-67,2024-01-24 10:31:42,0.0
-13576,-1024,-236,-79,933,-93,2024-01-24 10:31:42,0.0
-13776,-1392,-328,117,958,-15,2024-01-24 10:31:42,0.0
-13720,-1700,-476,344,696,34,2024-01-24 10:31:42,0.0
-13488,-2004,-536,642,433,39,2024-01-24 10:31:42,0.0
-13252,-2380,-464,1015,337,14,2024-01-24 10:31:42,0.0
-13356,-2272,-700,1368,237,32,2024-01-24 10:31:42,0.0
-13296,-2004,-1108,1561,149,142,2024-01-24 10:31:42,0.0
-13468,-1604,-1576,1565,-90,151,2024-01-24 10:31:42,0.0
-13692,-1508,-1676,1521,-394,129,2024-01-24 10:31:42,0.0
-13672,-1552,-1728,1457,-663,-23,2024-01-24 10:31:42,0.0
-13884,-1540,-1120,1324,-570,-173,2024-01-24 10:31:42,0.0
-14104,-1716,-908,1084,-282,-283,2024-01-24 10:31:42,0.0
-14164,-1576,-1076,858,-327,-413,2024-01-24 10:31:42,0.0
-14132,-1420,-808,553,-604,-418,2024-01-24 10:31:42,0.0
-13580,-1188,-872,292,-775,-432,2024-01-24 10:31:42,0.0
-13324,-1268,-888,173,-696,-506,2024-01-24 10:31:42,0.0
-13104,-1248,-1280,-28,-403,-563,2024-01-24 10:31:42,0.0
-12980,-1464,-1364,-277,-215,-649,2024-01-24 10:31:42,0.0
-12908,-1424,-1496,-613,-5,-668,2024-01-24 10:31:42,0.0
-13208,-1456,-1900,-914,272,-630,2024-01-24 10:31:42,0.0
-13432,-836,-1948,-1425,82,-342,2024-01-24 10:31:42,0.0
-13272,-1040,-1868,-1470,-28,-191,2024-01-24 10:31:42,0.0
-13136,-1144,-2120,-1497,13,-190,2024-01-24 10:31:42,0.0
-13564,-1456,-2120,-1590,-121,-197,2024-01-24 10:31:42,0.0
-13524,-1232,-2356,-1499,-436,-112,2024-01-24 10:31:42,0.0
-12676,-1260,-2508,-1466,-669,-88,2024-01-24 10:31:42,0.0
-11712,-1552,-2800,-1545,-454,-338,2024-01-24 10:31:42,0.0
-11296,-1524,-1848,-1750,504,-842,2024-01-24 10:31:42,0.0
-11064,-1824,-580,-1873,1902,-1189,2024-01-24 10:31:42,0.0
-12544,-1020,540,-1958,3531,-1249,2024-01-24 10:31:42,0.0
-14444,1520,604,-2427,4412,-827,2024-01-24 10:31:42,0.0
-15932,2416,-112,-2812,3474,-204,2024-01-24 10:31:42,0.0
-16144,1824,100,-3024,2498,-2,2024-01-24 10:31:42,0.0
-15932,480,1196,-2634,1600,-162,2024-01-24 10:31:42,0.0
-15148,-372,1256,-2012,912,-260,2024-01-24 10:31:42,0.0
-14960,-352,1328,-1664,818,-333,2024-01-24 10:31:42,0.0
-15012,96,1328,-1273,1062,-278,2024-01-24 10:31:42,0.0
-14852,732,148,-1122,1031,-85,2024-01-24 10:31:42,0.0
-14716,1240,-668,-1243,462,72,2024-01-24 10:31:42,0.0
-13832,1284,-1048,-1233,-144,158,2024-01-24 10:31:42,0.0
-13360,900,-1140,-1049,-516,141,2024-01-24 10:31:42,0.0
-12656,568,-1828,-848,-551,109,2024-01-24 10:31:42,0.0
-12180,368,-3176,-732,-73,147,2024-01-24 10:31:42,0.0
-12980,68,-3492,-557,225,253,2024-01-24 10:31:42,0.0
