acceleration_x,acceleration_y,acceleration_z,gyroscope_x,gyroscope_y,gyroscope_z,timestamp,label
-13820,-660,2000,-435,288,-226,2024-01-24 11:11:13,0.0
-13756,-748,1796,-424,274,-252,2024-01-24 11:11:13,0.0
-13756,-688,1840,-385,293,-289,2024-01-24 11:11:13,0.0
-13756,-796,1812,-292,359,-372,2024-01-24 11:11:13,0.0
-13720,-784,1824,-186,435,-399,2024-01-24 11:11:13,0.0
-13900,-796,1908,-96,451,-430,2024-01-24 11:11:13,0.0
-13808,-720,1888,-31,412,-441,2024-01-24 11:11:13,0.0
-13812,-756,1836,45,346,-448,2024-01-24 11:11:13,0.0
-13824,-760,1760,29,307,-494,2024-01-24 11:11:13,0.0
-13940,-780,2028,79,222,-462,2024-01-24 11:11:13,0.0
-13844,-720,1876,174,251,-467,2024-01-24 11:11:13,0.0
-13892,-884,1856,160,191,-412,2024-01-24 11:11:13,0.0
-13780,-792,1712,163,134,-417,2024-01-24 11:11:13,0.0
-13804,-816,1776,202,123,-407,2024-01-24 11:11:13,0.0
-13852,-828,1636,205,123,-383,2024-01-24 11:11:13,0.0
-13960,-932,1680,183,110,-336,2024-01-24 11:11:13,0.0
-13956,-900,1512,193,81,-265,2024-01-24 11:11:14,0.0
-13984,-916,1584,138,63,-246,2024-01-24 11:11:14,0.0
-13868,-932,1744,139,119,-239,2024-01-24 11:11:14,0.0
-13884,-868,1804,78,163,-241,2024-01-24 11:11:14,0.0
-13872,-936,1632,78,208,-237,2024-01-24 11:11:14,0.0
-13772,-884,1804,120,214,-231,2024-01-24 11:11:14,0.0
-13780,-904,1908,74,246,-227,2024-01-24 11:11:14,0.0
-13740,-760,1724,27,244,-232,2024-01-24 11:11:14,0.0
-13628,-800,1672,-17,285,-228,2024-01-24 11:11:14,0.0
-13820,-892,1760,-50,341,-246,2024-01-24 11:11:14,0.0
-13720,-844,1740,-61,410,-238,2024-01-24 11:11:14,0.0
-13768,-912,1752,-73,396,-244,2024-01-24 11:11:14,0.0
-13820,-932,1560,-95,408,-226,2024-01-24 11:11:14,0.0
-13816,-972,1660,-80,470,-259,2024-01-24 11:11:14,0.0
-13864,-936,1620,-127,471,-238,2024-01-24 11:11:14,0.0
-13836,-864,1580,-147,416,-193,2024-01-24 11:11:14,0.0
-13948,-944,1544,-122,384,-162,2024-01-24 11:11:14,0.0
-13924,-892,1520,-182,363,-143,2024-01-24 11:11:14,0.0
-13896,-820,1400,-205,323,-105,2024-01-24 11:11:14,0.0
-13880,-780,1508,-215,283,-110,2024-01-24 11:11:14,0.0
-13852,-744,1476,-230,284,-99,2024-01-24 11:11:14,0.0
-14008,-752,1568,-262,264,-117,2024-01-24 11:11:14,0.0
-13872,-724,1556,-297,233,-88,2024-01-24 11:11:14,0.0
-13740,-684,1232,-326,326,-90,2024-01-24 11:11:14,0.0
-13604,-752,1376,-351,490,-79,2024-01-24 11:11:14,0.0
-13500,-704,1280,-398,720,-79,2024-01-24 11:11:14,0.0
-13412,-704,1484,-405,1011,-78,2024-01-24 11:11:14,0.0
-13604,-772,1612,-427,1333,-118,2024-01-24 11:11:14,0.0
-13552,-736,1528,-462,1596,-96,2024-01-24 11:11:14,0.0
-13708,-824,2004,-497,1781,-125,2024-01-24 11:11:14,0.0
-13848,-900,2052,-480,1755,-115,2024-01-24 11:11:14,0.0
-14064,-832,2092,-458,1574,-125,2024-01-24 11:11:14,0.0
-14292,-920,2052,-405,1144,-124,2024-01-24 11:11:14,0.0
-14416,-888,2132,-423,710,-112,2024-01-24 11:11:14,0.0
-14336,-832,1980,-346,389,-53,2024-01-24 11:11:14,0.0
-14392,-768,1936,-292,72,-67,2024-01-24 11:11:14,0.0
-14296,-696,2004,-293,-173,-37,2024-01-24 11:11:14,0.0
-14140,-600,1920,-258,-296,-11,2024-01-24 11:11:14,0.0
-14056,-612,2032,-151,-281,18,2024-01-24 11:11:14,0.0
-14224,-568,2120,-120,-346,-45,2024-01-24 11:11:14,0.0
-14052,-708,2104,-80,-456,-34,2024-01-24 11:11:14,0.0
-14108,-572,1952,-48,-530,-83,2024-01-24 11:11:14,0.0
-13928,-592,1996,34,-564,-99,2024-01-24 11:11:14,0.0
-13688,-664,2144,11,-601,-148,2024-01-24 11:11:14,0.0
-13680,-620,1864,30,-495,-193,2024-01-24 11:11:14,0.0
-13768,-652,1832,18,-437,-219,2024-01-24 11:11:14,0.0
-13712,-552,1604,15,-359,-238,2024-01-24 11:11:14,0.0
-13736,-508,1716,-50,-284,-252,2024-01-24 11:11:14,0.0
-13656,-512,1760,-184,-214,-290,2024-01-24 11:11:14,0.0
-13760,-488,1504,-272,-142,-284,2024-01-24 11:11:14,0.0
-13828,-504,1632,-372,-127,-305,2024-01-24 11:11:14,0.0
-13916,-576,1692,-392,-122,-287,2024-01-24 11:11:14,0.0
-13956,-696,1308,-462,-123,-261,2024-01-24 11:11:14,0.0
-14016,-560,1576,-497,-149,-259,2024-01-24 11:11:14,0.0
-13832,-700,1564,-490,-220,-280,2024-01-24 11:11:14,0.0
-13832,-716,1524,-513,-250,-304,2024-01-24 11:11:14,0.0
-13792,-848,1408,-510,-209,-329,2024-01-24 11:11:14,0.0
-13844,-800,1552,-469,-165,-314,2024-01-24 11:11:14,0.0
-13980,-836,1656,-463,-114,-340,2024-01-24 11:11:14,0.0
-13852,-884,1672,-461,-185,-311,2024-01-24 11:11:15,0.0
-13852,-820,1688,-383,-195,-335,2024-01-24 11:11:15,0.0
-13868,-960,1656,-334,-204,-341,2024-01-24 11:11:15,0.0
-13836,-1008,1772,-249,-187,-355,2024-01-24 11:11:15,0.0
-13776,-996,1800,-172,-221,-386,2024-01-24 11:11:15,0.0
-13788,-1020,1648,-124,-123,-392,2024-01-24 11:11:15,0.0
-13936,-980,1736,-127,-104,-388,2024-01-24 11:11:15,0.0
-13784,-948,1872,-125,-70,-377,2024-01-24 11:11:15,0.0
