acceleration_x,acceleration_y,acceleration_z,gyroscope_x,gyroscope_y,gyroscope_z,timestamp,label
-13400,-448,-280,-1220,-79,-542,2024-01-24 10:56:27,0.0
-13636,-268,528,-921,564,-416,2024-01-24 10:56:27,0.0
-13924,-376,752,-711,379,-429,2024-01-24 10:56:27,0.0
-13812,-332,516,-646,125,-423,2024-01-24 10:56:27,0.0
-13532,-648,744,-496,-202,-473,2024-01-24 10:56:27,0.0
-13660,-752,464,-549,-271,-484,2024-01-24 10:56:27,0.0
-13972,-656,356,-459,-267,-394,2024-01-24 10:56:27,0.0
-13868,-624,600,-381,-315,-329,2024-01-24 10:56:27,0.0
-13920,-504,420,-315,-215,-154,2024-01-24 10:56:27,0.0
-13320,-444,192,-185,62,-58,2024-01-24 10:56:27,0.0
-13696,-612,80,2,-167,-46,2024-01-24 10:56:27,0.0
-13920,120,-80,188,-126,159,2024-01-24 10:56:27,0.0
-13492,-668,900,510,-45,-65,2024-01-24 10:56:27,0.0
-13640,-552,-120,406,120,-128,2024-01-24 10:56:27,0.0
-13576,-316,-180,431,277,-220,2024-01-24 10:56:27,0.0
-13932,-584,432,392,365,-281,2024-01-24 10:56:27,0.0
-14428,28,-36,239,237,-215,2024-01-24 10:56:27,0.0
-13780,-268,-104,200,-173,-309,2024-01-24 10:56:27,0.0
-13620,-80,-80,50,-228,-334,2024-01-24 10:56:27,0.0
-13568,-404,200,-6,-216,-438,2024-01-24 10:56:27,0.0
-14080,-560,44,-129,-401,-455,2024-01-24 10:56:27,0.0
-14624,-408,-244,-348,-452,-291,2024-01-24 10:56:27,0.0
-14056,72,4,-501,-367,-172,2024-01-24 10:56:27,0.0
-13356,-72,32,-467,-426,-193,2024-01-24 10:56:27,0.0
-13388,-192,140,-465,-90,-168,2024-01-24 10:56:27,0.0
-13212,-488,312,-461,-35,-290,2024-01-24 10:56:27,0.0
-13172,-752,652,-351,-86,-398,2024-01-24 10:56:27,0.0
-13896,-552,332,-315,117,-384,2024-01-24 10:56:27,0.0
-13800,-736,408,-314,79,-335,2024-01-24 10:56:27,0.0
-13800,-708,548,-310,97,-249,2024-01-24 10:56:27,0.0
-13992,-396,256,-319,302,-117,2024-01-24 10:56:27,0.0
-13896,-332,280,-354,367,-51,2024-01-24 10:56:27,0.0
-13644,-284,308,-339,399,5,2024-01-24 10:56:27,0.0
-13544,-552,432,-302,384,-17,2024-01-24 10:56:27,0.0
-13612,-548,444,-230,403,12,2024-01-24 10:56:27,0.0
-13764,-504,484,-147,400,-43,2024-01-24 10:56:27,0.0
-13764,-572,532,-39,450,-13,2024-01-24 10:56:27,0.0
-13868,-624,532,76,391,-25,2024-01-24 10:56:27,0.0
-13904,-644,404,209,403,-21,2024-01-24 10:56:27,0.0
-13776,-556,492,307,394,-35,2024-01-24 10:56:27,0.0
-13872,-368,276,357,453,-43,2024-01-24 10:56:27,0.0
-13848,-180,220,430,365,-72,2024-01-24 10:56:27,0.0
-13828,-284,208,384,356,-82,2024-01-24 10:56:27,0.0
-13972,-268,164,261,266,-80,2024-01-24 10:56:27,0.0
-13764,-152,284,172,278,-8,2024-01-24 10:56:28,0.0
-13752,-84,208,124,426,43,2024-01-24 10:56:28,0.0
-14012,-100,348,151,555,114,2024-01-24 10:56:28,0.0
-14112,-12,512,156,467,148,2024-01-24 10:56:28,0.0
-14088,-208,320,129,229,171,2024-01-24 10:56:28,0.0
-13780,-252,248,190,-84,101,2024-01-24 10:56:28,0.0
-13656,-96,472,196,-171,90,2024-01-24 10:56:28,0.0
-13836,-216,568,138,-11,114,2024-01-24 10:56:28,0.0
-13920,-224,476,110,10,131,2024-01-24 10:56:28,0.0
-13860,-364,496,50,-100,86,2024-01-24 10:56:28,0.0
-13556,-464,428,58,-53,3,2024-01-24 10:56:28,0.0
-13616,-316,588,75,200,-38,2024-01-24 10:56:28,0.0
-13752,-340,528,69,475,-47,2024-01-24 10:56:28,0.0
-13688,-220,528,70,530,-54,2024-01-24 10:56:28,0.0
-13624,-208,424,23,507,-78,2024-01-24 10:56:28,0.0
-13748,-312,464,-54,422,-105,2024-01-24 10:56:28,0.0
-13580,-308,348,-64,379,-161,2024-01-24 10:56:28,0.0
-13708,-396,276,-137,538,-190,2024-01-24 10:56:28,0.0
-13792,-264,268,-180,545,-193,2024-01-24 10:56:28,0.0
-13808,-348,372,-124,429,-226,2024-01-24 10:56:28,0.0
-13876,-416,392,-126,466,-261,2024-01-24 10:56:28,0.0
-13888,-344,496,-71,411,-217,2024-01-24 10:56:28,0.0
-13904,-484,424,-36,322,-230,2024-01-24 10:56:28,0.0
-13768,-416,212,-73,313,-217,2024-01-24 10:56:28,0.0
-13544,-416,224,-65,231,-294,2024-01-24 10:56:28,0.0
-14124,-428,320,-67,470,-199,2024-01-24 10:56:28,0.0
-13764,-288,308,9,236,-302,2024-01-24 10:56:28,0.0
-13740,-204,428,-11,235,-241,2024-01-24 10:56:28,0.0
-13860,-296,332,-34,315,-256,2024-01-24 10:56:28,0.0
-13852,-208,268,-42,316,-284,2024-01-24 10:56:28,0.0
-13660,-336,220,-99,310,-294,2024-01-24 10:56:28,0.0
-13704,-228,236,-134,396,-323,2024-01-24 10:56:28,0.0
-13752,-200,140,-163,455,-300,2024-01-24 10:56:28,0.0
-13824,-196,180,-210,488,-308,2024-01-24 10:56:28,0.0
-13960,-344,236,-183,481,-234,2024-01-24 10:56:28,0.0
-13792,-372,128,-225,411,-267,2024-01-24 10:56:28,0.0
-13812,-356,324,-182,351,-244,2024-01-24 10:56:28,0.0
-13944,-412,96,-191,332,-263,2024-01-24 10:56:28,0.0
-13784,-332,12,-180,395,-209,2024-01-24 10:56:28,0.0
-13716,-396,76,-234,318,-204,2024-01-24 10:56:28,0.0
-13640,-260,188,-210,303,-225,2024-01-24 10:56:28,0.0
-13796,-268,108,-203,332,-259,2024-01-24 10:56:28,0.0
-13784,-372,152,-171,406,-262,2024-01-24 10:56:28,0.0
-13764,-328,160,-198,474,-255,2024-01-24 10:56:28,0.0
-13832,-372,248,-202,460,-230,2024-01-24 10:56:28,0.0
-13844,-440,0,-271,441,-235,2024-01-24 10:56:28,0.0
-13832,-512,96,-209,504,-224,2024-01-24 10:56:28,0.0
-13852,-404,32,-251,547,-182,2024-01-24 10:56:28,0.0
-13888,-328,-160,-290,500,-163,2024-01-24 10:56:28,0.0
-13720,-284,-196,-288,319,-126,2024-01-24 10:56:28,0.0
-13736,-252,-8,-280,206,-135,2024-01-24 10:56:28,0.0
-13604,-216,-68,-268,327,-141,2024-01-24 10:56:28,0.0
-13704,-472,-148,-269,401,-172,2024-01-24 10:56:28,0.0
-13716,-348,-4,-260,355,-209,2024-01-24 10:56:28,0.0
-13744,-340,-100,-237,326,-233,2024-01-24 10:56:28,0.0
-13496,-380,-76,-213,398,-290,2024-01-24 10:56:28,
-13428,-344,-84,-198,537,-305,2024-01-24 10:56:28,0.0
-13704,-364,-52,-198,622,-312,2024-01-24 10:56:28,0.0
-13616,-344,-160,-220,690,-313,2024-01-24 10:56:29,0.0
-13712,-420,-56,-249,824,-266,2024-01-24 10:56:29,0.0
-13712,-248,44,-273,873,-256,2024-01-24 10:56:29,0.0
-13960,-324,-104,-289,829,-243,2024-01-24 10:56:29,0.0
