acceleration_x,acceleration_y,acceleration_z,gyroscope_x,gyroscope_y,gyroscope_z,timestamp,label
-13452,-168,-1888,-160,281,-302,2024-01-24 10:45:22,0.0
-13412,-208,-2216,-136,240,-283,2024-01-24 10:45:22,0.0
-13420,-88,-1868,-97,231,-240,2024-01-24 10:45:22,0.0
-13340,-100,-2060,-148,340,-217,2024-01-24 10:45:22,0.0
-13340,-176,-2124,-93,379,-209,2024-01-24 10:45:22,0.0
-13356,-208,-2064,-26,446,-247,2024-01-24 10:45:22,0.0
-13500,-252,-2056,-47,403,-298,2024-01-24 10:45:22,0.0
-13548,-200,-2028,-129,188,-257,2024-01-24 10:45:22,0.0
-13460,-104,-1912,-183,147,-212,2024-01-24 10:45:22,0.0
-13424,-116,-1996,-186,228,-202,2024-01-24 10:45:22,0.0
-13308,-116,-2164,-206,217,-153,2024-01-24 10:45:22,0.0
-13340,-200,-2104,-150,214,-124,2024-01-24 10:45:22,0.0
-13272,-232,-1948,-72,233,-149,2024-01-24 10:45:22,0.0
-13428,-352,-2212,-53,270,-151,2024-01-24 10:45:22,0.0
-13448,-256,-2116,-45,276,-165,2024-01-24 10:45:22,0.0
-13472,-88,-2232,-13,347,-161,2024-01-24 10:45:22,0.0
-13596,-208,-2300,-29,274,-175,2024-01-24 10:45:22,0.0
-13576,-232,-2232,-64,163,-166,2024-01-24 10:45:22,0.0
-13428,-200,-2212,-124,121,-175,2024-01-24 10:45:22,0.0
-13428,-196,-2144,-132,164,-213,2024-01-24 10:45:22,0.0
-13360,-196,-2100,-146,109,-250,2024-01-24 10:45:22,0.0
-13432,-172,-2060,-157,156,-217,2024-01-24 10:45:22,0.0
-13416,-264,-1972,-173,161,-208,2024-01-24 10:45:22,0.0
-13364,-276,-2064,-209,212,-205,2024-01-24 10:45:22,0.0
-13460,-160,-2068,-196,224,-177,2024-01-24 10:45:22,0.0
-13460,-184,-2052,-197,214,-158,2024-01-24 10:45:22,0.0
-13376,-308,-1972,-155,172,-160,2024-01-24 10:45:22,0.0
-13480,-148,-1944,-108,152,-159,2024-01-24 10:45:22,0.0
-13412,-228,-1912,-54,189,-185,2024-01-24 10:45:22,0.0
-13292,-284,-1988,-57,188,-191,2024-01-24 10:45:22,0.0
-13356,-188,-2048,-13,235,-201,2024-01-24 10:45:22,0.0
-13520,-312,-2300,9,166,-190,2024-01-24 10:45:22,0.0
-13512,-268,-2128,18,157,-147,2024-01-24 10:45:22,0.0
-13324,-256,-2128,23,248,-154,2024-01-24 10:45:22,0.0
