acceleration_x,acceleration_y,acceleration_z,gyroscope_x,gyroscope_y,gyroscope_z,timestamp,label
-12920,-1004,-356,-1200,-3123,75,2024-01-24 10:37:17,0.0
-12636,-704,-256,-1306,-2490,231,2024-01-24 10:37:17,0.0
-12764,-988,-76,-1310,-1651,33,2024-01-24 10:37:17,0.0
-13196,-1288,128,-1236,-1232,-153,2024-01-24 10:37:17,0.0
-13364,-1548,192,-991,-942,-255,2024-01-24 10:37:17,0.0
-13180,-1280,88,-825,-352,-191,2024-01-24 10:37:17,0.0
-12916,-500,-524,-655,521,14,2024-01-24 10:37:17,0.0
-12616,-468,-664,-726,1373,44,2024-01-24 10:37:17,0.0
-13452,-540,-460,-796,2069,-77,2024-01-24 10:37:17,0.0
-14180,-936,-404,-817,2125,-200,2024-01-24 10:37:17,0.0
-14644,-1044,-492,-658,1675,-265,2024-01-24 10:37:17,0.0
-14880,-656,-436,-538,1070,-220,2024-01-24 10:37:17,0.0
-15080,-648,-284,-440,548,45,2024-01-24 10:37:17,0.0
-14256,-724,-160,-345,-22,385,2024-01-24 10:37:17,0.0
-13316,-748,120,-203,-213,444,2024-01-24 10:37:17,0.0
-13128,-752,64,3,173,458,2024-01-24 10:37:17,0.0
-13720,-888,-8,138,330,422,2024-01-24 10:37:17,0.0
-13884,-516,-212,259,35,422,2024-01-24 10:37:17,0.0
-13488,-328,-280,355,-144,330,2024-01-24 10:37:17,0.0
-13276,-248,-260,410,40,177,2024-01-24 10:37:17,0.0
-13152,-208,-396,407,158,39,2024-01-24 10:37:17,0.0
-12956,-308,-252,431,219,-174,2024-01-24 10:37:17,0.0
-12824,-520,-108,484,61,-385,2024-01-24 10:37:17,0.0
-12412,-344,-352,595,288,-714,2024-01-24 10:37:17,0.0
-12576,-328,-760,567,1211,-850,2024-01-24 10:37:17,0.0
-14088,-732,-652,390,1345,-808,2024-01-24 10:37:17,0.0
-14052,-512,-664,335,451,-818,2024-01-24 10:37:17,0.0
-13132,-412,-484,300,-166,-1056,2024-01-24 10:37:17,0.0
-12932,1280,-1124,348,1057,-959,2024-01-24 10:37:17,0.0
-14780,-176,-1608,-92,2317,-668,2024-01-24 10:37:17,0.0
-16016,-948,-992,-292,1227,-38,2024-01-24 10:37:17,0.0
-14944,-992,-176,-368,-185,120,2024-01-24 10:37:17,0.0
-13748,-832,-472,-266,-426,102,2024-01-24 10:37:17,0.0
-13116,-180,-1192,-310,36,268,2024-01-24 10:37:17,0.0
-12648,68,-1252,-321,317,388,2024-01-24 10:37:17,0.0
-12668,164,-1016,-325,638,407,2024-01-24 10:37:17,0.0
-13428,-372,-820,-182,889,515,2024-01-24 10:37:17,0.0
-13820,-528,-648,-48,671,451,2024-01-24 10:37:17,0.0
-14052,-792,-544,97,294,514,2024-01-24 10:37:17,0.0
-13988,-792,-400,242,108,722,2024-01-24 10:37:17,0.0
-13872,-888,-524,409,177,837,2024-01-24 10:37:17,0.0
-13864,-936,-896,622,269,942,2024-01-24 10:37:17,0.0
-13468,-748,-968,790,628,1069,2024-01-24 10:37:17,0.0
-13344,-328,-1144,1086,1001,1054,2024-01-24 10:37:17,0.0
-13468,-236,-1116,1339,1132,835,2024-01-24 10:37:17,0.0
-13616,-112,-1172,1476,1091,587,2024-01-24 10:37:17,0.0
-13580,-52,-1252,1521,1161,298,2024-01-24 10:37:17,0.0
-13640,-200,-1336,1442,1147,-18,2024-01-24 10:37:17,0.0
-13444,-64,-1272,1360,1092,-390,2024-01-24 10:37:17,0.0
-13168,0,-1252,1084,1065,-702,2024-01-24 10:37:17,0.0
-13420,84,-1232,832,960,-826,2024-01-24 10:37:17,0.0
-13596,116,-1076,540,680,-889,2024-01-24 10:37:17,0.0
-13476,124,-1216,240,450,-826,2024-01-24 10:37:18,0.0
-13480,-24,-1296,-13,328,-782,2024-01-24 10:37:18,0.0
-13384,-72,-1460,-219,324,-752,2024-01-24 10:37:18,0.0
-13540,-52,-1436,-367,448,-649,2024-01-24 10:37:18,0.0
-13636,-120,-1476,-559,644,-603,2024-01-24 10:37:18,0.0
-14184,-356,-1348,-696,775,-401,2024-01-24 10:37:18,0.0
-14528,-612,-1420,-705,588,-264,2024-01-24 10:37:18,0.0
-14532,-904,-1248,-563,180,-140,2024-01-24 10:37:18,0.0
-14400,-1120,-956,-195,-396,-87,2024-01-24 10:37:18,0.0
-14136,-1168,-716,202,-828,-105,2024-01-24 10:37:18,0.0
-13684,-1132,-608,507,-975,-139,2024-01-24 10:37:18,0.0
-13768,-880,-820,758,-1046,-143,2024-01-24 10:37:18,0.0
-13560,-712,-592,940,-1108,-147,2024-01-24 10:37:18,0.0
-13488,-492,-604,1122,-1062,-150,2024-01-24 10:37:18,0.0
-13440,-392,-612,1299,-982,-166,2024-01-24 10:37:18,0.0
-13600,-524,-620,1359,-827,-122,2024-01-24 10:37:18,0.0
-13564,-532,-748,1422,-722,-71,2024-01-24 10:37:18,0.0
-13960,-680,-900,1423,-718,57,2024-01-24 10:37:18,0.0
-13956,-512,-824,1300,-802,236,2024-01-24 10:37:18,0.0
-13508,-392,-576,1219,-911,224,2024-01-24 10:37:18,0.0
-13204,-368,-424,1077,-503,181,2024-01-24 10:37:18,0.0
-13304,-220,-432,948,120,167,2024-01-24 10:37:18,0.0
-13488,-196,-296,875,467,111,2024-01-24 10:37:18,0.0
-13632,-220,-336,868,691,-48,2024-01-24 10:37:18,0.0
-13772,-120,-632,772,676,-158,2024-01-24 10:37:18,0.0
-13744,-268,-532,675,523,-202,2024-01-24 10:37:18,0.0
-13772,4,-632,535,421,-234,2024-01-24 10:37:18,0.0
-13944,216,-740,400,480,-182,2024-01-24 10:37:18,0.0
-13940,196,-836,124,352,-208,2024-01-24 10:37:18,0.0
-14324,688,-1120,-224,203,-210,2024-01-24 10:37:18,0.0
-14392,960,-1376,-527,45,-160,2024-01-24 10:37:18,0.0
-14064,1068,-1656,-909,-216,-244,2024-01-24 10:37:18,0.0
-13844,1080,-1692,-1237,-334,-279,2024-01-24 10:37:18,0.0
-13784,1160,-1752,-1650,-271,-221,2024-01-24 10:37:18,0.0
-13792,1088,-1896,-1973,-610,-10,2024-01-24 10:37:18,0.0
-13044,524,-1200,-2012,-268,334,2024-01-24 10:37:18,0.0
-12712,368,-1060,-2064,86,89,2024-01-24 10:37:18,0.0
-12152,-412,-448,-1828,488,-148,2024-01-24 10:37:18,0.0
-11992,-880,432,-1792,1192,-204,2024-01-24 10:37:18,0.0
-12740,-716,1160,-1543,2467,-81,2024-01-24 10:37:18,0.0
-13872,-140,456,-1486,2632,-84,2024-01-24 10:37:18,0.0
-15048,-520,-264,-1254,1466,-279,2024-01-24 10:37:18,0.0
-15008,-1028,-504,-1061,149,-400,2024-01-24 10:37:18,0.0
-14412,-1196,-668,-898,-471,-467,2024-01-24 10:37:18,0.0
-13928,-1004,-328,-523,-454,-633,2024-01-24 10:37:18,0.0
-13688,-432,-716,-169,-493,-788,2024-01-24 10:37:18,0.0
-13136,148,-764,-8,-94,-1002,2024-01-24 10:37:18,0.0
-13076,172,-1748,-101,796,-1258,2024-01-24 10:37:18,
-14304,-48,-2368,-386,1216,-1318,2024-01-24 10:37:18,0.0
-15216,472,-3540,-781,1132,-1086,2024-01-24 10:37:18,0.0
-15072,192,-3044,-1205,624,-805,2024-01-24 10:37:18,0.0
-14820,284,-1324,-1507,-417,-667,2024-01-24 10:37:18,0.0
-14212,848,728,-1833,-2064,-592,2024-01-24 10:37:18,0.0
-12332,408,1736,-1726,-2679,-484,2024-01-24 10:37:18,0.0
-12348,-84,1304,-1396,-2319,-668,2024-01-24 10:37:18,0.0
-13060,-676,2052,-1442,-3176,-918,2024-01-24 10:37:18,0.0
-12796,-1252,2044,-1055,-2785,-985,2024-01-24 10:37:18,0.0
-13052,-836,1416,-845,-1660,-1049,2024-01-24 10:37:18,0.0
-13968,-544,956,-927,-739,-718,2024-01-24 10:37:18,0.0
-14064,-236,476,-1157,-453,-482,2024-01-24 10:37:18,0.0
-13976,-448,508,-1280,-420,-408,2024-01-24 10:37:19,0.0
-13904,-640,384,-1069,-377,-309,2024-01-24 10:37:19,0.0
-13888,-924,412,-698,-431,-248,2024-01-24 10:37:19,0.0
-13748,-636,-360,-526,-256,-196,2024-01-24 10:37:19,0.0
-13220,-868,-88,-531,-156,-167,2024-01-24 10:37:19,0.0
-13072,-904,120,-508,-74,-194,2024-01-24 10:37:19,0.0
-13508,-664,-128,-659,18,-113,2024-01-24 10:37:19,0.0
-13524,-736,64,-703,-109,-93,2024-01-24 10:37:19,0.0
-13420,-716,368,-535,-101,-92,2024-01-24 10:37:19,0.0
-13492,-864,360,-280,116,-99,2024-01-24 10:37:19,0.0
-13948,-476,124,-44,505,58,2024-01-24 10:37:19,0.0
-13508,-528,-116,39,722,-84,2024-01-24 10:37:19,0.0
-13580,-1072,124,300,844,-329,2024-01-24 10:37:19,0.0
-13844,-916,-176,598,343,-481,2024-01-24 10:37:19,0.0
-14008,-840,-456,655,-1013,-607,2024-01-24 10:37:19,0.0
-13688,-992,-520,683,-2338,-592,2024-01-24 10:37:19,0.0
-13196,-1424,412,1115,-2251,-601,2024-01-24 10:37:19,0.0
-12660,-1920,832,1533,-1194,-743,2024-01-24 10:37:19,0.0
-12648,-3252,1188,1663,196,-733,2024-01-24 10:37:19,0.0
-13164,-3516,432,2331,3207,-384,2024-01-24 10:37:19,0.0
-15816,-1604,1272,2152,5052,27,2024-01-24 10:37:19,0.0
-14660,-800,1864,1845,4628,35,2024-01-24 10:37:19,0.0
-12748,-708,716,1854,3515,-1186,2024-01-24 10:37:19,0.0
-13024,-1848,1732,1570,2697,-2094,2024-01-24 10:37:19,0.0
-12464,-2900,2488,2141,3226,-2621,2024-01-24 10:37:19,0.0
-13332,-3276,1760,2602,4258,-2912,2024-01-24 10:37:19,0.0
-13876,-3312,1952,2733,4384,-2729,2024-01-24 10:37:19,0.0
-13760,-3300,2348,2958,4168,-2476,2024-01-24 10:37:19,0.0
-13896,-2880,2400,3343,4122,-2177,2024-01-24 10:37:19,0.0
-13992,-2652,2012,3654,3998,-2147,2024-01-24 10:37:19,0.0
-14308,-2388,1408,3441,3429,-2398,2024-01-24 10:37:19,0.0
-14420,-2408,1152,3081,2828,-2657,2024-01-24 10:37:19,0.0
-14304,-1764,1180,2728,2368,-2829,2024-01-24 10:37:19,0.0
-13608,-1440,1596,2310,1833,-3722,2024-01-24 10:37:19,0.0
-13136,-1352,1756,1703,704,-4520,2024-01-24 10:37:19,0.0
-12252,-840,1440,654,791,-4727,2024-01-24 10:37:19,0.0
-12224,-780,1284,-140,857,-4618,2024-01-24 10:37:19,0.0
-12368,-728,912,-1261,390,-4243,2024-01-24 10:37:19,0.0
-12684,-1172,1588,-2270,-25,-3637,2024-01-24 10:37:19,0.0
-12824,-1224,2244,-3121,-388,-2825,2024-01-24 10:37:19,0.0
-12648,-1988,2788,-3614,-65,-1943,2024-01-24 10:37:19,0.0
-11848,-3416,2876,-3912,341,-1616,2024-01-24 10:37:19,0.0
-11420,-4532,3156,-4117,785,-1342,2024-01-24 10:37:19,0.0
-11076,-4964,3020,-4422,1958,-1505,2024-01-24 10:37:19,0.0
