acceleration_x,acceleration_y,acceleration_z,gyroscope_x,gyroscope_y,gyroscope_z,timestamp,label
-13896,-608,1420,-16,275,-184,2024-01-24 11:13:09,0.0
-13832,-432,1468,-84,357,-130,2024-01-24 11:13:09,0.0
-13876,-628,1672,-106,350,-128,2024-01-24 11:13:09,0.0
-13956,-456,1592,-124,247,-119,2024-01-24 11:13:09,0.0
-13880,-572,1560,-127,240,-153,2024-01-24 11:13:09,0.0
-13956,-600,1584,-165,217,-171,2024-01-24 11:13:09,0.0
-13800,-712,1612,-168,211,-148,2024-01-24 11:13:09,0.0
-13876,-660,1500,-135,164,-178,2024-01-24 11:13:09,0.0
-13800,-564,1504,-155,238,-183,2024-01-24 11:13:09,0.0
-13848,-692,1496,-219,210,-191,2024-01-24 11:13:09,0.0
-13928,-648,1448,-227,192,-201,2024-01-24 11:13:09,0.0
-13908,-628,1468,-267,206,-178,2024-01-24 11:13:09,0.0
-13872,-676,1540,-293,198,-202,2024-01-24 11:13:09,0.0
-13964,-608,1476,-308,169,-186,2024-01-24 11:13:09,0.0
-13892,-620,1532,-298,148,-183,2024-01-24 11:13:09,0.0
-13956,-576,1508,-338,162,-151,2024-01-24 11:13:09,0.0
-13804,-548,1388,-317,197,-192,2024-01-24 11:13:09,0.0
-13756,-580,1472,-279,226,-179,2024-01-24 11:13:09,0.0
-13816,-460,1608,-298,260,-189,2024-01-24 11:13:09,0.0
-13840,-524,1672,-310,265,-183,2024-01-24 11:13:09,0.0
-13920,-632,1584,-301,249,-189,2024-01-24 11:13:09,0.0
-13852,-572,1600,-326,292,-183,2024-01-24 11:13:09,0.0
-13852,-596,1576,-332,253,-176,2024-01-24 11:13:09,0.0
-13844,-520,1680,-338,243,-152,2024-01-24 11:13:09,0.0
-13936,-536,1680,-346,253,-149,2024-01-24 11:13:09,0.0
-13944,-512,1492,-374,283,-142,2024-01-24 11:13:09,0.0
-13784,-508,1620,-373,271,-150,2024-01-24 11:13:09,0.0
-13824,-504,1740,-354,278,-151,2024-01-24 11:13:09,0.0
-14012,-524,1728,-320,267,-133,2024-01-24 11:13:09,0.0
-13900,-612,1640,-330,190,-131,2024-01-24 11:13:09,0.0
-13868,-568,1596,-283,194,-161,2024-01-24 11:13:09,0.0
