acceleration_x,acceleration_y,acceleration_z,gyroscope_x,gyroscope_y,gyroscope_z,timestamp,label
-13976,-660,3228,-1028,-92,-35,2024-01-24 11:12:11,0.0
-13892,-788,2988,-1120,-116,-24,2024-01-24 11:12:11,0.0
-13844,-792,2716,-1286,-58,51,2024-01-24 11:12:11,0.0
-14000,-900,2812,-1379,-51,37,2024-01-24 11:12:11,0.0
-13940,-732,2972,-1467,-186,28,2024-01-24 11:12:11,0.0
-13780,-724,3072,-1530,-198,84,2024-01-24 11:12:11,0.0
-13500,-788,2820,-1630,-138,60,2024-01-24 11:12:11,0.0
-13420,-980,2988,-1738,45,-23,2024-01-24 11:12:11,0.0
-13480,-1020,3072,-1761,187,-151,2024-01-24 11:12:11,0.0
-13724,-888,3236,-1766,203,-277,2024-01-24 11:12:11,0.0
-13720,-1012,3068,-1630,214,-342,2024-01-24 11:12:11,0.0
-13660,-1016,3152,-1464,228,-381,2024-01-24 11:12:11,0.0
-13608,-1160,3108,-1247,334,-393,2024-01-24 11:12:11,0.0
-13684,-1268,2984,-955,450,-407,2024-01-24 11:12:11,0.0
-13688,-1356,2900,-701,563,-417,2024-01-24 11:12:11,0.0
-13964,-1264,2912,-450,634,-438,2024-01-24 11:12:11,0.0
-14072,-1264,3068,-162,603,-446,2024-01-24 11:12:11,0.0
-14204,-1236,3332,36,473,-383,2024-01-24 11:12:11,0.0
-14124,-1116,3072,297,227,-289,2024-01-24 11:12:11,0.0
-13796,-1020,2984,418,60,-214,2024-01-24 11:12:11,0.0
-13680,-948,2968,525,82,-118,2024-01-24 11:12:11,0.0
-13584,-1028,2912,445,211,-67,2024-01-24 11:12:11,0.0
-13616,-928,2952,419,459,-14,2024-01-24 11:12:11,0.0
-13696,-744,2948,359,612,70,2024-01-24 11:12:11,0.0
-13732,-624,2936,232,695,149,2024-01-24 11:12:11,0.0
-13676,-652,2852,151,909,143,2024-01-24 11:12:11,0.0
-13780,-932,2852,57,1004,90,2024-01-24 11:12:11,0.0
-13844,-820,2704,-50,1010,6,2024-01-24 11:12:11,0.0
-13960,-828,2924,-224,922,-50,2024-01-24 11:12:11,0.0
-13996,-928,2992,-379,818,-130,2024-01-24 11:12:11,0.0
-14000,-704,3052,-493,705,-163,2024-01-24 11:12:11,0.0
-14044,-724,3048,-543,472,-109,2024-01-24 11:12:11,0.0
-13888,-752,2876,-611,405,-92,2024-01-24 11:12:11,0.0
-13768,-752,2908,-714,330,-52,2024-01-24 11:12:11,0.0
-13916,-712,2896,-795,196,-29,2024-01-24 11:12:11,0.0
-13888,-760,2980,-888,95,-9,2024-01-24 11:12:11,0.0
-13756,-788,2980,-881,31,43,2024-01-24 11:12:11,0.0
-13636,-936,2956,-825,97,29,2024-01-24 11:12:11,0.0
-13592,-1028,2980,-772,177,-28,2024-01-24 11:12:11,0.0
-13600,-1084,2936,-660,208,-108,2024-01-24 11:12:11,0.0
-13648,-1104,2708,-557,276,-138,2024-01-24 11:12:11,0.0
-13636,-996,2844,-476,361,-266,2024-01-24 11:12:11,0.0
-13644,-1044,2968,-425,422,-324,2024-01-24 11:12:11,0.0
-13584,-1048,2660,-381,560,-351,2024-01-24 11:12:11,0.0
-13580,-1004,2676,-440,782,-367,2024-01-24 11:12:11,0.0
-13544,-1016,2708,-513,964,-442,2024-01-24 11:12:11,0.0
-13664,-900,2232,-655,1165,-504,2024-01-24 11:12:11,0.0
-13824,-1060,1788,-862,1272,-492,2024-01-24 11:12:11,0.0
-13852,-1196,1956,-1218,1146,-495,2024-01-24 11:12:11,0.0
-13864,-964,1804,-1532,1066,-407,2024-01-24 11:12:12,0.0
-13868,-904,1604,-1811,962,-422,2024-01-24 11:12:12,0.0
-14000,-1024,1584,-1904,828,-361,2024-01-24 11:12:12,0.0
-14408,-1372,1932,-1851,615,-292,2024-01-24 11:12:12,0.0
-14552,-1784,2016,-1681,436,-277,2024-01-24 11:12:12,0.0
-14156,-1980,1884,-1633,206,-301,2024-01-24 11:12:12,0.0
-14032,-1964,1940,-1509,24,-448,2024-01-24 11:12:12,0.0
-13732,-2156,2028,-1404,-26,-587,2024-01-24 11:12:12,0.0
-13828,-2312,2476,-1104,62,-784,2024-01-24 11:12:12,0.0
-13808,-1888,2604,-741,60,-627,2024-01-24 11:12:12,0.0
-13916,-1816,2488,-211,-170,-574,2024-01-24 11:12:12,0.0
-13572,-1320,2588,198,-380,-437,2024-01-24 11:12:12,0.0
