acceleration_x,acceleration_y,acceleration_z,gyroscope_x,gyroscope_y,gyroscope_z,timestamp,label
-13656,172,-172,-443,439,-172,2024-01-24 10:52:27,0.0
-13836,-20,-204,-540,505,-154,2024-01-24 10:52:27,0.0
-13724,104,-356,-575,501,-160,2024-01-24 10:52:27,0.0
-13596,128,-104,-590,537,-169,2024-01-24 10:52:27,0.0
-13728,28,-336,-563,575,-195,2024-01-24 10:52:27,0.0
-13772,-24,-224,-528,560,-217,2024-01-24 10:52:27,0.0
-13848,-80,-356,-539,529,-204,2024-01-24 10:52:27,0.0
-13920,-252,-316,-561,544,-238,2024-01-24 10:52:27,0.0
-14080,0,-152,-625,339,-259,2024-01-24 10:52:27,0.0
-13932,16,-292,-577,107,-273,2024-01-24 10:52:27,0.0
-13896,-104,-272,-574,-12,-241,2024-01-24 10:52:27,0.0
-13680,-76,-248,-584,-22,-229,2024-01-24 10:52:27,0.0
-13700,8,-256,-593,61,-213,2024-01-24 10:52:27,0.0
-13720,-4,-16,-522,62,-159,2024-01-24 10:52:27,0.0
-13800,8,-132,-442,46,-166,2024-01-24 10:52:27,0.0
-13836,-116,32,-375,11,-146,2024-01-24 10:52:27,0.0
-13728,-128,76,-329,-9,-113,2024-01-24 10:52:27,0.0
-13636,-236,-152,-247,68,-80,2024-01-24 10:52:27,0.0
-13612,-228,-152,-194,116,-113,2024-01-24 10:52:27,0.0
-13724,-60,-240,-141,174,-102,2024-01-24 10:52:27,0.0
-13836,-128,-112,-161,166,-151,2024-01-24 10:52:27,0.0
-13788,-68,-136,-175,97,-195,2024-01-24 10:52:27,0.0
-13764,0,-8,-155,82,-186,2024-01-24 10:52:27,0.0
-13728,0,-88,-176,87,-189,2024-01-24 10:52:27,0.0
-13612,52,-176,-174,97,-217,2024-01-24 10:52:27,0.0
-13720,-8,-132,-175,177,-192,2024-01-24 10:52:27,0.0
-13672,-52,-24,-152,174,-218,2024-01-24 10:52:27,0.0
-13768,-80,-280,-175,200,-205,2024-01-24 10:52:27,0.0
-13840,-200,-164,-134,202,-190,2024-01-24 10:52:27,0.0
-13772,8,-172,-131,199,-197,2024-01-24 10:52:27,0.0
-13820,12,-232,-52,116,-149,2024-01-24 10:52:27,0.0
-13788,-108,-116,-51,100,-189,2024-01-24 10:52:27,0.0
-13756,-20,-56,-22,81,-210,2024-01-24 10:52:27,0.0
-13792,-40,-80,44,105,-225,2024-01-24 10:52:27,0.0
-13744,0,-68,69,81,-172,2024-01-24 10:52:27,0.0
-13688,36,48,97,82,-205,2024-01-24 10:52:27,0.0
-13872,4,-40,47,102,-209,2024-01-24 10:52:27,0.0
-13688,-56,-156,52,95,-223,2024-01-24 10:52:27,0.0
-13848,-36,-172,51,156,-239,2024-01-24 10:52:27,0.0
-13812,64,-112,7,150,-221,2024-01-24 10:52:27,0.0
-13704,104,-128,9,70,-209,2024-01-24 10:52:27,0.0
-13740,-28,-148,-21,90,-211,2024-01-24 10:52:27,0.0
