acceleration_x,acceleration_y,acceleration_z,gyroscope_x,gyroscope_y,gyroscope_z,timestamp,label
-12616,-1704,-1024,976,435,-193,2024-01-24 10:48:43,0.0
-12548,-1484,-644,862,611,-93,2024-01-24 10:48:43,0.0
-13296,-1348,-212,747,630,126,2024-01-24 10:48:43,0.0
-13604,-1236,176,720,367,206,2024-01-24 10:48:43,0.0
-13952,-1140,116,750,329,226,2024-01-24 10:48:43,0.0
-13924,-1224,28,686,379,354,2024-01-24 10:48:43,0.0
-13804,-1212,-304,643,589,309,2024-01-24 10:48:43,0.0
-13664,-1232,-572,596,898,355,2024-01-24 10:48:43,0.0
-13620,-1036,-612,488,932,278,2024-01-24 10:48:43,0.0
-13736,-1036,-648,302,952,199,2024-01-24 10:48:43,0.0
-13928,-984,-860,145,852,120,2024-01-24 10:48:43,0.0
-13920,-700,-988,-69,591,129,2024-01-24 10:48:43,0.0
-13596,-760,-1176,-82,475,209,2024-01-24 10:48:43,0.0
-13416,-532,-1352,-100,781,392,2024-01-24 10:48:43,0.0
-13924,-280,-1248,-96,881,656,2024-01-24 10:48:43,0.0
-13988,-152,-1592,-258,569,983,2024-01-24 10:48:43,0.0
-14300,48,-2284,-604,-99,1133,2024-01-24 10:48:43,0.0
-14348,536,-2236,-867,-1059,1007,2024-01-24 10:48:43,0.0
-14164,396,-1500,-980,-2449,617,2024-01-24 10:48:43,0.0
-13788,676,-1160,-1077,-3226,164,2024-01-24 10:48:43,0.0
-13656,508,140,-1135,-3674,-231,2024-01-24 10:48:43,0.0
-13904,504,-40,-836,-3647,-349,2024-01-24 10:48:43,0.0
-13648,788,-528,-785,-3441,-258,2024-01-24 10:48:44,0.0
-13376,836,64,-903,-2859,23,2024-01-24 10:48:44,0.0
-14048,564,836,-869,-1553,444,2024-01-24 10:48:44,0.0
-14252,232,1392,-950,-593,893,2024-01-24 10:48:44,0.0
-14152,600,1664,-1013,-28,1252,2024-01-24 10:48:44,0.0
-13152,588,1896,-928,600,1274,2024-01-24 10:48:44,0.0
-13056,516,1856,-616,1108,1005,2024-01-24 10:48:44,0.0
-13248,784,1492,-122,1356,900,2024-01-24 10:48:44,0.0
-13352,840,1328,214,957,723,2024-01-24 10:48:44,0.0
-13132,1008,1336,515,564,544,2024-01-24 10:48:44,0.0
-13720,880,1212,534,343,216,2024-01-24 10:48:44,0.0
-13604,888,956,461,-346,-64,2024-01-24 10:48:44,0.0
-13000,852,1144,334,-714,-302,2024-01-24 10:48:44,0.0
-12304,1064,980,223,-495,-590,2024-01-24 10:48:44,0.0
-12276,1104,288,100,672,-801,2024-01-24 10:48:44,0.0
-13836,1100,416,153,836,-972,2024-01-24 10:48:44,0.0
-14596,836,-72,60,692,-998,2024-01-24 10:48:44,0.0
-15612,136,68,141,567,-801,2024-01-24 10:48:44,0.0
-15664,-492,412,182,188,-542,2024-01-24 10:48:44,0.0
-15076,-824,552,171,74,-207,2024-01-24 10:48:44,0.0
-14120,20,540,202,606,445,2024-01-24 10:48:44,0.0
-13408,424,424,282,919,728,2024-01-24 10:48:44,0.0
-13184,840,388,396,942,754,2024-01-24 10:48:44,0.0
-12888,764,212,586,922,507,2024-01-24 10:48:44,0.0
-12920,496,220,724,1171,282,2024-01-24 10:48:44,0.0
-12824,260,-144,875,1334,69,2024-01-24 10:48:44,0.0
-12852,64,100,1041,1448,-199,2024-01-24 10:48:44,0.0
-12884,-200,-140,1184,1551,-459,2024-01-24 10:48:44,0.0
-13544,-280,-236,1161,1536,-684,2024-01-24 10:48:44,0.0
-14140,-276,-336,1049,1044,-711,2024-01-24 10:48:44,0.0
-14852,0,-472,907,486,-578,2024-01-24 10:48:44,0.0
-14948,216,-948,676,44,-373,2024-01-24 10:48:44,0.0
-14144,324,-1136,331,-343,-362,2024-01-24 10:48:44,0.0
-13864,416,-652,50,-377,-328,2024-01-24 10:48:44,0.0
-13280,504,-644,-176,-408,-364,2024-01-24 10:48:44,0.0
-13368,224,-296,-346,-302,-433,2024-01-24 10:48:44,0.0
-13744,-168,-240,-439,-75,-487,2024-01-24 10:48:44,0.0
-13696,-444,-120,-361,124,-411,2024-01-24 10:48:44,0.0
-13760,-652,-464,-317,391,-346,2024-01-24 10:48:44,0.0
-13528,-548,-400,-361,433,-171,2024-01-24 10:48:44,0.0
-13432,-536,20,-301,522,-80,2024-01-24 10:48:44,0.0
-13636,-252,108,-225,385,-87,2024-01-24 10:48:44,0.0
-13376,-204,-80,-107,332,-133,2024-01-24 10:48:44,0.0
-13364,16,-140,63,832,-245,2024-01-24 10:48:44,0.0
-13936,-72,-348,113,930,-240,2024-01-24 10:48:44,0.0
-14172,-88,-344,54,649,-214,2024-01-24 10:48:44,0.0
-14256,-212,-316,-3,381,-200,2024-01-24 10:48:44,0.0
-14132,-208,-312,-93,218,-172,2024-01-24 10:48:44,0.0
-13876,-44,-208,-222,104,-166,2024-01-24 10:48:44,0.0
-13752,80,-292,-318,-7,-249,2024-01-24 10:48:44,0.0
-13896,-124,-12,-432,-211,-404,2024-01-24 10:48:44,0.0
-13864,-352,-44,-468,-396,-480,2024-01-24 10:48:44,0.0
-13776,-412,136,-425,-491,-538,2024-01-24 10:48:44,0.0
-13724,-416,428,-349,-543,-554,2024-01-24 10:48:44,0.0
-13688,-408,148,-353,-449,-525,2024-01-24 10:48:44,0.0
-13760,-432,52,-266,-292,-518,2024-01-24 10:48:44,0.0
-13600,-436,-64,-202,-271,-487,2024-01-24 10:48:44,0.0
-13740,-400,4,-116,-209,-416,2024-01-24 10:48:44,0.0
-13752,-216,160,55,-177,-429,2024-01-24 10:48:45,0.0
-13860,-228,136,138,-217,-382,2024-01-24 10:48:45,0.0
-13828,-252,72,153,-180,-354,2024-01-24 10:48:45,0.0
-13896,-196,-84,176,-140,-365,2024-01-24 10:48:45,0.0
-13840,-144,76,160,-141,-323,2024-01-24 10:48:45,0.0
-13792,-244,0,48,-195,-310,2024-01-24 10:48:45,0.0
-13672,-208,56,-76,-269,-278,2024-01-24 10:48:45,0.0
-13696,-188,72,-82,-220,-224,2024-01-24 10:48:45,0.0
-13664,-204,72,-111,-196,-216,2024-01-24 10:48:45,0.0
-13736,-168,92,-131,-162,-233,2024-01-24 10:48:45,0.0
-13688,-252,168,-168,-77,-239,2024-01-24 10:48:45,0.0
-13692,-324,208,-217,20,-231,2024-01-24 10:48:45,0.0
-13748,-212,220,-284,18,-208,2024-01-24 10:48:45,0.0
-13864,-224,276,-260,55,-183,2024-01-24 10:48:45,0.0
-13852,-268,236,-307,68,-179,2024-01-24 10:48:45,0.0
-13748,-292,104,-295,69,-137,2024-01-24 10:48:45,0.0
-13736,-312,272,-291,86,-131,2024-01-24 10:48:45,0.0
-13792,-328,316,-293,37,-147,2024-01-24 10:48:45,0.0
-13900,-352,340,-308,-29,-91,2024-01-24 10:48:45,0.0
-13836,-372,112,-307,-233,-75,2024-01-24 10:48:45,
-13688,-452,336,-318,-392,-88,2024-01-24 10:48:45,0.0
-13804,-392,372,-336,-355,-103,2024-01-24 10:48:45,0.0
-13792,-468,476,-295,-225,-133,2024-01-24 10:48:45,0.0
-13888,-336,408,-258,-179,-145,2024-01-24 10:48:45,0.0
-13852,-212,456,-263,-188,-118,2024-01-24 10:48:45,0.0
-13748,-304,468,-255,-57,-161,2024-01-24 10:48:45,0.0
-13784,-240,340,-295,-2,-127,2024-01-24 10:48:45,0.0
-13756,-160,360,-349,52,-163,2024-01-24 10:48:45,0.0
-13832,-200,408,-356,129,-148,2024-01-24 10:48:45,0.0
-13764,-212,648,-424,135,-172,2024-01-24 10:48:45,0.0
-13756,-80,452,-423,110,-144,2024-01-24 10:48:45,0.0
-13700,-252,540,-455,113,-138,2024-01-24 10:48:45,0.0
-13724,-280,552,-451,71,-161,2024-01-24 10:48:45,0.0
-13692,-148,320,-472,159,-171,2024-01-24 10:48:45,0.0
-13648,-204,596,-469,295,-203,2024-01-24 10:48:45,0.0
-13712,-164,456,-502,319,-205,2024-01-24 10:48:45,0.0
-13848,-216,500,-531,324,-192,2024-01-24 10:48:45,0.0
-13920,-124,396,-495,320,-176,2024-01-24 10:48:45,0.0
-13888,-172,448,-529,293,-157,2024-01-24 10:48:45,0.0
-13788,-268,488,-491,259,-202,2024-01-24 10:48:45,0.0
-13916,-160,508,-486,199,-118,2024-01-24 10:48:45,0.0
