acceleration_x,acceleration_y,acceleration_z,gyroscope_x,gyroscope_y,gyroscope_z,timestamp,label
-12856,-236,7336,-164,146,-143,2024-01-24 10:51:33,0.0
-12864,-208,7360,-150,159,-158,2024-01-24 10:51:33,0.0
-12964,-228,7392,-147,127,-188,2024-01-24 10:51:33,0.0
-12892,-264,7344,-162,165,-181,2024-01-24 10:51:33,0.0
-12908,-176,7404,-180,181,-158,2024-01-24 10:51:33,0.0
-12996,-200,7240,-164,202,-134,2024-01-24 10:51:34,0.0
-12916,-300,7404,-186,188,-124,2024-01-24 10:51:34,0.0
-12884,-164,7332,-186,179,-110,2024-01-24 10:51:34,0.0
-12828,-200,7372,-177,165,-166,2024-01-24 10:51:34,0.0
-12928,-172,7468,-177,182,-202,2024-01-24 10:51:34,0.0
-12824,-216,7368,-168,187,-219,2024-01-24 10:51:34,0.0
-12816,-208,7444,-167,152,-216,2024-01-24 10:51:34,0.0
-12860,-176,7392,-200,144,-211,2024-01-24 10:51:34,0.0
-12836,-136,7352,-197,154,-233,2024-01-24 10:51:34,0.0
-12920,-152,7368,-216,213,-188,2024-01-24 10:51:34,0.0
-12872,-272,7284,-204,177,-198,2024-01-24 10:51:34,0.0
-12852,-244,7340,-227,197,-205,2024-01-24 10:51:34,0.0
-13040,-348,7292,-185,157,-240,2024-01-24 10:51:34,0.0
-12936,-304,7280,-198,148,-208,2024-01-24 10:51:34,0.0
-12880,-308,7500,-227,128,-194,2024-01-24 10:51:34,0.0
-12912,-264,7424,-182,155,-193,2024-01-24 10:51:34,0.0
-12948,-232,7420,-207,159,-189,2024-01-24 10:51:34,0.0
-12844,-232,7488,-166,167,-177,2024-01-24 10:51:34,0.0
-12888,-168,7396,-204,168,-164,2024-01-24 10:51:34,0.0
-12936,-196,7424,-206,175,-166,2024-01-24 10:51:34,0.0
-12888,-208,7556,-193,180,-166,2024-01-24 10:51:34,0.0
-12900,-152,7372,-193,169,-184,2024-01-24 10:51:34,0.0
-12972,-232,7144,-183,60,-220,2024-01-24 10:51:34,0.0
-12876,-272,7388,-159,5,-175,2024-01-24 10:51:34,0.0
-12888,-228,7392,-187,2,-192,2024-01-24 10:51:34,0.0
-12756,-280,7284,-200,-26,-164,2024-01-24 10:51:34,0.0
-12900,-264,7372,-195,38,-152,2024-01-24 10:51:34,0.0
-12868,-292,7460,-137,121,-151,2024-01-24 10:51:34,0.0
-12848,-176,7488,-161,163,-172,2024-01-24 10:51:34,0.0
-12840,-292,7404,-141,186,-192,2024-01-24 10:51:34,0.0
-12868,-256,7328,-175,174,-197,2024-01-24 10:51:34,0.0
-12892,-332,7404,-171,169,-164,2024-01-24 10:51:34,0.0
-12940,-272,7376,-172,170,-189,2024-01-24 10:51:34,0.0
-12860,-236,7404,-191,160,-157,2024-01-24 10:51:34,0.0
-12808,-300,7380,-179,148,-165,2024-01-24 10:51:34,0.0
-12904,-188,7392,-174,198,-180,2024-01-24 10:51:34,0.0
-12912,-240,7424,-164,213,-185,2024-01-24 10:51:34,0.0
-12868,-228,7408,-164,231,-167,2024-01-24 10:51:34,0.0
-12812,-232,7440,-188,201,-168,2024-01-24 10:51:34,0.0
-12844,-304,7448,-138,181,-169,2024-01-24 10:51:34,0.0
-12876,-236,7372,-149,201,-152,2024-01-24 10:51:34,0.0
-12864,-260,7492,-187,220,-169,2024-01-24 10:51:34,0.0
-12908,-320,7480,-192,172,-191,2024-01-24 10:51:34,0.0
-12952,-208,7340,-190,140,-153,2024-01-24 10:51:34,0.0
-12884,-196,7672,-191,188,-180,2024-01-24 10:51:34,0.0
-12860,-184,7532,-174,214,-183,2024-01-24 10:51:34,0.0
-12884,-172,7464,-198,191,-157,2024-01-24 10:51:34,0.0
-12912,-272,7352,-190,210,-152,2024-01-24 10:51:34,0.0
-12920,-276,7376,-171,157,-160,2024-01-24 10:51:34,0.0
-12944,-208,7408,-202,178,-153,2024-01-24 10:51:34,0.0
-12896,-172,7464,-165,223,-189,2024-01-24 10:51:34,0.0
-12888,-244,7304,-153,215,-166,2024-01-24 10:51:34,0.0
-12776,-252,7268,-165,226,-184,2024-01-24 10:51:34,0.0
-12944,-284,7380,-185,206,-176,2024-01-24 10:51:34,0.0
-12876,-172,7324,-185,235,-162,2024-01-24 10:51:34,0.0
-12860,-228,7428,-187,217,-180,2024-01-24 10:51:34,0.0
-12956,-240,7388,-187,236,-206,2024-01-24 10:51:34,0.0
-12848,-200,7452,-172,175,-163,2024-01-24 10:51:34,0.0
-12888,-176,7276,-180,191,-190,2024-01-24 10:51:34,0.0
-12932,-236,7436,-192,226,-177,2024-01-24 10:51:34,0.0
-12756,-144,7532,-212,254,-162,2024-01-24 10:51:35,0.0
-12928,-200,7372,-199,224,-194,2024-01-24 10:51:35,0.0
-12924,-204,7432,-194,203,-184,2024-01-24 10:51:35,0.0
-12872,-236,7468,-205,195,-180,2024-01-24 10:51:35,0.0
-12872,-240,7504,-189,186,-170,2024-01-24 10:51:35,0.0
-12888,-204,7520,-188,234,-154,2024-01-24 10:51:35,0.0
-12868,-200,7580,-193,278,-180,2024-01-24 10:51:35,0.0
-12932,-256,7340,-210,267,-178,2024-01-24 10:51:35,0.0
-12956,-168,7588,-172,269,-146,2024-01-24 10:51:35,0.0
-12932,-216,7368,-159,269,-182,2024-01-24 10:51:35,0.0
-12884,-192,7360,-161,292,-139,2024-01-24 10:51:35,0.0
-13188,-212,7548,-74,352,-45,2024-01-24 10:51:35,0.0
-13308,-32,7452,-7,503,137,2024-01-24 10:51:35,0.0
-13192,-100,7316,-84,393,191,2024-01-24 10:51:35,0.0
-13300,-312,7596,27,488,285,2024-01-24 10:51:35,0.0
-13008,-132,7456,92,509,482,2024-01-24 10:51:35,0.0
-12364,-176,7136,-2,437,358,2024-01-24 10:51:35,0.0
-12752,-84,7352,16,580,329,2024-01-24 10:51:35,0.0
-13392,-76,7776,154,813,469,2024-01-24 10:51:35,0.0
-13468,8,7740,296,1164,702,2024-01-24 10:51:35,0.0
-13064,-124,7592,277,1183,760,2024-01-24 10:51:35,0.0
-12696,-196,7348,220,1252,664,2024-01-24 10:51:35,0.0
-12496,-64,7236,99,1374,502,2024-01-24 10:51:35,0.0
-12448,-96,7268,92,1448,343,2024-01-24 10:51:35,0.0
-12652,-84,7228,79,1531,136,2024-01-24 10:51:35,0.0
-12784,-124,7204,187,1645,37,2024-01-24 10:51:35,0.0
-12872,136,7196,209,1880,1,2024-01-24 10:51:35,0.0
-12680,-80,7176,233,2153,-188,2024-01-24 10:51:35,0.0
-12324,-176,6688,111,2332,-580,2024-01-24 10:51:35,0.0
-12564,-132,6640,-13,2749,-922,2024-01-24 10:51:35,0.0
-12632,-316,6436,-57,3451,-1069,2024-01-24 10:51:35,0.0
