acceleration_x,acceleration_y,acceleration_z,gyroscope_x,gyroscope_y,gyroscope_z,timestamp,label
-13596,-412,-644,-1251,-248,-90,2024-01-24 10:35:57,0.0
-13672,-204,-480,-1169,-103,-21,2024-01-24 10:35:57,0.0
-13648,-108,-416,-1066,-31,-22,2024-01-24 10:35:57,0.0
-13600,-208,-636,-951,52,-112,2024-01-24 10:35:57,0.0
-13656,-308,-496,-843,18,-214,2024-01-24 10:35:57,0.0
-13664,-268,-432,-711,20,-303,2024-01-24 10:35:57,0.0
-13728,-268,-584,-670,11,-340,2024-01-24 10:35:57,0.0
-13764,-60,-760,-673,-71,-317,2024-01-24 10:35:57,0.0
-13824,-64,-648,-742,-271,-263,2024-01-24 10:35:57,0.0
-13732,-36,-644,-770,-416,-216,2024-01-24 10:35:57,0.0
-13724,-92,-440,-813,-315,-193,2024-01-24 10:35:57,0.0
-13608,-28,-416,-826,-158,-168,2024-01-24 10:35:57,0.0
-13712,-108,-580,-794,-25,-213,2024-01-24 10:35:57,0.0
-13904,-64,-492,-805,19,-249,2024-01-24 10:35:57,0.0
-13852,-240,-264,-780,-153,-283,2024-01-24 10:35:57,0.0
-13916,-320,-256,-722,-331,-313,2024-01-24 10:35:57,0.0
-13888,-308,-184,-659,-479,-354,2024-01-24 10:35:57,0.0
-13728,-300,-64,-530,-440,-313,2024-01-24 10:35:58,0.0
-13772,-348,-320,-464,-386,-313,2024-01-24 10:35:58,0.0
-13676,-304,-296,-379,-290,-326,2024-01-24 10:35:58,0.0
-13700,-272,-76,-302,-276,-325,2024-01-24 10:35:58,0.0
-13808,-204,-236,-211,-275,-306,2024-01-24 10:35:58,0.0
-14032,-368,-180,-101,-286,-295,2024-01-24 10:35:58,0.0
-13744,-356,-320,-25,-293,-301,2024-01-24 10:35:58,0.0
-13744,-332,-264,32,-326,-321,2024-01-24 10:35:58,0.0
-13664,-360,-228,79,-320,-352,2024-01-24 10:35:58,0.0
-13756,-348,-248,124,-237,-370,2024-01-24 10:35:58,0.0
-13764,-284,-228,173,-232,-369,2024-01-24 10:35:58,0.0
-13688,-412,8,185,-263,-350,2024-01-24 10:35:58,0.0
-13720,-352,-16,197,-215,-325,2024-01-24 10:35:58,0.0
-13760,-468,-76,202,-181,-334,2024-01-24 10:35:58,0.0
-13620,-312,-104,252,-133,-333,2024-01-24 10:35:58,0.0
-13492,-468,40,297,-56,-348,2024-01-24 10:35:58,0.0
-13652,-524,116,344,-47,-403,2024-01-24 10:35:58,0.0
-13620,-544,-92,336,13,-383,2024-01-24 10:35:58,0.0
-13656,-464,132,343,-16,-356,2024-01-24 10:35:58,0.0
-13672,-328,36,366,-8,-355,2024-01-24 10:35:58,0.0
-13628,-480,160,385,42,-345,2024-01-24 10:35:58,0.0
-13560,-384,-72,350,55,-329,2024-01-24 10:35:58,0.0
-13608,-400,-88,368,153,-274,2024-01-24 10:35:58,0.0
-13508,-392,-28,326,293,-202,2024-01-24 10:35:58,0.0
-13772,-348,136,357,323,-190,2024-01-24 10:35:58,0.0
-13840,-444,-56,324,347,-177,2024-01-24 10:35:58,0.0
-13784,-352,-60,343,316,-130,2024-01-24 10:35:58,0.0
-13852,-444,-164,330,339,-134,2024-01-24 10:35:58,0.0
-13916,-408,-196,353,344,-137,2024-01-24 10:35:58,0.0
-13768,-500,-204,369,319,-150,2024-01-24 10:35:58,0.0
-13764,-504,-84,381,346,-138,2024-01-24 10:35:58,0.0
-13884,-440,-72,397,274,-150,2024-01-24 10:35:58,0.0
-13884,-428,-88,397,109,-178,2024-01-24 10:35:58,0.0
-13916,-348,-216,303,48,-157,2024-01-24 10:35:58,0.0
-13868,-540,-52,324,122,-190,2024-01-24 10:35:58,0.0
-13728,-500,-40,261,164,-156,2024-01-24 10:35:58,0.0
-13704,-524,-92,224,198,-107,2024-01-24 10:35:58,0.0
-13672,-480,28,182,207,-95,2024-01-24 10:35:58,0.0
-13776,-376,-32,128,279,-90,2024-01-24 10:35:58,0.0
-13760,-424,-12,72,328,-70,2024-01-24 10:35:58,0.0
-13748,-360,-72,30,329,-70,2024-01-24 10:35:58,0.0
-13744,-512,-124,-21,338,-69,2024-01-24 10:35:58,0.0
-13692,-408,-56,-47,436,-91,2024-01-24 10:35:58,0.0
-13792,-468,68,-43,533,-103,2024-01-24 10:35:58,0.0
-13700,-424,0,-130,627,-67,2024-01-24 10:35:58,0.0
-13724,-440,-184,-136,608,-94,2024-01-24 10:35:58,0.0
-13804,-304,40,-113,736,-117,2024-01-24 10:35:58,0.0
-13808,-268,-212,-87,1185,-113,2024-01-24 10:35:58,0.0
-14316,-476,-172,-247,1350,-90,2024-01-24 10:35:58,0.0
-14332,-432,-316,-277,1123,-32,2024-01-24 10:35:58,0.0
-13712,-680,-272,-366,1126,-70,2024-01-24 10:35:58,0.0
-13824,-784,-604,-446,1530,-130,2024-01-24 10:35:58,0.0
-14132,-388,-940,-440,1812,-159,2024-01-24 10:35:58,0.0
-14168,-860,-612,-534,1710,-316,2024-01-24 10:35:58,0.0
-14180,-908,-60,-456,1114,-575,2024-01-24 10:35:58,0.0
-13736,-372,8,-462,263,-854,2024-01-24 10:35:58,0.0
-13608,-752,-152,-767,-88,-964,2024-01-24 10:35:58,0.0
-13224,-1704,1384,-271,-624,-1196,2024-01-24 10:35:58,0.0
-12896,-1828,1120,391,-668,-1303,2024-01-24 10:35:58,0.0
-12984,-1744,932,862,-210,-1150,2024-01-24 10:35:58,0.0
-13404,-1732,856,944,119,-866,2024-01-24 10:35:58,0.0
-13248,-1664,552,885,169,-695,2024-01-24 10:35:59,0.0
