acceleration_x,acceleration_y,acceleration_z,gyroscope_x,gyroscope_y,gyroscope_z,timestamp,label
-14572,1368,-484,2052,-309,-187,2024-01-24 10:29:18,0.0
-13908,1276,-956,2029,-398,-125,2024-01-24 10:29:18,0.0
-13600,1264,-1000,1766,-700,-142,2024-01-24 10:29:18,0.0
-13512,940,-1076,1652,-745,-433,2024-01-24 10:29:18,0.0
-13968,552,-1156,1435,-959,-613,2024-01-24 10:29:18,0.0
-13668,-104,-1640,1160,-548,-417,2024-01-24 10:29:18,0.0
-13592,-232,-1528,1122,-192,-250,2024-01-24 10:29:18,0.0
-13768,-196,-1236,1096,-80,-29,2024-01-24 10:29:18,0.0
-13540,-912,-1292,1279,-52,-55,2024-01-24 10:29:18,0.0
-13228,-1268,-1144,1455,-366,-117,2024-01-24 10:29:18,0.0
-13068,-1268,-676,1780,-514,-28,2024-01-24 10:29:18,0.0
-12972,-1452,-552,2052,-161,226,2024-01-24 10:29:18,0.0
-12880,-1400,-224,2275,333,496,2024-01-24 10:29:18,0.0
-12876,-1544,416,2642,781,670,2024-01-24 10:29:18,0.0
-13164,-1856,344,2948,1204,596,2024-01-24 10:29:18,0.0
-13460,-1984,-56,3146,1487,435,2024-01-24 10:29:18,0.0
-13332,-2040,-220,3174,1644,248,2024-01-24 10:29:18,0.0
-13700,-1956,-448,3325,1704,290,2024-01-24 10:29:18,0.0
-13768,-1668,-1312,3215,2112,418,2024-01-24 10:29:18,0.0
-13736,-2296,-620,3198,1913,219,2024-01-24 10:29:18,0.0
-14032,-2708,-240,3439,1208,10,2024-01-24 10:29:18,0.0
-14156,-2636,-996,3392,1194,1,2024-01-24 10:29:18,0.0
-13432,-3036,-1224,3233,1961,-39,2024-01-24 10:29:18,0.0
-12808,-2684,-912,3126,2249,-267,2024-01-24 10:29:18,0.0
-13556,-2512,-284,2924,2170,-475,2024-01-24 10:29:18,0.0
-14028,-2160,-696,2895,2752,-283,2024-01-24 10:29:18,0.0
-13828,-2652,-372,2577,2388,-613,2024-01-24 10:29:18,0.0
-14148,-3056,-412,2767,1994,-898,2024-01-24 10:29:18,0.0
-13692,-2564,-1208,2504,1940,-1022,2024-01-24 10:29:18,0.0
-13792,-2196,-988,1921,1632,-1147,2024-01-24 10:29:18,0.0
-14184,-2320,-380,1547,1294,-1179,2024-01-24 10:29:18,0.0
-14588,-2096,-16,1342,579,-1165,2024-01-24 10:29:18,0.0
-14752,-2228,-476,1213,-44,-985,2024-01-24 10:29:18,0.0
-13788,-2496,-1480,1022,-96,-591,2024-01-24 10:29:18,0.0
-13664,-2496,-1104,575,-641,-480,2024-01-24 10:29:18,0.0
-13096,-2608,-988,292,-555,-232,2024-01-24 10:29:18,0.0
-12808,-2424,-720,-84,-394,-63,2024-01-24 10:29:18,0.0
-12952,-2384,-496,-411,-159,0,2024-01-24 10:29:18,0.0
-13200,-2308,-1220,-1013,202,-46,2024-01-24 10:29:18,0.0
-13540,-2372,-1132,-1356,366,-139,2024-01-24 10:29:18,0.0
