acceleration_x,acceleration_y,acceleration_z,gyroscope_x,gyroscope_y,gyroscope_z,timestamp,label
0.6799,-0.04,-0.7637,-1.5182,1.5335,-1.3351,2024-02-11 20:31:44.638,0.0
0.6787,-0.0454,-0.7712,-1.3046,1.4954,-1.3962,2024-02-11 20:31:44.655,0.0
0.679,-0.0391,-0.7598,-1.0529,1.3123,-1.4496,2024-02-11 20:31:44.674,0.0
0.6743,-0.0354,-0.7656,-1.2894,1.3962,-1.2131,2024-02-11 20:31:44.692,0.0
0.6711,-0.0393,-0.7603,-1.1368,1.3809,-1.2436,2024-02-11 20:31:44.704,0.0
0.6802,-0.0444,-0.7646,-1.2589,1.4801,-1.4801,2024-02-11 20:31:44.722,0.0
0.6785,-0.043,-0.7666,-1.2665,1.3428,-1.3504,2024-02-11 20:31:44.742,0.0
0.6816,-0.0388,-0.7698,-1.3046,1.4648,-1.4267,2024-02-11 20:31:44.760,0.0
0.6758,-0.0396,-0.7705,-1.2817,1.3809,-1.4496,2024-02-11 20:31:44.780,0.0
0.6821,-0.0376,-0.7654,-1.4191,1.3885,-1.297,2024-02-11 20:31:44.796,0.0
0.6824,-0.0403,-0.7729,-1.1215,1.4648,-1.3962,2024-02-11 20:31:44.815,0.0
0.6736,-0.0437,-0.7632,-1.4191,1.5488,-1.236,2024-02-11 20:31:44.838,0.0
0.6772,-0.0405,-0.7673,-1.3275,1.6022,-1.4267,2024-02-11 20:31:44.848,0.0
0.6741,-0.0432,-0.7593,-1.2741,1.6022,-1.2817,2024-02-11 20:31:44.871,0.0
0.677,-0.0415,-0.7651,-1.3046,1.2665,-1.3275,2024-02-11 20:31:44.885,0.0
0.6758,-0.0393,-0.761,-1.2512,1.3351,-1.4954,2024-02-11 20:31:44.910,0.0
0.679,-0.0398,-0.7593,-1.1978,1.3428,-1.3962,2024-02-11 20:31:44.921,0.0
0.6838,-0.0356,-0.7644,-1.4191,1.4725,-1.2207,2024-02-11 20:31:44.939,0.0
0.6809,-0.0444,-0.7673,-1.1749,1.6174,-1.3657,2024-02-11 20:31:44.956,0.0
0.6838,-0.0366,-0.7656,-1.442,1.3504,-1.1902,2024-02-11 20:31:44.976,0.0
0.679,-0.0391,-0.769,-1.1215,1.3885,-1.442,2024-02-11 20:31:44.991,0.0
0.6765,-0.0405,-0.7598,-1.3504,1.5335,-1.2894,2024-02-11 20:31:45.011,0.0
0.6758,-0.0352,-0.7612,-1.5945,1.6785,-1.3809,2024-02-11 20:31:45.041,0.0
0.6794,-0.042,-0.7642,-1.3428,1.4267,-1.2741,2024-02-11 20:31:45.045,0.0
0.6768,-0.0413,-0.7705,-1.1749,1.3351,-1.2817,2024-02-11 20:31:45.063,0.0
0.678,-0.0374,-0.7703,-1.2512,1.5869,-1.4801,2024-02-11 20:31:45.082,0.0
0.679,-0.0356,-0.7676,-1.297,1.4267,-1.2665,2024-02-11 20:31:45.099,0.0
0.677,-0.0378,-0.7732,-1.1063,1.4725,-1.5182,2024-02-11 20:31:45.119,0.0
0.6819,-0.0432,-0.7615,-1.236,1.5411,-1.4038,2024-02-11 20:31:45.140,0.0
0.678,-0.0403,-0.7698,-1.2207,1.3962,-1.2589,2024-02-11 20:31:45.153,0.0
0.6763,-0.0388,-0.7576,-1.236,1.4114,-1.4496,2024-02-11 20:31:45.175,0.0
0.6816,-0.0413,-0.7688,-1.1826,1.442,-1.2589,2024-02-11 20:31:45.191,0.0
0.6743,-0.0376,-0.76,-1.2436,1.3962,-1.4877,2024-02-11 20:31:45.237,0.0
0.675,-0.0422,-0.762,-1.2207,1.358,-1.2283,2024-02-11 20:31:45.238,0.0
0.6814,-0.0415,-0.7646,-1.1444,1.3809,-1.4801,2024-02-11 20:31:45.245,0.0
0.6794,-0.0442,-0.7686,-1.3046,1.2665,-1.2665,2024-02-11 20:31:45.262,0.0
0.6772,-0.041,-0.7769,-1.3275,1.5564,-1.2283,2024-02-11 20:31:45.282,0.0
0.677,-0.0386,-0.7629,-1.2207,1.3885,-1.3123,2024-02-11 20:31:45.297,0.0
0.6716,-0.0413,-0.7444,-1.0681,1.6098,-1.5106,2024-02-11 20:31:45.319,0.0
0.6833,-0.0381,-0.7737,-1.297,1.1978,-1.3809,2024-02-11 20:31:45.334,0.0
0.6748,-0.0366,-0.7568,-1.1749,1.5564,-1.358,2024-02-11 20:31:45.355,0.0
0.6721,-0.0408,-0.7625,-1.4954,1.3962,-1.3962,2024-02-11 20:31:45.370,0.0
0.6816,-0.0386,-0.7583,-1.3809,1.2741,-1.3885,2024-02-11 20:31:45.387,0.0
0.6753,-0.041,-0.7661,-1.4801,1.503,-1.4114,2024-02-11 20:31:45.436,0.0
0.678,-0.0347,-0.7688,-1.1673,1.6556,-1.2283,2024-02-11 20:31:45.437,0.0
0.6763,-0.0388,-0.7605,-1.2207,1.4877,-1.1978,2024-02-11 20:31:45.440,0.0
