acceleration_x,acceleration_y,acceleration_z,gyroscope_x,gyroscope_y,gyroscope_z,timestamp,label
-13988,-592,468,259,-1145,-543,2024-01-24 10:53:47,0.0
-13792,-500,324,382,-1640,-832,2024-01-24 10:53:47,0.0
-13764,-332,156,528,-1737,-1049,2024-01-24 10:53:47,0.0
-14032,-236,96,609,-1906,-1078,2024-01-24 10:53:47,0.0
-14172,-100,576,693,-2115,-1047,2024-01-24 10:53:47,0.0
-14236,56,804,773,-1906,-885,2024-01-24 10:53:47,0.0
-14116,40,640,800,-1475,-737,2024-01-24 10:53:47,0.0
-13964,44,532,774,-1009,-581,2024-01-24 10:53:47,0.0
-13948,-132,276,620,-701,-403,2024-01-24 10:53:47,0.0
-13940,-132,328,352,-709,-232,2024-01-24 10:53:47,0.0
-13668,-84,532,81,-705,-140,2024-01-24 10:53:47,0.0
-13504,24,752,-60,-571,-82,2024-01-24 10:53:47,0.0
-13432,212,748,-290,-285,-16,2024-01-24 10:53:47,0.0
-13408,108,744,-432,-4,-8,2024-01-24 10:53:47,0.0
-13352,-96,664,-579,52,-90,2024-01-24 10:53:47,0.0
-13464,-216,760,-678,55,-153,2024-01-24 10:53:47,0.0
-13576,-200,664,-772,133,-263,2024-01-24 10:53:47,0.0
-13788,-420,412,-855,172,-297,2024-01-24 10:53:47,0.0
-14060,-352,580,-945,178,-323,2024-01-24 10:53:47,0.0
-14040,-168,656,-957,83,-301,2024-01-24 10:53:47,0.0
-14156,-216,832,-991,49,-284,2024-01-24 10:53:47,0.0
-14108,-424,764,-980,-59,-242,2024-01-24 10:53:47,0.0
-14012,-512,836,-904,-134,-243,2024-01-24 10:53:47,0.0
-13980,-500,964,-807,-110,-247,2024-01-24 10:53:47,0.0
-13868,-584,1040,-700,-91,-218,2024-01-24 10:53:47,0.0
-13816,-720,944,-541,-116,-205,2024-01-24 10:53:47,0.0
-13660,-796,824,-397,-30,-200,2024-01-24 10:53:47,0.0
-13684,-640,984,-264,135,-167,2024-01-24 10:53:47,0.0
-13544,-616,780,-141,186,-186,2024-01-24 10:53:47,0.0
-13764,-560,820,-44,310,-136,2024-01-24 10:53:47,0.0
-13808,-624,588,-64,378,-99,2024-01-24 10:53:47,0.0
-13644,-796,428,-80,584,-44,2024-01-24 10:53:47,0.0
-13948,-612,672,-255,715,100,2024-01-24 10:53:47,0.0
-13900,-616,760,-325,641,74,2024-01-24 10:53:47,0.0
-14020,-488,916,-302,607,89,2024-01-24 10:53:47,0.0
-13804,-440,932,-292,517,97,2024-01-24 10:53:47,0.0
-13872,-372,684,-321,493,35,2024-01-24 10:53:47,0.0
-13720,-520,416,-295,467,-61,2024-01-24 10:53:47,0.0
-14164,-180,724,-281,558,-78,2024-01-24 10:53:47,0.0
-13744,-392,544,-158,424,-202,2024-01-24 10:53:47,0.0
-13928,-380,656,-31,338,-309,2024-01-24 10:53:47,0.0
-13872,-420,976,47,219,-430,2024-01-24 10:53:47,0.0
-13716,-356,812,191,240,-479,2024-01-24 10:53:48,0.0
-13772,-476,748,314,378,-489,2024-01-24 10:53:48,0.0
-13904,-392,696,430,471,-441,2024-01-24 10:53:48,0.0
-13896,-412,868,421,439,-331,2024-01-24 10:53:48,0.0
-13908,-232,664,447,418,-256,2024-01-24 10:53:48,0.0
-13876,-196,852,425,389,-169,2024-01-24 10:53:48,0.0
-13852,-168,688,362,391,-98,2024-01-24 10:53:48,0.0
-13716,-132,760,280,475,-54,2024-01-24 10:53:48,0.0
-13632,-164,588,197,570,-38,2024-01-24 10:53:48,0.0
-13696,-216,704,91,700,-57,2024-01-24 10:53:48,0.0
-13624,-192,440,-20,794,-73,2024-01-24 10:53:48,0.0
-13716,-144,244,-169,757,-117,2024-01-24 10:53:48,0.0
-13852,-212,376,-252,618,-114,2024-01-24 10:53:48,0.0
-13948,-208,208,-373,500,-94,2024-01-24 10:53:48,0.0
-14012,-244,424,-441,372,-127,2024-01-24 10:53:48,0.0
-13988,-284,232,-526,251,-146,2024-01-24 10:53:48,0.0
-13800,-176,388,-584,270,-171,2024-01-24 10:53:48,0.0
-13896,-400,536,-618,250,-221,2024-01-24 10:53:48,0.0
-13992,-436,568,-691,264,-265,2024-01-24 10:53:48,0.0
-13984,-616,664,-699,176,-271,2024-01-24 10:53:48,0.0
-13896,-628,728,-694,102,-267,2024-01-24 10:53:48,0.0
-13712,-476,668,-672,69,-242,2024-01-24 10:53:48,0.0
-13684,-472,700,-696,87,-214,2024-01-24 10:53:48,0.0
-13752,-452,712,-638,91,-170,2024-01-24 10:53:48,0.0
-13628,-452,692,-526,178,-139,2024-01-24 10:53:48,0.0
-13720,-488,732,-501,246,-140,2024-01-24 10:53:48,0.0
-13700,-444,504,-520,317,-110,2024-01-24 10:53:48,0.0
-13764,-372,380,-541,339,-113,2024-01-24 10:53:48,0.0
-13676,-348,472,-560,426,-140,2024-01-24 10:53:48,0.0
-13708,-340,556,-545,501,-157,2024-01-24 10:53:48,0.0
-13840,-280,472,-581,535,-124,2024-01-24 10:53:48,0.0
-13768,-244,492,-603,493,-117,2024-01-24 10:53:48,0.0
-13892,-224,508,-679,472,-143,2024-01-24 10:53:48,0.0
-13788,-204,448,-689,445,-123,2024-01-24 10:53:48,0.0
-13884,-304,416,-746,380,-124,2024-01-24 10:53:48,0.0
-13792,-340,552,-822,346,-153,2024-01-24 10:53:48,0.0
-13956,-376,436,-857,309,-115,2024-01-24 10:53:48,0.0
-13868,-304,428,-851,285,-111,2024-01-24 10:53:48,0.0
-13876,-252,548,-909,232,-102,2024-01-24 10:53:48,0.0
-13712,-200,416,-908,278,-92,2024-01-24 10:53:48,0.0
-13696,-356,596,-881,404,-116,2024-01-24 10:53:48,0.0
-13724,-368,464,-851,444,-127,2024-01-24 10:53:48,0.0
-13820,-392,596,-783,439,-118,2024-01-24 10:53:48,0.0
-13704,-424,532,-779,473,-137,2024-01-24 10:53:48,0.0
