acceleration_x,acceleration_y,acceleration_z,gyroscope_x,gyroscope_y,gyroscope_z,timestamp,label
-3449,-26,184,-346,138,-174,2024-02-05 15:50:42.304,0.0
-3478,0,234,-370,270,-153,2024-02-05 15:50:42.361,0.0
-3444,-46,180,-333,221,-225,2024-02-05 15:50:42.412,0.0
-3459,-7,201,-326,247,-187,2024-02-05 15:50:42.472,0.0
-3441,-5,157,-294,213,-216,2024-02-05 15:50:42.529,0.0
-3456,-37,189,-329,303,-213,2024-02-05 15:50:42.586,0.0
-3471,-30,229,-283,247,-214,2024-02-05 15:50:42.643,0.0
-3435,-11,160,-315,267,-203,2024-02-05 15:50:42.716,0.0
-3474,-5,165,-362,168,-153,2024-02-05 15:50:42.761,0.0
-3425,-20,178,-324,210,-159,2024-02-05 15:50:42.810,0.0
-3448,-40,163,-291,268,-176,2024-02-05 15:50:42.867,0.0
-3448,-26,207,-209,222,-166,2024-02-05 15:50:42.924,0.0
-3456,6,147,-194,205,-170,2024-02-05 15:50:42.981,0.0
-3442,-21,162,-175,271,-173,2024-02-05 15:50:43.041,0.0
-3433,-20,172,-222,207,-137,2024-02-05 15:50:43.098,0.0
-3431,-15,196,-227,293,-184,2024-02-05 15:50:43.156,0.0
-3436,13,172,-258,324,-175,2024-02-05 15:50:43.212,0.0
-3455,-11,170,-281,319,-165,2024-02-05 15:50:43.268,0.0
-3466,-19,187,-313,382,-190,2024-02-05 15:50:43.324,0.0
-3463,-40,160,-365,283,-171,2024-02-05 15:50:43.382,
-3446,-20,140,-369,305,-131,2024-02-05 15:50:43.439,0.0
-3441,-23,156,-350,298,-183,2024-02-05 15:50:43.498,0.0
-3458,-24,134,-390,321,-145,2024-02-05 15:50:43.570,0.0
-3440,-52,135,-339,289,-136,2024-02-05 15:50:43.602,0.0
-3455,-39,81,-277,345,-201,2024-02-05 15:50:43.662,0.0
-3409,-8,199,-269,562,-249,2024-02-05 15:50:43.728,0.0
-3483,24,221,-213,325,-209,2024-02-05 15:50:43.777,0.0
-3478,23,184,-235,81,-121,2024-02-05 15:50:43.842,0.0
-3527,-1,82,-289,-208,-39,2024-02-05 15:50:43.898,0.0
-3424,12,25,-367,-55,-155,2024-02-05 15:50:43.947,0.0
-3384,-28,137,-350,333,-271,2024-02-05 15:50:44.004,0.0
-3442,-14,252,-381,495,-223,2024-02-05 15:50:44.061,0.0
-3448,27,234,-346,227,-105,2024-02-05 15:50:44.118,0.0
-3483,4,176,-351,34,-57,2024-02-05 15:50:44.182,0.0
-3476,-42,104,-233,-89,-122,2024-02-05 15:50:44.231,0.0
-3429,11,115,-271,4,-217,2024-02-05 15:50:44.291,0.0
-3446,43,149,-352,-24,-204,2024-02-05 15:50:44.348,0.0
-3469,20,193,-471,100,-167,2024-02-05 15:50:44.405,0.0
-3450,-31,167,-447,-4,-131,2024-02-05 15:50:44.462,0.0
-3456,-13,181,-260,32,-197,2024-02-05 15:50:44.516,
-3439,1,153,-146,21,-215,2024-02-05 15:50:44.572,0.0
-3441,25,159,-109,171,-175,2024-02-05 15:50:44.629,0.0
-3460,9,152,-197,78,-150,2024-02-05 15:50:44.685,0.0
-3465,-9,166,-141,182,-222,2024-02-05 15:50:44.743,0.0
