acceleration_x,acceleration_y,acceleration_z,gyroscope_x,gyroscope_y,gyroscope_z,timestamp,label
-13424,88,-1668,560,337,-715,2024-01-24 10:46:09,0.0
-13704,160,-1776,596,213,-753,2024-01-24 10:46:09,0.0
-13712,60,-2016,492,25,-735,2024-01-24 10:46:09,0.0
-13504,88,-2176,380,75,-629,2024-01-24 10:46:09,0.0
-13436,16,-2168,206,163,-494,2024-01-24 10:46:09,0.0
-13304,140,-1988,134,147,-335,2024-01-24 10:46:09,0.0
-13364,208,-1980,29,200,-216,2024-01-24 10:46:09,0.0
-13336,324,-1744,-46,223,-150,2024-01-24 10:46:09,0.0
-13376,240,-1808,-139,249,-116,2024-01-24 10:46:09,0.0
-13432,204,-1752,-260,359,-76,2024-01-24 10:46:09,0.0
-13420,280,-1752,-297,396,-99,2024-01-24 10:46:09,0.0
-13468,292,-1660,-355,348,-165,2024-01-24 10:46:09,0.0
-13512,348,-1760,-377,297,-274,2024-01-24 10:46:09,0.0
-13432,344,-1740,-456,298,-382,2024-01-24 10:46:09,0.0
-13568,332,-1940,-485,363,-432,2024-01-24 10:46:09,0.0
-13696,252,-2076,-525,203,-421,2024-01-24 10:46:10,0.0
-13424,220,-2208,-609,176,-420,2024-01-24 10:46:10,0.0
-13440,268,-2236,-708,306,-418,2024-01-24 10:46:10,0.0
-13388,296,-2140,-724,381,-421,2024-01-24 10:46:10,0.0
-13488,328,-2052,-699,290,-433,2024-01-24 10:46:10,0.0
-13352,280,-1992,-679,330,-445,2024-01-24 10:46:10,0.0
-13416,188,-2036,-629,370,-419,2024-01-24 10:46:10,0.0
-13448,132,-1992,-606,327,-360,2024-01-24 10:46:10,0.0
-13336,64,-1860,-553,299,-310,2024-01-24 10:46:10,0.0
-13436,24,-1748,-509,336,-257,2024-01-24 10:46:10,0.0
-13432,124,-1852,-468,285,-224,2024-01-24 10:46:10,0.0
-13452,296,-1860,-452,306,-221,2024-01-24 10:46:10,0.0
-13408,224,-2024,-417,311,-239,2024-01-24 10:46:10,0.0
-13480,304,-1896,-452,256,-224,2024-01-24 10:46:10,0.0
-13636,248,-1832,-426,241,-219,2024-01-24 10:46:10,0.0
-13592,228,-1852,-348,199,-223,2024-01-24 10:46:10,0.0
-13520,220,-1824,-340,116,-198,2024-01-24 10:46:10,0.0
-13520,192,-1928,-338,93,-158,2024-01-24 10:46:10,0.0
-13380,228,-1760,-275,83,-179,2024-01-24 10:46:10,0.0
-13400,80,-1712,-181,76,-177,2024-01-24 10:46:10,0.0
-13460,52,-1628,-128,93,-198,2024-01-24 10:46:10,0.0
-13352,0,-1740,-93,157,-204,2024-01-24 10:46:10,0.0
-13524,168,-1684,-81,212,-254,2024-01-24 10:46:10,0.0
