acceleration_x,acceleration_y,acceleration_z,gyroscope_x,gyroscope_y,gyroscope_z,timestamp,label
-11884,-228,9300,-328,30,-191,2024-01-24 10:52:56,0.0
-11992,-36,9280,-315,56,-228,2024-01-24 10:52:56,0.0
-11824,12,9432,-285,124,-200,2024-01-24 10:52:56,0.0
-11836,56,9376,-307,278,-202,2024-01-24 10:52:56,0.0
-11948,-84,9436,-329,487,-176,2024-01-24 10:52:56,0.0
-12100,-4,9308,-309,547,-129,2024-01-24 10:52:56,0.0
-11996,-120,9216,-303,434,-103,2024-01-24 10:52:56,0.0
-12004,-72,9468,-309,314,-128,2024-01-24 10:52:56,0.0
-12012,-128,9484,-276,276,-200,2024-01-24 10:52:56,0.0
-11976,-32,9512,-239,255,-213,2024-01-24 10:52:56,0.0
-12128,-12,9464,-192,292,-186,2024-01-24 10:52:56,0.0
-12232,-20,9616,-178,106,-121,2024-01-24 10:52:56,0.0
-12276,24,9368,-168,-73,-55,2024-01-24 10:52:56,0.0
-12056,-8,9288,-181,-153,-30,2024-01-24 10:52:56,0.0
-11944,-12,9484,-117,-106,-77,2024-01-24 10:52:56,0.0
-11920,-88,9208,-73,18,-99,2024-01-24 10:52:56,0.0
-12008,-56,9504,-47,64,-109,2024-01-24 10:52:56,0.0
-11944,-76,9412,-50,23,-111,2024-01-24 10:52:56,0.0
-11984,-144,9504,-87,20,-124,2024-01-24 10:52:56,0.0
-11852,52,9508,-111,81,-146,2024-01-24 10:52:56,0.0
-11876,-24,9588,-109,120,-147,2024-01-24 10:52:56,0.0
-11956,52,9680,-141,157,-159,2024-01-24 10:52:56,0.0
-12092,-64,9684,-132,125,-155,2024-01-24 10:52:56,0.0
-12084,48,9500,-92,92,-132,2024-01-24 10:52:56,0.0
-12076,124,9536,-94,75,-114,2024-01-24 10:52:56,0.0
-11988,100,9540,-162,62,-127,2024-01-24 10:52:56,0.0
-12104,116,9172,-223,-45,-140,2024-01-24 10:52:56,0.0
-12052,28,9472,-187,-73,-126,2024-01-24 10:52:56,0.0
-11952,-68,9480,-190,-102,-163,2024-01-24 10:52:56,0.0
-11912,12,9424,-138,-81,-149,2024-01-24 10:52:56,0.0
-12008,20,9428,-181,3,-185,2024-01-24 10:52:56,0.0
-12012,108,9536,-175,48,-194,2024-01-24 10:52:56,0.0
-12096,-48,9528,-124,8,-135,2024-01-24 10:52:56,0.0
-12064,0,9588,-153,-34,-108,2024-01-24 10:52:56,0.0
-12000,8,9552,-134,-17,-108,2024-01-24 10:52:56,0.0
-11904,-20,9608,-142,31,-131,2024-01-24 10:52:56,0.0
-11936,-20,9596,-147,52,-148,2024-01-24 10:52:56,0.0
-12092,96,9492,-140,41,-170,2024-01-24 10:52:56,0.0
-11936,136,9512,-186,-27,-181,2024-01-24 10:52:56,0.0
-12072,148,9536,-181,-79,-154,2024-01-24 10:52:56,0.0
-12024,100,9660,-156,-143,-137,2024-01-24 10:52:57,0.0
-11864,8,9704,-152,-141,-144,2024-01-24 10:52:57,0.0
-11932,104,9624,-155,-41,-124,2024-01-24 10:52:57,0.0
-11892,108,9632,-157,-6,-126,2024-01-24 10:52:57,0.0
-11772,76,9660,-174,25,-156,2024-01-24 10:52:57,0.0
-11840,44,9700,-181,98,-176,2024-01-24 10:52:57,0.0
-11964,0,9620,-191,190,-168,2024-01-24 10:52:57,0.0
-11896,-28,9532,-179,240,-120,2024-01-24 10:52:57,0.0
