acceleration_x,acceleration_y,acceleration_z,gyroscope_x,gyroscope_y,gyroscope_z,timestamp,label
-13604,-424,-1236,-139,-227,-200,2024-01-24 10:33:46,0.0
-13636,-368,-1140,-192,-282,-238,2024-01-24 10:33:46,0.0
-13636,-324,-852,-217,-288,-226,2024-01-24 10:33:46,0.0
-13548,-384,-904,-316,-196,-220,2024-01-24 10:33:46,0.0
-13508,-368,-848,-353,-56,-219,2024-01-24 10:33:46,0.0
-13464,-404,-948,-390,-8,-218,2024-01-24 10:33:46,0.0
-13572,-484,-828,-376,101,-197,2024-01-24 10:33:46,0.0
-13588,-428,-868,-400,140,-163,2024-01-24 10:33:46,0.0
-13516,-416,-952,-414,239,-178,2024-01-24 10:33:46,0.0
-13576,-344,-900,-391,272,-185,2024-01-24 10:33:46,0.0
-13584,-412,-1012,-396,295,-219,2024-01-24 10:33:46,0.0
-13700,-564,-1084,-370,335,-233,2024-01-24 10:33:46,0.0
-13796,-572,-1260,-422,266,-268,2024-01-24 10:33:46,0.0
-13784,-452,-1300,-472,84,-248,2024-01-24 10:33:46,0.0
-13648,-452,-1252,-587,-48,-232,2024-01-24 10:33:46,0.0
-13532,-432,-1216,-655,-19,-190,2024-01-24 10:33:46,0.0
-13568,-308,-1216,-718,6,-229,2024-01-24 10:33:46,0.0
-13608,-504,-1064,-728,-27,-234,2024-01-24 10:33:46,0.0
-13580,-472,-920,-751,-21,-227,2024-01-24 10:33:46,0.0
-13416,-568,-972,-728,51,-258,2024-01-24 10:33:46,0.0
-13536,-564,-696,-627,189,-303,2024-01-24 10:33:46,0.0
-13468,-528,-704,-486,217,-307,2024-01-24 10:33:46,0.0
-13480,-600,-584,-384,226,-351,2024-01-24 10:33:46,0.0
-13436,-572,-636,-291,265,-345,2024-01-24 10:33:46,0.0
-13636,-596,-472,-187,381,-309,2024-01-24 10:33:46,0.0
-13632,-544,-620,-24,435,-258,2024-01-24 10:33:46,0.0
-13688,-540,-524,53,416,-185,2024-01-24 10:33:46,0.0
-13764,-500,-652,113,383,-94,2024-01-24 10:33:46,0.0
-13720,-488,-984,171,402,-79,2024-01-24 10:33:46,0.0
-13692,-500,-864,210,389,-54,2024-01-24 10:33:46,0.0
-13808,-512,-1100,249,333,-59,2024-01-24 10:33:46,0.0
-13700,-528,-1092,261,198,-95,2024-01-24 10:33:46,0.0
-13732,-588,-948,257,137,-94,2024-01-24 10:33:46,0.0
-13788,-436,-920,231,81,-81,2024-01-24 10:33:46,0.0
