acceleration_x,acceleration_y,acceleration_z,gyroscope_x,gyroscope_y,gyroscope_z,timestamp,label
-1.3677,-0.2395,0.1846,-10.91,41.9769,-15.7928,2024-02-12 15:44:23.098,0.0
-1.2495,-0.3169,-0.0833,-26.5121,10.4675,10.2539,2024-02-12 15:44:23.098,0.0
-1.1182,-0.3159,-0.2434,-33.8058,12.0697,10.3455,2024-02-12 15:44:23.098,0.0
-1.4272,-0.7996,0.4939,-19.1879,35.0342,-62.851,2024-02-12 15:44:23.107,0.0
-2.1157,-0.7969,-0.0898,46.3867,15.2664,-7.2708,2024-02-12 15:44:23.139,0.0
-1.322,-0.5049,-0.3091,22.4533,14.7247,47.5693,2024-02-12 15:44:23.139,0.0
-0.9482,-0.2505,-0.1675,12.9242,1.4801,50.0641,2024-02-12 15:44:23.164,0.0
-0.8435,-0.3462,-0.3569,1.3733,5.7755,55.2902,2024-02-12 15:44:23.180,0.0
-0.6458,-0.4138,-0.4158,0.4044,26.1688,52.1774,2024-02-12 15:44:23.204,0.0
-0.7849,-0.2939,-0.2927,0.3967,23.3383,42.5644,2024-02-12 15:44:23.245,0.0
-0.835,-0.2197,-0.1392,6.3782,15.9836,45.5322,2024-02-12 15:44:23.245,0.0
-0.8301,-0.1726,-0.0396,16.6245,10.8948,51.7044,2024-02-12 15:44:23.253,0.0
-0.7456,-0.115,-0.0764,25.4593,8.3618,56.1218,2024-02-12 15:44:23.269,0.0
-0.7058,-0.0566,-0.1228,29.3579,2.7542,59.1507,2024-02-12 15:44:23.285,0.0
-0.7083,-0.0432,-0.1204,28.1525,-4.3411,65.1169,2024-02-12 15:44:23.310,0.0
-0.6416,-0.0188,-0.0737,27.4734,-14.4348,72.9675,2024-02-12 15:44:23.326,0.0
-0.4976,-0.0044,-0.1008,27.3209,-15.1443,73.3185,2024-02-12 15:44:23.343,0.0
-0.3843,-0.0195,-0.1672,24.3759,-3.5782,67.9474,2024-02-12 15:44:23.359,0.0
-0.3259,-0.0476,-0.1318,21.7056,7.9422,59.1965,2024-02-12 15:44:23.383,0.0
-0.321,-0.0244,-0.1033,22.6593,13.2904,51.0559,2024-02-12 15:44:23.400,0.0
-0.4214,0.0042,-0.1157,25.3067,22.4152,47.9431,2024-02-12 15:44:23.416,0.0
-0.4851,0.0449,-0.1252,27.3285,25.2304,48.0576,2024-02-12 15:44:23.433,0.0
-0.4558,0.0715,-0.113,21.1716,13.5574,42.778,2024-02-12 15:44:23.458,4.0
-0.4121,0.0608,-0.009,15.3351,8.6288,36.5295,2024-02-12 15:44:23.474,4.0
-0.3628,0.0764,0.0674,11.2534,21.5149,25.7416,2024-02-12 15:44:23.510,4.0
-0.4509,0.1523,0.1626,10.6735,43.1366,14.4806,2024-02-12 15:44:23.510,4.0
-0.7341,0.293,0.1094,12.2757,75.3098,8.6441,2024-02-12 15:44:23.527,4.0
-1.1282,0.3281,-0.0547,8.4076,91.5298,5.661,2024-02-12 15:44:23.551,4.0
-1.4995,0.2319,-0.0447,3.067,59.9136,0.061,2024-02-12 15:44:23.576,4.0
-1.5483,0.1418,-0.1528,2.1896,11.055,0.7401,2024-02-12 15:44:23.600,4.0
-1.4771,0.1055,-0.2458,-9.1095,-18.3487,-5.3177,2024-02-12 15:44:23.609,4.0
-1.9045,0.3635,-0.3169,-29.8462,25.0397,21.4386,2024-02-12 15:44:23.625,4.0
-1.4724,0.1702,-0.5903,-46.2646,2.0905,7.2861,2024-02-12 15:44:23.645,4.0
-1.2297,0.0671,-0.3137,-53.3218,-21.965,-18.631,2024-02-12 15:44:23.661,4.0
-1.0642,0.135,-0.2913,-43.396,-28.6789,-48.4161,2024-02-12 15:44:23.677,4.0
-0.7434,-0.093,-0.3818,-31.3187,-41.3589,-58.8531,2024-02-12 15:44:23.692,4.0
-0.6628,-0.0676,-0.4651,-21.08,-41.153,-64.4302,2024-02-12 15:44:23.709,4.0
-0.6787,-0.0476,-0.4089,-21.8887,-16.7542,-65.6128,2024-02-12 15:44:23.726,4.0
-0.6594,-0.0774,-0.3193,-30.2505,-8.5068,-66.4673,2024-02-12 15:44:23.750,4.0
-0.717,-0.1047,-0.2285,-41.7023,-9.1248,-68.7561,2024-02-12 15:44:23.766,4.0
-0.7581,-0.0967,-0.1113,-49.5682,-15.5716,-73.7991,2024-02-12 15:44:23.783,4.0
-0.7524,-0.127,-0.0828,-51.2466,-35.5148,-75.6912,2024-02-12 15:44:23.807,4.0
