acceleration_x,acceleration_y,acceleration_z,gyroscope_x,gyroscope_y,gyroscope_z,timestamp,label
-0.8491,0.0085,0.1755,-0.3662,1.4801,-1.5488,2024-02-25 21:32:47.146,5.0
-0.8413,0.0154,0.1777,-2.0981,1.3885,-1.1826,2024-02-25 21:32:47.201,5.0
-0.8457,0.0032,0.1731,-2.655,1.6708,-0.8469,2024-02-25 21:32:47.262,5.0
-0.8455,-0.0054,0.1785,-2.6169,2.2125,-0.9613,2024-02-25 21:32:47.323,5.0
-0.8425,-0.01,0.1763,-1.9379,0.8926,-1.2131,2024-02-25 21:32:47.380,5.0
-0.8401,-0.0059,0.1802,-0.9613,1.3885,-1.3657,2024-02-25 21:32:47.439,5.0
-0.844,-0.0044,0.1797,-0.5798,1.8158,-1.709,2024-02-25 21:32:47.498,5.0
-0.8438,-0.0029,0.1689,-0.6104,0.679,-1.4572,2024-02-25 21:32:47.562,5.0
-0.8418,-0.0024,0.1743,-1.1444,1.9913,-1.4114,2024-02-25 21:32:47.612,5.0
-0.8474,-0.0015,0.178,-1.1597,1.0223,-1.1444,2024-02-25 21:32:47.672,5.0
-0.8408,-0.0081,0.1809,-1.297,1.4496,-1.3885,2024-02-25 21:32:47.732,5.0
-0.8484,-0.0029,0.1812,-0.7248,0.9766,-1.6022,2024-02-25 21:32:47.788,5.0
-0.8435,-0.0127,0.1755,-0.2823,0.5493,-0.9384,2024-02-25 21:32:47.848,5.0
-0.8408,0.0076,0.1733,-0.6409,2.9755,-1.8539,2024-02-25 21:32:47.904,5.0
-0.8455,0.0037,0.1841,-1.442,0.1755,-1.3962,2024-02-25 21:32:47.961,5.0
-0.8503,-0.0081,0.1711,-1.503,1.2894,-1.2436,2024-02-25 21:32:48.021,5.0
-0.844,-0.0027,0.175,-0.946,1.5106,-1.2894,2024-02-25 21:32:48.081,5.0
-0.8394,-0.0007,0.1729,-0.6027,0.9308,-1.2665,2024-02-25 21:32:48.139,5.0
-0.8425,-0.002,0.1663,-0.8316,1.3809,-1.442,2024-02-25 21:32:48.195,5.0
-0.8433,0.0027,0.1711,-1.6785,0.4501,-0.9155,2024-02-25 21:32:48.256,5.0
-0.8455,0.001,0.1804,-1.5717,1.5411,-1.3885,2024-02-25 21:32:48.311,5.0
-0.8423,-0.0095,0.1667,-1.6022,1.9379,-1.3428,2024-02-25 21:32:48.370,5.0
-0.8496,0.0012,0.1758,-1.0376,1.7014,-1.2665,2024-02-25 21:32:48.427,5.0
-0.8403,0.001,0.1743,-0.9689,2.243,-1.5106,2024-02-25 21:32:48.488,5.0
-0.8455,-0.0034,0.1743,-1.1292,1.0605,-1.2131,2024-02-25 21:32:48.549,5.0
-0.843,-0.0029,0.1726,-1.4648,3.3875,-1.2054,2024-02-25 21:32:48.606,5.0
-0.8445,-0.0071,0.1853,-1.8616,-0.5569,-1.1292,2024-02-25 21:32:48.660,5.0
-0.8364,-0.0027,0.178,-1.7929,1.4114,-1.091,2024-02-25 21:32:48.719,5.0
-0.8401,-0.0071,0.178,-1.1368,1.8158,-1.442,2024-02-25 21:32:48.778,5.0
-0.8484,0.0063,0.1807,-1.4343,0.3281,-1.8921,2024-02-25 21:32:48.837,5.0
-0.8496,-0.0068,0.1892,-1.5106,3.3188,-1.4343,2024-02-25 21:32:48.896,5.0
-0.8352,-0.0056,0.1814,-1.1749,0.3281,-1.1978,2024-02-25 21:32:48.956,5.0
-0.8481,-0.0061,0.1775,-0.7706,2.0676,-1.5793,2024-02-25 21:32:49.015,5.0
-0.8506,-0.0027,0.1746,-0.5875,1.8234,-1.6327,2024-02-25 21:32:49.073,5.0
-0.835,-0.0093,0.1675,-0.3204,1.2589,-1.4114,2024-02-25 21:32:49.131,5.0
-0.8435,-0.0042,0.1877,-0.1373,1.1902,-1.7014,2024-02-25 21:32:49.188,5.0
-0.8384,-0.0046,0.1714,-0.267,0.9155,-1.709,2024-02-25 21:32:49.249,5.0
-0.8452,-0.0012,0.1846,-1.236,0.5417,-1.4191,2024-02-25 21:32:49.308,5.0
-0.8499,0.0103,0.168,-1.8539,2.594,-1.5335,2024-02-25 21:32:49.367,5.0
-0.8374,0.0054,0.187,-1.7166,1.3046,-1.2817,2024-02-25 21:32:49.422,5.0
