acceleration_x,acceleration_y,acceleration_z,gyroscope_x,gyroscope_y,gyroscope_z,timestamp,label
-0.823,-0.0349,-0.1274,-18.0359,-9.9106,2.6855,2024-02-12 15:41:23.000,0.0
-0.7734,0.001,-0.1299,-20.2484,-6.485,1.5106,2024-02-12 15:41:23.016,0.0
-0.7786,0.0247,-0.0908,-22.1863,-2.0599,-2.2888,2024-02-12 15:41:23.032,0.0
-0.7952,-0.0159,-0.061,-23.8953,1.8921,-5.6992,2024-02-12 15:41:23.048,0.0
-0.8123,-0.0339,-0.073,-24.2081,4.2572,-8.255,2024-02-12 15:41:23.064,0.0
-0.8352,-0.0461,-0.093,-25.2914,4.2419,-7.9727,2024-02-12 15:41:23.084,0.0
-0.8391,-0.0327,-0.0935,-26.123,3.8986,-6.6452,2024-02-12 15:41:23.101,0.0
-0.8608,-0.0361,-0.0659,-26.4359,1.976,-3.9291,2024-02-12 15:41:23.118,0.0
-0.8635,-0.0542,-0.0632,-26.2604,-3.5629,-0.2823,2024-02-12 15:41:23.142,0.0
-0.844,-0.0513,-0.0696,-25.65,-7.2861,1.6174,2024-02-12 15:41:23.158,0.0
-0.8225,-0.0227,-0.0649,-25.2533,-8.728,2.4948,2024-02-12 15:41:23.174,0.0
-0.8103,-0.011,-0.0757,-24.3607,-5.7678,1.9302,2024-02-12 15:41:23.190,0.0
-0.793,0.0017,-0.1138,-24.5667,-0.6256,1.152,2024-02-12 15:41:23.218,0.0
-0.8032,0.0276,-0.1301,-26.123,4.0512,-0.4578,2024-02-12 15:41:23.235,0.0
-0.8171,0.0256,-0.1577,-28.6102,7.3776,-1.5488,2024-02-12 15:41:23.243,0.0
-0.8333,0.03,-0.1331,-32.8369,8.7662,-1.8845,2024-02-12 15:41:23.267,0.0
-0.8435,0.0425,-0.1211,-35.7513,6.7902,-2.4796,2024-02-12 15:41:23.283,0.0
-0.8523,0.0166,-0.1108,-38.8031,4.4403,-2.1515,2024-02-12 15:41:23.299,0.0
-0.8486,-0.002,-0.0793,-39.1922,3.006,-1.4877,2024-02-12 15:41:23.324,0.0
-0.8396,0.0085,-0.0444,-39.1464,0.5875,-0.8774,2024-02-12 15:41:23.341,0.0
-0.8357,0.0168,-0.0369,-38.1546,-2.1439,0.1755,2024-02-12 15:41:23.363,0.0
-0.8286,0.0288,-0.0308,-36.6211,-6.073,1.0452,2024-02-12 15:41:23.372,0.0
-0.8181,0.0452,-0.0396,-37.9486,-8.3237,0.6866,2024-02-12 15:41:23.396,0.0
-0.7996,0.0432,-0.0146,-38.1317,-10.7956,-2.8229,2024-02-12 15:41:23.413,0.0
-0.7839,0.0583,-0.0295,-38.1393,-10.5286,-4.6234,2024-02-12 15:41:23.429,0.0
-0.7632,0.0449,-0.0654,-41.4963,-11.7493,-8.8654,2024-02-12 15:41:23.445,0.0
-0.7695,0.0356,-0.0874,-45.517,-10.437,-12.001,2024-02-12 15:41:23.462,0.0
-0.8052,0.0129,-0.0803,-49.5529,-10.2768,-14.3814,2024-02-12 15:41:23.486,0.0
-0.8398,0.0044,-0.0591,-49.7131,-11.3907,-13.3667,2024-02-12 15:41:23.497,0.0
-0.8811,0.0669,-0.0642,-47.1954,-9.552,-4.9591,2024-02-12 15:41:23.521,0.0
-0.8652,0.0603,-0.071,-47.2794,-8.1711,1.9302,2024-02-12 15:41:23.546,0.0
-0.8157,-0.0496,-0.0542,-46.5469,-10.6049,-2.2964,2024-02-12 15:41:23.554,0.0
-0.8633,-0.1001,-0.0337,-40.0009,-10.9482,-11.8103,2024-02-12 15:41:23.570,0.0
-0.9131,-0.1179,-0.0723,-36.0336,-16.8228,-15.3122,2024-02-12 15:41:23.597,0.0
-0.9119,-0.0977,-0.0706,-34.3781,-25.5051,-11.9476,2024-02-12 15:41:23.613,0.0
-0.8232,-0.1189,-0.0586,-33.4702,-26.4664,-10.2463,2024-02-12 15:41:23.629,0.0
-0.741,-0.1355,0.0156,-30.6396,-16.2048,-12.4893,2024-02-12 15:41:23.645,0.0
-0.7456,-0.1443,0.0896,-26.123,8.4076,-19.7525,2024-02-12 15:41:23.662,0.0
-0.8496,-0.1494,0.115,-25.2457,23.8571,-24.437,2024-02-12 15:41:23.687,0.0
-0.9619,-0.198,0.1399,-22.1634,27.0844,-24.6429,2024-02-12 15:41:23.703,0.0
-1.001,-0.2261,0.0928,-15.48,13.5574,-23.0637,2024-02-12 15:41:23.719,0.0
-1.009,-0.2322,0.0544,-12.1078,-9.9716,-19.0887,2024-02-12 15:41:23.736,0.0
-0.908,-0.2739,0.0701,-11.6806,-30.983,-11.4212,2024-02-12 15:41:23.752,0.0
-0.769,-0.251,0.1177,-11.5128,-36.6745,-7.0801,2024-02-12 15:41:23.769,0.0
-0.6548,-0.1873,0.1121,-11.7416,-23.1094,-6.9275,2024-02-12 15:41:23.793,0.0
-0.6572,-0.1199,0.1045,-15.7242,-10.3073,-9.6512,2024-02-12 15:41:23.809,0.0
-0.7471,-0.0557,0.1111,-22.0642,-4.1351,-8.3694,2024-02-12 15:41:23.833,0.0
-0.8301,-0.0032,0.1494,-26.3977,-4.9744,-1.4038,2024-02-12 15:41:23.841,0.0
-0.8652,0.0105,0.1558,-28.4576,-9.8801,9.0332,2024-02-12 15:41:23.865,0.0
-0.8157,-0.0325,0.0964,-27.6337,-13.0692,16.2659,2024-02-12 15:41:23.882,0.0
-0.688,-0.3186,-0.2734,-14.3356,17.6468,6.8207,2024-02-12 15:41:23.901,0.0
-0.9343,-0.0647,-0.2849,-2.8915,44.4336,-28.3356,2024-02-12 15:41:23.917,0.0
-1.0466,-0.1057,0.3909,-10.8948,-1.2131,-42.0532,2024-02-12 15:41:23.941,0.0
-1.1462,-0.1421,0.1428,5.4321,-23.735,-39.4897,2024-02-12 15:41:23.958,0.0
-1.0396,-0.1379,-0.2917,-2.121,-54.8401,-9.9335,2024-02-12 15:41:23.974,0.0
-0.5952,-0.1079,-0.2517,-21.8048,-77.2629,3.2272,2024-02-12 15:41:23.998,0.0
-0.4402,-0.0664,-0.0305,-22.0871,-43.0527,-6.2485,2024-02-12 15:41:24.015,0.0
-0.5603,-0.0798,0.0435,-13.0386,16.9754,-22.3923,2024-02-12 15:41:24.031,0.0
-0.9082,-0.1575,-0.0305,0.5798,46.9742,-31.7917,2024-02-12 15:41:24.047,0.0
-1.125,-0.1333,-0.198,2.8152,34.5001,-18.219,2024-02-12 15:41:24.063,0.0
-1.0742,-0.0498,-0.2319,-7.1106,2.1439,1.9989,2024-02-12 15:41:24.080,0.0
-0.8564,0.0132,-0.1453,-10.5057,-18.3945,12.6724,2024-02-12 15:41:24.104,0.0
-0.6851,0.0481,-0.1201,-12.3138,-5.7983,12.7792,2024-02-12 15:41:24.121,0.0
-0.6277,0.0151,-0.095,-13.7711,24.437,4.1351,2024-02-12 15:41:24.137,0.0
-0.7583,-0.0474,-0.01,-12.9013,49.0189,-3.4409,2024-02-12 15:41:24.162,0.0
-0.8984,-0.0759,0.0847,-9.1934,49.53,-6.0043,2024-02-12 15:41:24.178,0.0
-1.0549,-0.0798,0.1404,-1.6708,33.3481,0.3433,2024-02-12 15:41:24.194,0.0
-1.0454,-0.041,0.0828,4.0054,14.801,11.8713,2024-02-12 15:41:24.218,0.0
-0.8943,0.022,0.0076,2.9144,1.915,16.8457,2024-02-12 15:41:24.234,0.0
-0.8052,0.0703,0.0237,-0.6638,2.2354,13.5193,2024-02-12 15:41:24.250,0.0
-0.8008,0.0605,0.0542,-2.5253,10.7269,10.4218,2024-02-12 15:41:24.266,0.0
-0.8318,0.0354,0.0515,-3.2425,13.7787,8.5068,2024-02-12 15:41:24.282,0.0
-0.8362,0.0173,0.0508,-2.4643,6.5155,6.7139,2024-02-12 15:41:24.306,0.0
-0.7957,0.0095,0.0701,-0.2289,0.5112,4.3793,2024-02-12 15:41:24.323,0.0
-0.7791,-0.0237,0.0942,3.9978,-0.3738,1.1215,2024-02-12 15:41:24.340,0.0
-0.7822,-0.0745,0.1125,9.2392,-0.9308,-2.739,2024-02-12 15:41:24.357,0.0
-0.7925,-0.1255,0.1301,15.6326,-4.2267,-6.6299,2024-02-12 15:41:24.381,0.0
-0.8059,-0.1367,0.0967,23.3459,-11.2152,-10.2539,2024-02-12 15:41:24.405,0.0
-0.8354,0.0012,-0.2524,28.511,-0.1602,-6.7673,2024-02-12 15:41:24.413,0.0
-1.0046,-0.0735,-0.5305,10.9711,28.6865,-4.4403,2024-02-12 15:41:24.437,0.0
-1.1616,0.0562,-0.1489,1.7853,16.7923,13.3438,2024-02-12 15:41:24.454,0.0
-1.0161,-0.02,0.1052,9.6283,-10.0174,25.3372,2024-02-12 15:41:24.470,0.0
-0.8267,-0.1206,-0.0447,20.401,-25.6348,24.4446,2024-02-12 15:41:24.487,0.0
-0.5886,-0.1545,-0.083,21.8887,-42.5415,12.3901,2024-02-12 15:41:24.503,0.0
-0.5293,-0.1797,0.0674,29.0756,-27.7939,2.2888,2024-02-12 15:41:24.527,0.0
-0.5916,-0.1135,0.1113,39.3448,2.8992,-5.3635,2024-02-12 15:41:24.543,0.0
-0.8154,-0.0537,-0.0972,37.6282,30.7159,-6.279,2024-02-12 15:41:24.559,0.0
-1.0742,-0.0522,-0.1499,29.747,42.3355,0.6485,2024-02-12 15:41:24.580,0.0
-1.0737,-0.0852,-0.0549,26.8631,4.6234,5.6458,2024-02-12 15:41:24.597,0.0
-0.9609,-0.1584,-0.0103,30.5557,-36.8881,7.2556,2024-02-12 15:41:24.613,0.0
-0.7551,-0.147,-0.0386,34.523,-39.8865,4.9744,2024-02-12 15:41:24.635,0.0
-0.6643,-0.1001,-0.0703,35.2783,-18.0054,2.6627,2024-02-12 15:41:24.659,0.0
-0.6418,-0.0486,-0.1072,33.1573,5.3864,1.2131,2024-02-12 15:41:24.675,0.0
