acceleration_x,acceleration_y,acceleration_z,gyroscope_x,gyroscope_y,gyroscope_z,timestamp,label
2668,-324,19020,-171,196,-184,2024-01-18 09:54:24,0.0
2608,-236,18920,-160,169,-190,2024-01-18 09:54:24,0.0
2604,-268,18948,-176,176,-179,2024-01-18 09:54:24,0.0
2748,-276,19072,-164,197,-169,2024-01-18 09:54:24,0.0
2672,-304,19056,-180,194,-200,2024-01-18 09:54:24,0.0
2724,-312,19012,-169,203,-191,2024-01-18 09:54:24,0.0
2648,-348,19000,-162,198,-190,2024-01-18 09:54:24,0.0
2744,-304,18828,-166,165,-166,2024-01-18 09:54:24,0.0
2604,-280,18984,-153,203,-193,2024-01-18 09:54:24,0.0
2644,-304,18916,-171,191,-209,2024-01-18 09:54:24,0.0
2704,-300,18884,-169,181,-181,2024-01-18 09:54:24,0.0
2728,-276,18912,-146,202,-192,2024-01-18 09:54:24,0.0
2680,-288,18960,-152,178,-188,2024-01-18 09:54:24,0.0
2716,-288,19056,-174,193,-191,2024-01-18 09:54:24,0.0
2688,-324,18924,-158,196,-199,2024-01-18 09:54:24,0.0
2628,-344,18960,-171,183,-183,2024-01-18 09:54:24,0.0
2796,-324,18880,-155,216,-179,2024-01-18 09:54:24,0.0
2652,-264,19032,-170,201,-189,2024-01-18 09:54:24,0.0
2648,-340,18936,-152,193,-181,2024-01-18 09:54:24,0.0
2700,-312,19036,-186,187,-194,2024-01-18 09:54:24,0.0
2692,-280,18964,-154,193,-201,2024-01-18 09:54:24,0.0
2748,-304,19040,-171,191,-183,2024-01-18 09:54:24,0.0
2704,-380,19108,-152,182,-191,2024-01-18 09:54:24,0.0
2708,-372,19076,-165,185,-155,2024-01-18 09:54:24,0.0
2632,-348,18824,-181,192,-189,2024-01-18 09:54:24,0.0
2720,-320,18820,-143,194,-206,2024-01-18 09:54:24,0.0
2580,-304,18976,-168,196,-172,2024-01-18 09:54:24,0.0
2700,-324,18984,-138,188,-177,2024-01-18 09:54:24,0.0
2660,-456,19076,-166,202,-178,2024-01-18 09:54:24,0.0
2696,-340,19028,-161,196,-184,2024-01-18 09:54:24,0.0
2652,-332,19004,-157,175,-199,2024-01-18 09:54:24,0.0
2628,-308,18980,-163,201,-173,2024-01-18 09:54:24,0.0
2668,-360,19076,-163,198,-176,2024-01-18 09:54:24,0.0
2712,-292,18764,-169,195,-185,2024-01-18 09:54:24,0.0
2660,-360,18956,-184,198,-175,2024-01-18 09:54:24,0.0
2768,-324,18860,-181,185,-187,2024-01-18 09:54:24,0.0
2648,-364,18948,-157,160,-189,2024-01-18 09:54:24,0.0
2652,-304,18880,-169,195,-205,2024-01-18 09:54:24,0.0
2568,-332,18820,-168,194,-184,2024-01-18 09:54:24,0.0
2652,-332,18964,-183,164,-184,2024-01-18 09:54:24,0.0
2560,-352,18920,-160,213,-191,2024-01-18 09:54:24,0.0
2676,-304,19128,-168,185,-170,2024-01-18 09:54:24,0.0
2728,-344,18928,-167,195,-183,2024-01-18 09:54:24,0.0
2700,-304,18940,-177,193,-201,2024-01-18 09:54:24,0.0
2736,-252,19060,-173,191,-222,2024-01-18 09:54:24,0.0
2704,-328,18944,-151,200,-168,2024-01-18 09:54:24,0.0
2620,-324,18932,-146,188,-209,2024-01-18 09:54:24,0.0
2704,-332,19036,-166,194,-188,2024-01-18 09:54:24,0.0
2632,-232,18976,-160,181,-178,2024-01-18 09:54:24,0.0
2652,-352,18956,-160,187,-181,2024-01-18 09:54:24,0.0
2648,-196,19028,-154,193,-178,2024-01-18 09:54:24,0.0
2708,-340,18940,-147,208,-189,2024-01-18 09:54:24,0.0
2704,-344,18948,-147,169,-182,2024-01-18 09:54:24,0.0
2700,-312,18964,-174,186,-184,2024-01-18 09:54:25,0.0
2736,-332,18956,-164,196,-190,2024-01-18 09:54:25,0.0
2600,-348,19132,-160,193,-178,2024-01-18 09:54:25,0.0
2600,-284,18904,-155,191,-178,2024-01-18 09:54:25,0.0
2576,-232,19000,-161,178,-177,2024-01-18 09:54:25,0.0
2776,-180,18944,-156,196,-180,2024-01-18 09:54:25,0.0
