acceleration_x,acceleration_y,acceleration_z,gyroscope_x,gyroscope_y,gyroscope_z,timestamp,label
-14028,-952,3424,6,528,-285,2024-01-24 11:07:08,0.0
-14152,-936,3516,21,83,-221,2024-01-24 11:07:08,0.0
-14068,-908,3584,58,-72,-203,2024-01-24 11:07:08,0.0
-13920,-820,3520,30,-184,-194,2024-01-24 11:07:08,0.0
-13704,-900,3472,24,-267,-168,2024-01-24 11:07:08,0.0
-13680,-868,3592,-6,-221,-144,2024-01-24 11:07:08,0.0
-13608,-752,3728,-43,4,-174,2024-01-24 11:07:08,0.0
-13748,-804,3680,-128,67,-163,2024-01-24 11:07:08,0.0
-13728,-684,3780,-165,4,-159,2024-01-24 11:07:08,0.0
-13588,-760,3784,-205,50,-185,2024-01-24 11:07:08,0.0
-13624,-768,3808,-232,211,-227,2024-01-24 11:07:08,0.0
-13592,-788,3844,-241,336,-244,2024-01-24 11:07:08,0.0
-13876,-712,3628,-303,412,-235,2024-01-24 11:07:08,0.0
-13776,-760,3608,-310,408,-206,2024-01-24 11:07:08,0.0
-13752,-708,3688,-284,377,-177,2024-01-24 11:07:09,0.0
-13904,-792,3824,-289,342,-192,2024-01-24 11:07:09,0.0
-13824,-804,3832,-295,276,-175,2024-01-24 11:07:09,0.0
-13772,-952,3764,-208,281,-156,2024-01-24 11:07:09,0.0
-13824,-864,3972,-198,226,-140,2024-01-24 11:07:09,0.0
-13912,-872,3744,-190,201,-169,2024-01-24 11:07:09,0.0
-13712,-724,3792,-149,184,-166,2024-01-24 11:07:09,0.0
-13748,-784,3660,-129,231,-157,2024-01-24 11:07:09,0.0
-13672,-828,3596,-114,274,-177,2024-01-24 11:07:09,0.0
-13796,-772,3640,-156,320,-170,2024-01-24 11:07:09,0.0
-13720,-720,3764,-172,336,-174,2024-01-24 11:07:09,0.0
-13656,-700,3728,-228,360,-152,2024-01-24 11:07:09,0.0
-13716,-804,3796,-254,372,-143,2024-01-24 11:07:09,0.0
-13848,-736,3584,-322,331,-131,2024-01-24 11:07:09,0.0
-13752,-788,3696,-349,276,-125,2024-01-24 11:07:09,0.0
-13792,-856,3572,-321,333,-122,2024-01-24 11:07:09,0.0
-13852,-928,3828,-338,312,-115,2024-01-24 11:07:09,0.0
-13840,-916,3808,-297,273,-118,2024-01-24 11:07:09,0.0
-13736,-912,3708,-282,294,-153,2024-01-24 11:07:09,0.0
-13748,-912,3776,-240,310,-167,2024-01-24 11:07:09,0.0
-13652,-900,3684,-194,295,-223,2024-01-24 11:07:09,0.0
-13660,-932,3696,-188,320,-213,2024-01-24 11:07:09,0.0
-13776,-820,3636,-148,404,-209,2024-01-24 11:07:09,0.0
-13824,-840,3872,-128,412,-185,2024-01-24 11:07:09,0.0
-13880,-876,3836,-185,385,-207,2024-01-24 11:07:09,0.0
-13888,-872,3588,-142,327,-186,2024-01-24 11:07:09,0.0
-13748,-880,3692,-158,337,-191,2024-01-24 11:07:09,0.0
-13876,-780,3748,-154,332,-208,2024-01-24 11:07:09,0.0
-13792,-820,3580,-99,315,-216,2024-01-24 11:07:09,0.0
-13708,-860,3596,-102,312,-250,2024-01-24 11:07:09,0.0
-13764,-900,3640,-121,373,-270,2024-01-24 11:07:09,0.0
-13708,-892,3592,-110,477,-294,2024-01-24 11:07:09,0.0
-13800,-920,3620,-88,493,-315,2024-01-24 11:07:09,0.0
-13828,-924,3592,-119,481,-304,2024-01-24 11:07:09,0.0
-13764,-888,3500,-94,452,-257,2024-01-24 11:07:09,0.0
-13896,-804,3664,-131,413,-250,2024-01-24 11:07:09,0.0
-13728,-776,3612,-155,408,-229,2024-01-24 11:07:09,0.0
-13660,-704,3588,-158,409,-215,2024-01-24 11:07:09,0.0
-13796,-804,3528,-166,412,-194,2024-01-24 11:07:09,0.0
-13676,-916,3716,-180,422,-172,2024-01-24 11:07:09,0.0
-13732,-904,3464,-206,433,-187,2024-01-24 11:07:09,0.0
-13704,-824,3492,-209,374,-220,2024-01-24 11:07:09,0.0
-13796,-748,3544,-315,229,-210,2024-01-24 11:07:09,0.0
-13828,-796,3648,-334,144,-212,2024-01-24 11:07:09,0.0
-13808,-760,3612,-376,108,-213,2024-01-24 11:07:09,0.0
-13728,-900,3608,-382,62,-219,2024-01-24 11:07:09,0.0
-13756,-812,3604,-436,81,-213,2024-01-24 11:07:09,0.0
-13760,-796,3660,-466,81,-203,2024-01-24 11:07:09,0.0
-13620,-756,3536,-503,56,-205,2024-01-24 11:07:09,0.0
-13732,-880,3688,-514,91,-216,2024-01-24 11:07:09,0.0
-13724,-972,3680,-462,68,-255,2024-01-24 11:07:09,0.0
-13756,-1056,3720,-443,106,-263,2024-01-24 11:07:09,0.0
-13640,-976,3636,-395,148,-280,2024-01-24 11:07:09,0.0
-13752,-984,3688,-329,170,-306,2024-01-24 11:07:09,0.0
-13720,-976,3520,-299,174,-281,2024-01-24 11:07:09,0.0
-13824,-900,3500,-279,192,-260,2024-01-24 11:07:09,0.0
-13644,-1032,3592,-258,178,-248,2024-01-24 11:07:09,0.0
-13724,-948,3520,-200,214,-247,2024-01-24 11:07:09,0.0
-13700,-952,3612,-166,264,-237,2024-01-24 11:07:10,0.0
-13820,-888,3692,-102,236,-227,2024-01-24 11:07:10,0.0
-13756,-884,3588,-55,240,-241,2024-01-24 11:07:10,0.0
-13756,-944,3448,-52,302,-256,2024-01-24 11:07:10,0.0
-13692,-972,3528,-53,367,-226,2024-01-24 11:07:10,0.0
-13780,-812,3560,-33,414,-218,2024-01-24 11:07:10,0.0
-13848,-852,3536,-44,355,-237,2024-01-24 11:07:10,0.0
-13796,-884,3568,-78,253,-253,2024-01-24 11:07:10,0.0
-13744,-844,3580,-119,170,-282,2024-01-24 11:07:10,0.0
